Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144)
0.0,0.002217192533333333,0.2,0.0,0.006525197625599999,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.61126224306239e-25,0.002217192533333333,0.2,0.0,0.0065251976255999945,0.2,0.2,0.2,0.2,7.277299951755121e-62,1.3109668421417219e-49,9.970498500374563e-137,-1.8474710168540666e-175,6.30389238738748e-19,1.4497543332663436e-25,4.6128424602077706e-45,2.4711997568354086e-18,1.3212379058243435e-18,1.0540590071953379e-20,4.4574827472667474e-55,2.2176775101228596e-48,2.2048401003188763e-48,1.3512348917492752e-67,8.040606102702139e-79,-7.225603072336065e-108,7.500523610167113e-97,-3.603987629706665e-122,1.7187478291401087e-173,-1.8187304389124307e-105,2.7487690582767658e-145,2.0448005779823138e-160,-1.7577246130751412e-143,-4.048304925088974e-166,-3.3675319061509537e-184,-3.461227060804984e-179
2.691153428057469e-24,0.002217192533333333,0.2,0.0,0.006525197625599987,0.2,0.2,0.2,0.2,2.037643986491434e-61,3.6707071579968225e-49,2.575146170784806e-134,1.2458314317287646e-172,1.765089868468492e-18,4.059312133145757e-25,2.7861568459678674e-44,6.919359319139026e-18,3.69946613630816e-18,2.951365220146168e-20,6.736148042056384e-54,1.3527707180252605e-47,1.333370823492189e-47,8.161458745759431e-67,2.4357132747541584e-77,4.546205899329226e-106,1.2053605434868953e-95,3.9543497260937285e-121,7.785264202019884e-171,1.0553575479467997e-103,6.990811560033194e-143,4.903086511471356e-157,1.9730968366007537e-141,2.7299510917244165e-163,-6.227893874916922e-182,-6.401173147701575e-177
6.151207835559929e-24,0.002217192533333333,0.2,0.0,0.006525197625599971,0.2,0.2,0.2,0.2,4.657471969123278e-61,8.390187789707021e-49,1.2152950059430186e-131,5.371656260454551e-169,4.034491127927969e-18,9.278427732904558e-25,1.341414587431909e-43,1.5815678443745756e-17,8.455922597275782e-18,6.745977646044709e-20,7.2464406835378755e-53,6.644610581914697e-47,6.435915368461044e-47,3.9293910645976036e-66,5.448521679346899e-76,4.7054178813671675e-104,1.4565537041642435e-94,2.4230533667327826e-119,7.459752633126104e-168,1.1082943109524467e-101,3.301704041769674e-140,6.318190214736811e-154,4.140510593670413e-139,1.1770740808527203e-159,2.493720891576744e-179,2.56310392078296e-174
1.307131665056485e-23,0.002217192533333333,0.2,0.0,0.006525197625599939,0.2,0.2,0.2,0.19999999999999998,9.897127934386965e-61,1.7829149053127414e-48,4.259939681712175e-129,9.363933393583354e-166,8.573293646846881e-18,1.971665893242206e-24,5.8583099244995914e-43,3.360831669295718e-17,1.796883551921098e-17,1.4335202497829321e-19,6.660727440625656e-52,3.016802498461127e-46,2.824975642234615e-46,1.7160683118919808e-65,1.0556107877073999e-74,3.878844744036831e-102,1.63330248334963e-93,1.1601459795258496e-117,5.235735273089639e-165,9.149640875463831e-100,1.1575805631193752e-137,4.8802555661802715e-151,6.835219908220551e-137,2.0518891675435487e-156,8.24757553159871e-177,8.477048595690315e-172
2.691153428057469e-23,0.002217192533333333,0.2,0.0,0.006525197625599875,0.2,0.19999999999999998,0.2,0.19999999999999996,2.0376439864914336e-60,3.67070715799682e-48,1.3400063230091076e-126,1.2987481210386213e-162,1.7650898684684523e-17,4.0593121331456655e-24,2.4457290724341672e-42,6.919359319137191e-17,3.6994661363081174e-17,2.9513652201348656e-19,5.698392557926156e-51,1.3553698412207645e-45,1.1912579271984277e-45,7.16424739038827e-65,1.9562858001519997e-73,2.9623635645339166e-100,1.9014384369030392e-92,5.561176158658458e-116,3.295161950524403e-162,6.98894785883827e-98,3.6414854733408503e-135,3.221675750326738e-148,1.0445544049749779e-134,2.8459057630295035e-153,2.5177282701538823e-174,2.5877792588921568e-169
5.459196954059438e-23,0.002217192533333333,0.2,0.0,0.006525197625599747,0.2,0.19999999999999996,0.2,0.19999999999999987,4.1335063725969087e-60,7.446291663364976e-48,4.167810731521457e-124,1.6879601314851741e-159,3.58061087603591e-17,8.234604612952419e-24,9.991601282778843e-42,1.403641461881689e-16,7.504631305082081e-17,5.987055160818779e-19,4.711541163006544e-50,6.320689566035669e-45,4.96378052743664e-45,2.926828820127064e-64,3.696690075561578e-72,2.27096513016083e-98,2.4058850737169084e-91,2.8508812180603317e-114,2.0497376908099974e-159,5.357867732038747e-96,1.132626621154242e-132,2.0669421834879817e-145,1.6014897359059873e-132,3.698773756167805e-150,7.72069635447923e-172,7.935510010008644e-167
1.0995284006063374e-22,0.002217192533333333,0.2,0.0,0.006525197625599492,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,8.325231144807854e-60,1.4997460674101278e-47,1.3676996778134907e-121,2.2548843447197245e-156,7.211652891170541e-17,1.6585189572565277e-23,4.0387649905721827e-41,2.8270525218163307e-16,1.5114961642629712e-16,1.2058435042106785e-18,3.8313470264617615e-49,3.1883533785239493e-44,2.0849374878408456e-44,1.1830710030549407e-63,7.483348659062485e-71,1.8503800036017425e-96,3.3124424646638647e-90,1.5787698398298524e-112,1.344877993286657e-156,4.3655938469604406e-94,3.716822429001282e-130,1.3990438394650998e-142,2.608779622770975e-130,4.9410568898416524e-147,2.5178041309303894e-169,2.5878572303354595e-164
2.2067458110071244e-22,0.002217192533333333,0.2,0.0,0.006525197625598981,0.19999999999999996,0.19999999999999973,0.2,0.19999999999999946,1.670868068922974e-59,3.0099798695573846e-47,4.937560187378471e-119,3.2716290666946406e-153,1.4473736921438665e-16,3.3286359491788373e-23,1.6239696396661104e-40,5.67387464168042e-16,3.033562231772375e-16,2.4201194804363536e-18,3.0901201769189016e-48,1.7914158164923422e-43,9.014709340504736e-44,4.7570764537898005e-63,1.6791758157066306e-69,1.664670575520274e-94,4.858981122125795e-89,9.285917373106999e-111,9.706081378473895e-154,3.927451179830245e-92,1.3418199890407042e-127,1.0579918076989086e-139,4.691187793398979e-128,7.169017505869607e-144,9.068429142642758e-167,9.320740893265417e-162
4.421180631808699e-22,0.002217192533333333,0.2,0.0,0.00652519762559796,0.19999999999999987,0.19999999999999943,0.2,0.19999999999999887,3.347557977807347e-59,6.030447473851885e-47,1.985777291035005e-116,5.25992126250258e-150,2.8997904981970363e-16,6.668869933022411e-23,6.512844593963119e-40,1.1367518881387821e-15,6.077694366790697e-16,4.848671432759994e-18,2.482152574044706e-47,1.1270154304466676e-42,4.1216331547442434e-43,1.9078004104679057e-62,4.212241059147134e-68,1.671299253651128e-92,7.417064277205676e-88,5.676022482872929e-109,7.803729554289767e-151,3.94309029234556e-90,5.396505928112494e-125,9.234981757800827e-137,9.414273981899063e-126,1.1525899434707149e-140,3.6450192471160346e-164,3.7464349578541843e-159
