Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24)
0.0,0.0004434385066666667,0.2,0.0,0.00130503952512,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.30956771581589e-25,0.0004434385066666667,0.2,0.0,0.0013050395251199968,0.2,0.2,0.2,0.2,3.5244338868222174e-61,6.349080007112054e-49,3.0073830843189492e-133,-5.43500273854834e-178,8.777396806069249e-19,1.4042469964423892e-25,4.327796176503423e-45,2.3936295664154903e-18,1.4042469964586574e-25,1.0209724233707006e-20,3.1889254420602225e-61,1.495148949891692e-47,1.4866581158272706e-47,6.338682979669725e-67,3.2827940551908216e-77,-2.44587434347526e-105,2.4450458226935298e-95,-7.9304898823346e-120,-8.484746497609069e-218
2.6066789604284492e-24,0.0004434385066666667,0.2,0.0,0.001305039525119991,0.2,0.2,0.2,0.2,9.868414883102207e-61,1.7777424019913753e-48,5.137904612763477e-131,1.22854882969426e-175,2.457671105699376e-18,3.9318915900386666e-25,2.613988890608015e-44,6.702162785963242e-18,3.931891590084218e-25,2.858722785437225e-20,4.8191040137070197e-60,9.117532321164344e-47,8.989218839297196e-47,3.8285645195359394e-66,1.0843164381066395e-75,1.3437267100996884e-103,3.922347266529707e-94,8.675002034589459e-119,3.443779509180335e-215
5.9581233381221694e-24,0.0004434385066666667,0.2,0.0,0.0013050395251199792,0.2,0.2,0.2,0.2,2.2556376875662188e-60,4.063411204551714e-48,2.494517684271914e-128,5.656098887035158e-172,5.617533955884221e-18,8.98718077723113e-25,1.2585231281271162e-43,1.5319229225058208e-17,8.987180777335247e-25,6.534223509567321e-20,5.184172181746488e-59,4.4756612098147044e-46,4.337627421365392e-46,1.843289010211094e-65,2.464097244841588e-74,1.4326901060605413e-101,4.7252625411842155e-93,5.301006985356457e-117,3.179110665840452e-211
1.2661012093509609e-23,0.0004434385066666667,0.2,0.0,0.0013050395251199556,0.2,0.2,0.2,0.19999999999999998,4.793230086078215e-60,8.634748809672392e-48,8.779237486220772e-126,9.913682228760473e-169,1.1937259656253682e-17,1.909775915161569e-24,5.496301144158529e-43,3.255336210324601e-17,1.9097759151836938e-24,1.3885224957815718e-19,4.76514738857608e-58,2.02970839680037e-45,1.9028315641037945e-45,8.050127381319646e-65,4.785143898359287e-73,1.1855029323824159e-99,5.274902957110833e-92,2.526840291736839e-115,1.114629364491408e-207
2.606678960428449e-23,0.0004434385066666667,0.2,0.0,0.0013050395251199083,0.2,0.2,0.2,0.19999999999999996,9.868414883102207e-60,1.7777424019913746e-47,2.7589027598281082e-123,1.373980962985752e-165,2.457671105699169e-17,3.931891590038334e-24,2.294597532781378e-42,6.702162785961308e-17,3.931891590083885e-24,2.858722785426531e-19,4.076683914456994e-57,9.100140940053649e-45,8.014682925020669e-45,3.360769713246083e-64,8.857021095811058e-72,9.04455303065056e-98,6.107536140430666e-91,1.2046940860516492e-113,3.0898614512083492e-204
5.287834462583425e-23,0.0004434385066666667,0.2,0.0,0.0013050395251198138,0.2,0.2,0.2,0.1999999999999999,2.001878447715019e-59,3.606277444039645e-47,8.554780889294915e-121,1.7804564766646682e-162,4.9855613858464035e-17,7.97612293979128e-24,9.374179630147228e-42,1.359581593723131e-16,7.976122939883684e-24,5.7991233646975715e-19,3.3706810958037e-56,4.2295240145562137e-44,3.3320463387188015e-44,1.3729840859483966e-63,1.6684467589394194e-70,6.912280551049795e-96,7.687332432898368e-90,6.143297918771682e-112,8.008119671731535e-201
1.0650145466893377e-22,0.0004434385066666667,0.2,0.0,0.0013050395251196247,0.19999999999999998,0.2,0.2,0.19999999999999976,4.031952366524615e-59,7.263347528136183e-47,2.794369237722015e-118,2.367634775927249e-159,1.0041341946139408e-16,1.606458563929483e-23,3.789193286740081e-41,2.738312223975765e-16,1.6064585639480934e-23,1.1679924523164138e-18,2.7409818882509858e-55,2.1233951206973912e-43,1.3935811825063532e-43,5.549821187552043e-63,3.361827942460942e-69,5.606089887499456e-94,1.0540924631659124e-88,3.388114520518622e-110,2.1298039310615154e-197
2.137476747551328e-22,0.0004434385066666667,0.2,0.0,0.0013050395251192467,0.19999999999999993,0.2,0.2,0.19999999999999948,8.092100204143805e-59,1.4577487696329252e-46,1.0033184763957753e-115,3.416589268104143e-156,2.0152903066719557e-16,3.224151103829255e-23,1.5236179551185675e-40,5.495773484475571e-16,3.2241511038666066e-23,2.344152683979522e-18,2.2107011917608477e-54,1.1865414433372674e-42,5.979200675329296e-43,2.2315586831804847e-62,7.502503161372573e-68,5.0160245207876243e-92,1.5421361260740375e-87,1.987460648079484e-108,6.146598775594352e-194
4.2824011492753095e-22,0.0004434385066666667,0.2,0.0,0.0013050395251184906,0.19999999999999982,0.2,0.2,0.19999999999999893,1.6212395879382182e-58,2.920576803271534e-46,4.014688938127654e-113,5.464859829466947e-153,4.037602530785642e-16,6.459536183625051e-23,6.110389454794546e-40,1.1010696005453333e-15,6.459536183699885e-23,4.696473147184915e-18,1.7757554203079097e-53,7.427375555590346e-42,2.699248634338286e-42,8.949548349753106e-62,1.8725071405400852e-66,5.010503458100482e-90,2.3504286579910624e-86,1.2129597019756465e-106,1.9662393821773824e-190
