Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99)
0.0,0.0004434385066666667,0.2,0.0,0.00130503952512,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.853238861918738e-25,0.0004434385066666667,0.2,0.0,0.001305039525119996,0.2,0.2,0.2,0.2,3.3516760397013944e-61,6.0378659431094216e-49,4.476952137085574e-134,-6.308691445159544e-172,5.80671546088101e-19,1.3354147539542171e-25,3.913921688325621e-45,2.2763005700496282e-18,1.2170341915420622e-18,9.709272236321831e-21,1.7419069661532634e-54,9.403413330523653e-48,9.353246958670173e-48,5.7325039760972945e-67,1.3243431061765159e-77,-6.008106065365115e-106,1.4587538761541074e-95,-2.9813280839488704e-120,-9.365933228134967e-212,-1.439764213678633e-103,1.2196350374515538e-142
2.4789068813372467e-24,0.0004434385066666667,0.2,0.0,0.0013050395251199885,0.2,0.2,0.2,0.2,9.384692911163903e-61,1.690602464070638e-48,8.086913948678587e-132,1.6043692780460652e-169,1.625880329046671e-18,3.7391613110717816e-25,2.364008699758067e-44,6.373641596138833e-18,3.4076957363177616e-18,2.718596226169444e-20,2.6323697559816657e-53,5.731610348768794e-47,5.655798927551355e-47,3.46243240140402e-66,4.301796093672134e-76,3.3624569532023636e-104,2.3338417768114783e-94,3.246109760108747e-119,4.27798084727794e-209,7.899372093488275e-102,2.1971274351443296e-140
5.6660728716279925e-24,0.0004434385066666667,0.2,0.0,0.0013050395251199738,0.2,0.2,0.2,0.2,2.1450726654088924e-60,3.8642342035900303e-48,3.9046240549461465e-129,7.311477854142562e-166,3.7162978949637654e-18,8.546654425306804e-25,1.1381684269789089e-43,1.456832364831674e-17,7.789018825869111e-18,6.213934231241289e-20,2.8317832580380405e-52,2.8109513937847086e-46,2.729396926240455e-46,1.667012156010975e-65,9.742297861162392e-75,3.5645022899135883e-102,2.7983976477219104e-93,1.9751953314455414e-117,3.908111829142262e-205,8.406096263068046e-100,1.0610407716426637e-137
1.2040404852209484e-23,0.0004434385066666667,0.2,0.0,0.0013050395251199443,0.2,0.2,0.2,0.19999999999999998,4.5582794139938964e-60,8.211497682628814e-48,1.3707900019336281e-126,1.2782853984578235e-162,7.897133026797762e-18,1.8161640653776415e-24,4.970680544315069e-43,3.0957687752670526e-17,1.6551665004971612e-17,1.320461024137427e-19,2.602896687132209e-51,1.2725276008493744e-45,1.1975649945772418e-45,7.280280047183012e-65,1.8877045210995753e-73,2.942284001400249e-100,3.1022156953206375e-92,9.350549556321438e-116,1.3667726941171539e-201,6.94138711257876e-98,3.7251624656139065e-135
2.4789068813372466e-23,0.0004434385066666667,0.2,0.0,0.0013050395251198855,0.2,0.19999999999999998,0.2,0.19999999999999996,9.384692911163904e-60,1.690602464070638e-47,4.293979442568472e-124,1.7661731509378025e-159,1.6258803290465003e-17,3.73916131107139e-24,2.075161279277083e-42,6.373641596137005e-17,3.4076957363175826e-17,2.71859622615974e-19,2.2268329162059807e-50,5.687368221209597e-45,5.046047342678641e-45,3.039373605912291e-64,3.48290957531287e-72,2.2375884126274828e-98,3.561320641940021e-91,4.420168714986874e-114,3.777154243125618e-198,5.279105734015574e-96,1.1669165507438065e-132
5.028639673569843e-23,0.0004434385066666667,0.2,0.0,0.001305039525119768,0.2,0.19999999999999996,0.2,0.1999999999999999,1.9037519905503917e-59,3.4295078556861505e-47,1.32473170736636e-121,2.27742018926318e-156,3.298214381779648e-17,7.585155802458194e-24,8.477710934852502e-42,1.2929387237873681e-16,6.912754207958108e-17,5.514866630187234e-19,1.8411885178425092e-49,2.6296777354378608e-44,2.0994212320968625e-44,1.2416832893636473e-63,6.527558594023382e-71,1.7014065824695914e-96,4.445142004386355e-90,2.2352298220715433e-112,9.741276120255293e-195,4.014120014181987e-94,3.600057040534936e-130
1.0128105258035036e-22,0.0004434385066666667,0.2,0.0,0.0013050395251195327,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999976,3.834317389418393e-59,6.90731863891717e-47,4.295828452908492e-119,3.0069476719400967e-153,6.642882487244736e-17,1.527714478522903e-23,3.4268263072507524e-41,2.6040878521334127e-16,1.392287115123789e-16,1.110740743817369e-18,1.4972239250236805e-48,1.3104910790849224e-43,8.792952984744819e-44,5.019082375841334e-63,1.3057065798851275e-69,1.3698992141642123e-94,6.0552914298055044e-89,1.2246307112647137e-110,2.572317789568625e-191,3.2319980519031184e-92,1.1674247610335592e-127
2.0327036426965422e-22,0.0004434385066666667,0.2,0.0,0.0013050395251190622,0.19999999999999996,0.19999999999999973,0.2,0.1999999999999995,7.695448187154392e-59,1.3862940205379195e-46,1.529213844716669e-116,4.3021598599470943e-150,1.3332218698170085e-16,3.0661122750759605e-23,1.3779117867757128e-40,5.226386108820338e-16,2.7943105037792383e-16,2.2292489053872482e-18,1.2075653361923277e-47,7.260046222441877e-43,3.782296066979101e-43,2.01815094229165e-62,2.8889439314948963e-68,1.2152169954657472e-92,8.820688848420333e-88,7.1523503171175915e-109,7.360420006214148e-188,2.8670570387079626e-90,4.155759142838552e-125
4.0724898764826195e-22,0.0004434385066666667,0.2,0.0,0.0013050395251181213,0.1999999999999999,0.19999999999999946,0.2,0.19999999999999898,1.5417709782626376e-58,2.7774183338303194e-46,6.069606125284349e-114,6.825267470244584e-147,2.6710891120001493e-16,6.142907868177639e-23,5.5260425539661e-40,1.047098262217354e-15,5.598357281088108e-16,4.466265228417357e-18,9.699821482484853e-47,4.508253469756616e-42,1.7147354595000396e-42,8.09368786806812e-62,7.152270242268685e-67,1.204082920522457e-90,1.3410033108434632e-86,4.353967233493458e-107,2.3353437792145585e-184,2.8407884858566607e-88,1.6494635267736e-122
8.152062344054774e-22,0.0004434385066666667,0.2,0.0,0.0013050395251162396,0.19999999999999976,0.1999999999999989,0.2,0.19999999999999793,3.0862232973570284e-58,5.559666960415095e-46,2.651367702727527e-111,1.1900533603477288e-143,5.346823596358713e-16,1.229649905436325e-22,2.2132993923894994e-39,2.0960175648797324e-15,1.120645083569773e-15,8.940297874038983e-18,7.77560751525447e-46,3.084637726071877e-41,8.452873413086047e-42,3.241696751883626e-61,1.9515799537202236e-65,1.3141006178663243e-88,2.089148052226211e-85,2.7145072257187137e-105,8.143577558469134e-181,3.100352877204841e-86,7.205301989652351e-120
1.6311207279199083e-21,0.0004434385066666667,0.2,0.0,0.001305039525112476,0.19999999999999948,0.1999999999999978,0.2,0.19999999999999582,6.175127935545785e-58,1.1124164213584548e-45,1.2399584167140544e-108,2.2221842641780886e-140,1.0698292565044966e-15,2.4603681426663493e-22,8.858965612747874e-39,4.193856170171445e-15,2.2422637944884517e-15,1.7888363163527857e-17,6.226792307350773e-45,2.2585132096095928e-40,4.652168186539821e-41,1.297523478889001e-60,5.7037188358421816e-64,1.5359705284635583e-86,3.299098190621012e-84,1.715034620461107e-103,3.0412394249242787e-177,3.623809841722364e-84,3.3696853689142685e-117
3.26294971494877e-21,0.0004434385066666667,0.2,0.0,0.001305039525104949,0.19999999999999896,0.19999999999999554,0.19999999999999998,0.19999999999999163,1.23529372119232e-57,2.225315871992308e-45,6.046733690080035e-106,4.3296445446705e-137,2.140123050229398e-15,4.921804617098004e-22,3.5447401936181756e-38,8.38953338062269e-15,4.4855012163128245e-15,3.5784493735488106e-17,4.983957596696603e-44,1.723049417430974e-39,2.8768564842585314e-40,5.191783759175962e-60,1.7384235418269664e-62,1.8723217374695798e-84,5.265465110748289e-83,1.0949691733302446e-101,1.1850807437530141e-173,4.417362255100975e-82,1.6432478568831666e-114
6.5266076890064936e-21,0.0004434385066666667,0.2,0.0,0.0013050395250898948,0.19999999999999787,0.19999999999999105,0.19999999999999996,0.19999999999998325,2.470855576467763e-57,4.451114773259863e-45,3.018531289316929e-103,8.639801119768278e-134,4.280710637629804e-15,9.844677565847734e-22,1.418126908917321e-37,1.6780887800996464e-14,8.971976059909634e-15,7.157675485133857e-17,3.988175824188715e-43,1.3449184094935716e-38,1.963368720765279e-39,2.0770513664452453e-59,5.424006070046486e-61,2.3365163997220343e-82,8.687596816204835e-82,7.22426781315144e-100,4.7296260697918434e-170,5.512535614688587e-80,8.203098283996412e-112
1.305392363712194e-20,0.0004434385066666667,0.2,0.0,0.0013050395250597863,0.19999999999999574,0.19999999999998208,0.19999999999999987,0.19999999999996645,4.941979287018491e-57,8.902712575794371e-45,1.525658345195288e-100,1.7461227597002504e-130,8.56188581223303e-15,1.9690423462892895e-21,5.672969402600757e-37,3.356359663962914e-14,1.7944925746895493e-14,1.4316127697075934e-16,3.1909446072946624e-42,1.0625226459878215e-37,1.4354153103768304e-38,8.308880044469056e-59,1.7134397519695982e-59,2.9522805881957892e-80,1.7573114685538397e-80,5.832822667269352e-98,1.911729556230484e-166,6.96530730556151e-78,4.146097607010513e-109
2.6108555533352835e-20,0.0004434385066666667,0.2,0.0,0.0013050395249995695,0.19999999999999146,0.19999999999996412,0.19999999999999973,0.1999999999999329,9.884226708119312e-57,1.7805908180860968e-44,7.76057993408922e-98,3.5521724465727876e-127,1.7124236160649133e-14,3.9381915255165996e-21,2.2692801746058348e-36,6.712901430843502e-14,3.589082512003619e-14,2.863303207604805e-16,2.552917274710043e-41,8.446520802757423e-37,1.0942137238168931e-37,3.323686100138883e-58,5.447408423501011e-58,3.7542935734564156e-78,7.514606191980109e-79,9.926473364833847e-96,7.778126743631686e-163,8.857497405510425e-76,2.1089991739028474e-106
5.221781932581463e-20,0.0004434385066666667,0.2,0.0,0.0013050395248791358,0.1999999999999829,0.19999999999992824,0.19999999999999946,0.19999999999986576,1.9768721550318436e-56,3.5612299390984526e-44,3.9604048301175364e-95,7.250368010524461e-124,3.424893685431996e-14,7.876489883244334e-21,9.077305983974441e-36,1.3425984961220884e-13,7.17826238629935e-14,5.726684065434408e-16,2.04239845702437e-40,6.735742449150023e-36,8.537221711664292e-37,1.3295009583846637e-57,1.7374720487990135e-56,4.7897243796236046e-76,7.207343783395537e-77,3.798611355550268e-93,3.1751969282445966e-159,1.1300395207227682e-73,1.0762714370549144e-103
1.0443634691073821e-19,0.0004434385066666667,0.2,0.0,0.0013050395246382684,0.1999999999999658,0.19999999999985646,0.19999999999999887,0.1999999999997315,3.9537711234707704e-56,7.122508181119399e-44,2.024388572680636e-92,1.4823628599644649e-120,6.849833822901605e-14,1.5753086595792256e-20,3.63095981513464e-35,2.685215200844048e-13,1.4356622133561183e-13,1.1453445709234342e-15,1.6339446204909644e-39,5.379990050050065e-35,6.743178278498522e-36,5.318066302856624e-57,5.550778037626984e-55,6.1207307132947075e-74,8.828889762890226e-75,1.8604808821096266e-90,1.2983594927490781e-155,1.4440658340220229e-71,5.501436583029551e-101
2.0887340208058535e-19,0.0004434385066666667,0.2,0.0,0.0013050395241565337,0.19999999999993154,0.19999999999971288,0.19999999999999774,0.19999999999946297,7.907569060351475e-56,1.4245064665149161e-43,1.035624747796187e-89,3.0332847345824785e-117,1.36997140927826e-13,3.1506280009257907e-20,1.4523917016804052e-34,5.370448604873901e-13,2.871334162276632e-13,2.2906968709397125e-15,1.3071660377394726e-38,4.300528073939491e-34,5.359900513735724e-35,2.1272842589806435e-56,1.7747786517052855e-53,7.828004124473655e-72,1.1230538894927555e-72,9.46575489885225e-88,5.31353466553895e-152,1.8468685580173608e-69,2.8143924473077114e-98
4.1774751242027967e-19,0.0004434385066666667,0.2,0.0,0.0013050395231930644,0.19999999999986304,0.19999999999942575,0.19999999999999543,0.19999999999892593,1.5815164934519714e-55,2.8490177633253676e-43,5.300115108975317e-87,6.209422789303332e-114,2.7399474612311695e-13,6.301266678966838e-20,5.809584688285174e-34,1.074091539127734e-12,5.742678057990248e-13,4.58140135599744e-15,1.045736965657268e-37,3.4390011034464414e-33,4.2740603514334284e-34,8.510818724609914e-56,5.676881047217698e-52,1.0015520896359016e-69,1.4359195077671978e-70,4.841076612299284e-85,2.175462101302743e-148,2.362984793781121e-67,1.4403483829443387e-95
