Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107)
0.0,0.0004434385066666667,0.2,0.0,0.00130503952512,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.315453728562771e-25,0.0004434385066666667,0.2,0.0,0.0013050395251199957,0.2,0.2,0.2,0.2,3.526662224744733e-61,6.3530942392432996e-49,6.798861698725437e-134,-1.076342984453069e-171,6.109875722820365e-19,1.405134837422026e-25,4.333270440646812e-45,2.3951429486228353e-18,1.2805737961227647e-18,1.0216179374140602e-20,2.0292259038160542e-54,1.0414231818120918e-47,1.03557907441855e-47,6.346700830663414e-67,1.6149755557488088e-77,-8.168025422367853e-106,1.704186856365896e-95,-3.850022311003232e-120,1.1221860312934056e-170,-1.953027180655948e-103,1.8517045332072085e-142,1.2292311737313817e-156,-1.9258046762159788e-141,-2.3585564076304263e-162
2.608327043997576e-24,0.0004434385066666667,0.2,0.0,0.0013050395251199879,0.2,0.2,0.2,0.2,9.87465422928525e-61,1.778866386988124e-48,1.2145731134006672e-131,2.665729070820912e-169,1.7107652023896888e-18,3.9343775447816432e-25,2.617295346161618e-44,6.706400256143806e-18,3.585606629143731e-18,2.860530224758627e-20,3.0665664696651268e-53,6.350713403066291e-47,6.262397252310534e-47,3.8334073015357717e-66,5.273810388674423e-76,4.5611836129757876e-104,2.7339480070255333e-94,4.211695446406338e-119,3.5552228757896143e-168,1.0721971426938346e-101,3.2999401134321763e-140,1.1127385255084103e-153,1.916512056025619e-139,5.841327969201451e-160
5.961890386280174e-24,0.0004434385066666667,0.2,0.0,0.0013050395251199725,0.2,0.2,0.2,0.2,2.257063823836629e-60,4.065980313115712e-48,5.875398850624478e-129,1.2178973639134945e-165,3.9103204626049416e-18,8.992862959500757e-25,1.2601150441561921e-43,1.5328914871185192e-17,8.19567229518561e-18,6.538354799444798e-20,3.2988722922586113e-52,3.117505622106971e-46,3.0224991371561516e-46,1.8456206012795257e-65,1.1960492136800636e-74,4.844596995916476e-102,3.293779256033981e-93,2.5737579437745445e-117,3.495907987953151e-165,1.142562177728442e-99,1.5965878232184432e-137,1.4797141470831512e-150,4.131272910419133e-137,2.668740050910934e-156
1.266901707084537e-23,0.0004434385066666667,0.2,0.0,0.0013050395251199415,0.2,0.2,0.2,0.19999999999999998,4.7962606256528366e-60,8.640208165370887e-48,2.0665201578955846e-126,2.1332509544369753e-162,8.30943098303524e-18,1.9109833788938505e-24,5.503253459786335e-43,3.257394410126572e-17,1.741580362726915e-17,1.3894003948805288e-19,3.0322319838801604e-51,1.413815785496893e-45,1.326488457653053e-45,8.060310052076124e-65,2.3217263331658562e-73,4.0063844643845516e-100,3.67721373800231e-92,1.2269378810793772e-115,2.4618431287612085e-162,9.451860566895291e-98,5.61583844529024e-135,1.147093211428028e-147,6.842582981100688e-135,4.674525480989793e-153
2.608327043997576e-23,0.0004434385066666667,0.2,0.0,0.0013050395251198797,0.2,0.19999999999999998,0.2,0.19999999999999996,9.874654229285251e-60,1.7788663869881236e-47,6.493525418156127e-124,2.95637895564424e-159,1.7107652023895003e-17,3.934377544781209e-24,2.2974999877787036e-42,6.706400256141786e-17,3.585606629143534e-17,2.8605302247478835e-19,2.5941383018144525e-50,6.339042674525397e-45,5.591938999843163e-45,3.365020777837978e-64,4.2971279400447014e-72,3.056339800972585e-98,4.258082652314954e-91,5.850123450662473e-114,1.5477040414578266e-159,7.2107782120373064e-96,1.7646580981368567e-132,7.563470424234772e-145,1.0445381116021716e-132,6.478219888270075e-150
5.2911777178236545e-23,0.0004434385066666667,0.2,0.0,0.0013050395251197559,0.2,0.19999999999999996,0.2,0.1999999999999999,2.0031441436550075e-59,3.6085575278901925e-47,2.013573205108175e-121,3.8311821512529654e-156,3.470409410561118e-17,7.981165876555157e-24,9.386037106507077e-42,1.360441194816864e-16,7.273659161976421e-17,5.802789884463627e-19,2.144883713670498e-49,2.9464146012435497e-44,2.3286948366259345e-44,1.3747207845408268e-63,8.095054330732191e-71,2.335883586188287e-96,5.3600157148545665e-90,2.983542789745653e-112,9.5983133849347e-157,5.511038915953165e-94,5.472035847014399e-130,4.836316031890416e-142,1.5966197687296423e-130,8.39514851792363e-147
1.0656879065475812e-22,0.0004434385066666667,0.2,0.0,0.0013050395251195084,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999976,4.034501585107972e-59,7.267939809694327e-47,6.577745381342659e-119,5.095124838422556e-153,6.989697826903019e-17,1.6074742540099984e-23,3.7939862687933305e-41,2.7400435332208065e-16,1.4649764227640795e-16,1.1687309203819237e-18,1.7441838146304068e-48,1.4793506112015066e-43,9.770311594432485e-44,5.556841200919107e-63,1.6312415029317968e-69,1.8946322946881997e-94,7.350249153227032e-89,1.6455912254987257e-110,6.269153045131345e-154,4.4699988731078954e-92,1.787553500485883e-127,3.256598296006504e-139,2.58906639396139e-128,1.1164786232359695e-143
2.1388281760780125e-22,0.0004434385066666667,0.2,0.0,0.0013050395251190134,0.19999999999999996,0.19999999999999973,0.2,0.19999999999999948,8.097216468013897e-59,1.4586704373302579e-46,2.3619752357959567e-116,7.353233192980305e-150,1.402827465958148e-16,3.226189586717736e-23,1.5255451925431594e-40,5.499248210022973e-16,2.940197435896392e-16,2.3456347842226966e-18,1.4067474338965396e-47,8.267366045590763e-43,4.21597772200326e-43,2.2343813996657492e-62,3.640762847822869e-68,1.6953832642346918e-92,1.0753932092470793e-87,9.65347965213738e-109,4.5003720401702665e-151,3.999911575367266e-90,6.418853957213648e-125,2.4465453910874684e-136,4.63091598922124e-126,1.6112907793203854e-140
4.285108715138875e-22,0.0004434385066666667,0.2,0.0,0.0013050395251180233,0.19999999999999987,0.19999999999999943,0.2,0.19999999999999893,1.6222646233825725e-58,2.9224233500519013e-46,9.452121443425605e-114,1.1762700478934254e-146,2.8105428324917037e-16,6.463620252128298e-23,6.118118542224204e-40,1.1017657563604444e-15,5.890639462158773e-16,4.6994425117828454e-18,1.1299760411113754e-46,5.1755935475951055e-42,1.9212981745788823e-42,8.960868705229615e-62,9.087626762915935e-67,1.6936765666756832e-90,1.6390863075317005e-86,5.891719770219303e-107,3.6003312787296126e-148,3.9958850096570636e-88,2.5686888622436405e-122,2.120222011524796e-133,9.247135231318962e-124,2.577523427342562e-137
8.5776697932606e-22,0.0004434385066666667,0.2,0.0,0.0013050395251160433,0.19999999999999973,0.19999999999999885,0.2,0.19999999999999782,3.247350576544932e-58,5.8499291754951624e-46,4.154753620119881e-111,2.0640362991042315e-143,5.625973565550271e-16,1.2938481582929777e-22,2.450438613269734e-39,2.205447627067592e-15,1.1791523514674548e-15,9.40705796641756e-18,9.058156599260482e-46,3.562884236116344e-41,9.541637777987977e-42,3.589021399188705e-61,2.4950856206531867e-65,1.859972236654976e-88,2.557095617422392e-85,3.678429385602556e-105,3.164034402320771e-145,4.388225835741459e-86,1.1290872458107435e-119,2.1460681147094648e-130,2.030098958467884e-121,4.522857591549696e-134
1.7162791949504052e-21,0.0004434385066666667,0.2,0.0,0.0013050395251120834,0.19999999999999946,0.19999999999999765,0.2,0.1999999999999956,6.497522482869624e-58,1.1704940826381578e-45,1.9508362410036564e-108,3.8700840381502255e-140,1.1256835031633225e-15,2.5888204244454147e-22,9.80814050196676e-39,4.412811368445301e-15,2.3593291619670158e-15,1.882228887374464e-17,7.253871767625087e-45,2.618816273491947e-40,5.297242762008706e-41,1.4365438478816022e-60,7.321214755687508e-64,2.182712985184423e-86,4.0413508364927733e-84,2.3259600764538943e-103,2.9706504464509252e-142,5.14966704695491e-84,5.301552255712708e-117,2.544849286625584e-127,4.7633292563881936e-119,8.480392994774528e-131
3.433303626199096e-21,0.0004434385066666667,0.2,0.0,0.0013050395251041633,0.1999999999999989,0.1999999999999953,0.19999999999999998,0.19999999999999118,1.2997866295518894e-57,2.3414964128153992e-45,9.535282585087411e-106,7.55833442461076e-137,2.251855796366241e-15,5.178764956718852e-22,3.924533787503425e-38,8.827538851054379e-15,4.719682782951761e-15,3.7652750680629414e-17,5.806037445478742e-44,2.0023653940241527e-39,3.302452922057818e-40,5.748046274918327e-60,2.236512287652326e-62,2.6668070456084614e-84,6.4571533920792466e-83,1.4866321423267817e-101,2.9036185077674085e-139,6.291788747216152e-82,2.5912886985508425e-114,3.523176798814487e-124,1.1637577909260153e-116,1.6562339648124972e-127
