Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),CH3X(33)
0.0,0.002771490666666666,0.2,0.0,0.008156497031999999,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.64106070077162e-25,0.002771490666666666,0.2,0.0,0.008156497031999995,0.2,0.2,0.2,0.2,6.346486203434383e-53,1.4582007313063673e-43,-1.0664958503981333e-125,1.2699219031687512e-167,9.108739448516585e-19,1.804106414860951e-24,1.854549538565588e-42,2.4839879680120914e-18,1.80410641559658e-24,1.0595136569620062e-20,8.693978764037988e-59,1.5905699806917356e-46,1.5900433631250443e-46,1.510769090295076e-61,8.140987952176243e-71,3.147564384155732e-98,5.692551551028126e-89,-2.3460848028351148e-114,-6.171209119061618e-158,1.0451591097350257e-97,5.6491422331941126e-129
2.4194969962160536e-24,0.002771490666666666,0.2,0.0,0.008156497031999988,0.2,0.2,0.2,0.2,1.777016136961627e-52,4.082962047657828e-43,1.111800362065101e-124,3.501367056725594e-166,2.5504470455846414e-18,5.051497961610658e-24,1.1201479212935676e-41,6.955166310433509e-18,5.05149796367042e-24,2.9666382394931555e-20,1.313834001628834e-57,9.612831111751249e-46,9.604872865885613e-46,9.125045304930483e-61,4.9177740099407315e-70,4.909373160468396e-97,8.643096058268584e-88,2.336506500290098e-113,1.2524915216275117e-156,2.787983799824084e-96,1.642503302440475e-127
5.530278848493837e-24,0.002771490666666666,0.2,0.0,0.008156497031999976,0.2,0.2,0.2,0.2,4.061751170198005e-52,9.33248468036075e-43,6.490225854885132e-123,9.740658559129515e-164,5.829593247050598e-18,1.1546281055110053e-23,5.393030058148018e-41,1.589752299527495e-17,1.1546281059818081e-23,6.780887404553608e-20,1.4133626585701386e-56,4.6338947628041945e-45,4.625333644545299e-45,4.3933165139004136e-60,2.3690342570706733e-69,5.621371250006085e-96,9.38795820579859e-87,1.3000250458220691e-111,1.4011010841973368e-154,5.689525183601347e-95,3.796307333718813e-126
1.1751842553049404e-23,0.002771490666666666,0.2,0.0,0.008156497031999952,0.2,0.2,0.2,0.19999999999999998,8.63122123667076e-52,1.9831529945766595e-42,2.860970176238736e-121,1.933497565156777e-161,1.2387885649982473e-17,2.4535847242108765e-23,2.3552779139775607e-40,3.3782236364952264e-17,2.453584725211332e-23,1.4409385734667125e-19,1.2991237828907415e-55,2.028747864019019e-44,2.0208787212046978e-44,1.918676743974489e-59,1.0370762578282412e-68,5.7958818811516654e-95,8.795120102361047e-86,5.213174464226673e-110,1.237304817062101e-152,1.020443774709825e-93,7.86925290657679e-125
2.4194969962160536e-23,0.002771490666666666,0.2,0.0,0.008156497031999903,0.2,0.2,0.2,0.19999999999999996,1.777016136961627e-51,4.0829620476578274e-42,1.2314492789750209e-119,3.4554529217501514e-159,2.550447045584606e-17,5.0514979616105885e-23,9.832821653468126e-40,6.95516631042846e-17,5.0514979636703497e-23,2.9666382394864614e-19,1.1114277471234776e-54,8.511387166982065e-44,8.444064992915003e-44,8.010097710442174e-59,4.371785628001413e-68,6.052512791503381e-94,7.808530518609836e-85,1.9104130510000967e-108,1.0640169287860605e-150,1.7384450700014383e-92,1.642942282740164e-123
4.90812247803828e-23,0.002771490666666666,0.2,0.0,0.008156497031999804,0.2,0.2,0.2,0.19999999999999987,3.6048041635507295e-51,8.282580153820164e-42,5.715559919305446e-118,6.368795306407337e-157,5.1737640067572614e-17,1.0247324436409883e-22,4.017028482508998e-39,1.410905165828601e-16,1.0247324440588258e-22,6.0180375715141415e-19,9.189499540796673e-54,3.511298226340683e-43,3.4556349509755703e-43,3.272386275006782e-58,1.856512267742808e-67,6.9318511777279085e-93,6.926141935034093e-84,6.878387909792961e-107,9.838066946601419e-149,2.962167186234723e-91,3.7473173120975333e-122
9.885373441682733e-23,0.002771490666666666,0.2,0.0,0.008156497031999608,0.19999999999999998,0.2,0.2,0.19999999999999973,7.260380216728933e-51,1.6681816366144825e-41,3.16666362463114e-116,1.355046214354959e-154,1.0420397929102315e-16,2.0638977386007979e-22,1.6237471393874106e-38,2.8416822353965445e-16,2.0638977394423573e-22,1.2120836235522224e-18,7.472748410650717e-53,1.4469044942873534e-42,1.4016400436148261e-42,1.322750851080412e-57,8.675502579677367e-67,9.562832804998551e-92,6.396478712093176e-83,2.5565588226091248e-105,1.083207386282951e-146,5.5144723702572465e-90,1.0260648275822725e-120
1.983987536897164e-22,0.002771490666666666,0.2,0.0,0.008156497031999216,0.19999999999999993,0.2,0.2,0.19999999999999946,1.4571532323085335e-50,3.3480288790794123e-41,2.563289033394238e-114,4.041751091793141e-152,2.0913665773791418e-16,4.142228328520218e-22,6.52901583246428e-38,5.703236374518167e-16,4.142228330209222e-22,2.43264335633493e-18,6.027042311861014e-52,6.03974579189858e-42,5.674671607276153e-42,5.318722977545642e-57,5.458169129490896e-66,1.939623208913091e-90,6.391802711903042e-82,1.0234249751057371e-103,1.7378623321387257e-144,1.368997653667315e-88,4.112914817720643e-119
3.9748879223549455e-22,0.002771490666666666,0.2,0.0,0.008156497031998432,0.19999999999999982,0.2,0.2,0.19999999999999887,2.919383653579813e-50,6.707723364009263e-41,3.77624970717398e-112,2.1753397534091324e-149,4.1900201463165573e-16,8.298889508358257e-22,2.6184273661733825e-37,1.1426344652704345e-15,8.29888951174215e-22,4.873762821824703e-18,4.8412481494148236e-51,2.6001163120651587e-41,2.306868887163771e-41,2.1330457852954183e-56,5.613126681244409e-65,7.177184925517649e-89,7.114769965809816e-81,4.552985831213647e-102,5.080145532007636e-142,5.5447746917027725e-87,3.0089970190265986e-117
