Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73)
0.0,0.002771490666666666,0.2,0.0,0.008156497031999999,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.85324254683693e-25,0.002771490666666666,0.2,0.0,0.008156497031999995,0.2,0.2,0.2,0.2,6.502324613243549e-53,1.4940069516092453e-43,-5.828294761392405e-126,7.034331196769414e-162,6.492107950425511e-19,1.8484063732641228e-24,1.9467449275008153e-42,2.544982465204981e-18,1.3606878570652906e-18,1.085530088445412e-20,4.808529084078406e-53,1.1615016019244312e-46,1.1611523803384828e-46,1.585874090711565e-61,8.545576669458884e-71,2.3566197231295527e-98,4.2594293858876316e-89,-1.2818123781278276e-114,-4.961763482335167e-158,7.955677894411476e-98,-5.355168952968377e-133,-7.11949867035075e-148,4.333293621123111e-129,2.627420619066521e-153,1.1301955816945585e-167,1.6875226965168008e-164,3.1793214874761086e-202,-1.4001599600833696e-164
2.4789079131143405e-24,0.002771490666666666,0.2,0.0,0.008156497031999985,0.2,0.2,0.2,0.2,1.8206508917081938e-52,4.183219464505886e-43,6.083520619027085e-125,1.192972927297587e-160,1.8177902261191403e-18,5.1755378451395344e-24,1.1758339362110476e-41,7.12595090257358e-18,3.8099259997828095e-18,3.039484247646668e-20,7.26664901163155e-52,7.019800233528851e-46,7.014522795748012e-46,9.578679507411964e-61,5.1618574641200765e-70,3.67840566277418e-97,6.467903034785584e-88,1.276825539822186e-113,1.0082101399106251e-156,2.128485731585103e-96,5.589266223988303e-132,2.231067743379019e-146,1.2608098565787141e-127,4.455917118641869e-152,1.4710500954697823e-166,2.1964609170533375e-163,1.4017465937915594e-200,7.757918059292398e-163
5.6660752299756355e-24,0.002771490666666666,0.2,0.0,0.008156497031999969,0.2,0.2,0.2,0.2,4.1614877524758716e-52,9.561644490299171e-43,3.555668078566885e-123,3.7743557298259755e-158,4.154949088272309e-18,1.1829800788890333e-23,5.661134249180516e-41,1.6287887777309313e-17,8.708402285217834e-18,6.94739256604724e-20,7.817129400858068e-51,3.3840187649579196e-45,3.378341537814234e-45,4.6117218550604015e-60,2.485925518835898e-69,4.2175907283357244e-96,7.026945183490011e-87,7.105722042311937e-112,1.129251014127359e-154,4.350753324669656e-95,3.2662063062246783e-130,3.0469272185118687e-144,2.91795324884483e-126,1.4097737873933014e-149,6.2214210215807485e-165,9.289356062393062e-162,8.673920866066493e-198,2.1649698910728356e-160
1.2040409863698225e-23,0.002771490666666666,0.2,0.0,0.008156497031999936,0.2,0.2,0.2,0.19999999999999998,8.843161474011227e-52,2.0318494541885737e-42,1.5705897787124627e-121,7.908091659206574e-156,8.82926681257861e-18,2.513832667639182e-23,2.472366057934371e-40,3.4611761526774906e-17,1.8505354856087814e-17,1.4763209202840623e-19,7.185288691372687e-50,1.481633803746791e-44,1.4764154537628297e-44,2.014060094450564e-59,1.0869791151312118e-68,4.3575134798873595e-95,6.586190434884317e-86,2.850706938214312e-110,9.992430354141526e-153,7.802819508650372e-94,1.4423101309295565e-128,2.9150424123262815e-142,6.060786108928435e-125,2.953781240791591e-147,2.5462212245502486e-163,3.801825256066636e-160,3.516774081609322e-195,4.149325841292493e-158
2.4789079131143403e-23,0.002771490666666666,0.2,0.0,0.00815649703199987,0.2,0.19999999999999998,0.2,0.19999999999999996,1.8206508917081938e-51,4.1832194645058856e-42,6.771399034765057e-120,1.4459132535243738e-153,1.8177902261191058e-17,5.1755378451394385e-23,1.0321641605683991e-39,7.125950902568263e-17,3.809925999782754e-17,3.0394842476396343e-19,6.147165751715976e-49,6.216774956397726e-44,6.17213087322252e-44,8.408304422174614e-59,4.560429197835059e-68,4.5578529704087906e-94,5.852405808333244e-85,1.0455501242280345e-108,8.607133160027463e-151,1.3240800830702273e-92,6.21552681065453e-127,2.588088153405704e-140,1.2674526319908447e-123,5.400685462427821e-145,1.066109395699353e-161,1.5918340430202064e-158,1.2546016918003754e-192,7.370916446234368e-156
5.0286417666033766e-23,0.002771490666666666,0.2,0.0,0.008156497031999738,0.2,0.19999999999999996,0.2,0.19999999999999987,3.693320380322335e-51,8.485959485140508e-42,3.123619737387009e-118,2.6807173979783844e-151,3.687517315841536e-17,1.0498948200139778e-22,4.2167273828269404e-39,1.445550040234042e-16,7.728707028130599e-17,6.16581090233836e-19,5.0825955180414566e-48,2.5652811112100257e-43,2.528368519941149e-43,3.435066709706084e-58,1.9006925749400873e-67,5.187113727780438e-93,5.19906427967096e-84,3.770199923263119e-107,7.91158139947597e-149,2.2170098583005703e-91,2.8654396362037704e-125,2.4023068176282417e-138,2.873670680513288e-122,1.0012849408728991e-142,4.884410288735044e-160,7.293032599704256e-157,4.581489696040771e-190,1.3680296150470504e-153
1.0128109473581448e-22,0.002771490666666666,0.2,0.0,0.008156497031999475,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,7.438659357550614e-51,1.709143952640974e-41,1.654063518962905e-116,5.533933435461184e-149,7.426971495286154e-17,2.114576891013977e-22,1.7044686278353095e-38,2.9114599401847184e-16,1.5566269084825889e-16,1.241846421168614e-18,4.1330822656599927e-47,1.057562560615171e-42,1.0275458547479938e-42,1.3885088836537082e-57,8.308038076389556e-67,6.83363262223246e-92,4.813602801974678e-83,1.4048109965410646e-105,8.333711023134135e-147,3.8719778541633504e-90,1.516304195279169e-123,2.5310903634008985e-136,7.525102833917426e-121,2.0670005167808177e-140,2.599622583241911e-158,3.881560132291753e-155,1.9255697195768866e-187,2.880882848825478e-151
2.032704488753759e-22,0.002771490666666666,0.2,0.0,0.008156497031998949,0.19999999999999996,0.1999999999999997,0.2,0.19999999999999943,1.4929337312007166e-50,3.4302399608948156e-41,1.1435372695348885e-114,1.4430694014607055e-146,1.4905879854174422e-16,4.243941033013701e-22,6.853593387483849e-38,5.843279740071053e-16,3.1241393198214877e-16,2.492377083018301e-18,3.3334805784417125e-46,4.418354939871917e-42,4.176259339038677e-42,5.583133133024212e-57,4.393039105699161e-66,1.1818367122664533e-90,4.827308354667331e-82,5.643661964611233e-104,1.1437623931910314e-144,8.112134184117789e-89,1.0478826774783998e-121,3.4499913057189164e-134,2.578699071601469e-119,5.390063401516739e-138,1.8250957253570864e-156,2.725095116048296e-153,1.1340814945959034e-184,7.84506384766719e-149
4.0724915715449876e-22,0.002771490666666666,0.2,0.0,0.008156497031997898,0.19999999999999987,0.1999999999999994,0.2,0.19999999999999885,2.9910693220920235e-50,6.872431977402484e-41,1.319477455742281e-112,6.084560415039158e-144,2.9863696571947094e-16,8.502669317012049e-22,2.74859748300716e-37,1.1706919339783641e-15,6.259164142498649e-16,4.993438406638198e-18,2.6776328830539497e-45,1.90505821508058e-41,1.7105938732819953e-41,2.2390860825884883e-56,3.59437580361424e-65,3.425254051791913e-89,5.395652189859851e-81,2.521162558038568e-102,2.617164392651369e-142,2.6103015548427694e-87,1.2097950582875522e-119,7.81584030695868e-132,1.4769089898412773e-117,2.2726673038336554e-135,2.15556468946121e-154,3.218526418073947e-151,1.3659980141942847e-181,3.5493381062851547e-146
