Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH3OX(49)
0.0,0.0005542981333333334,0.2,0.0,0.0016312994064,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.326731956429436e-25,0.0005542981333333334,0.2,0.0,0.0016312994063999967,0.2,0.2,0.2,0.2,3.0578126523550883e-52,7.0257848247572475e-43,-1.7473520010377953e-130,6.872879667894883e-160,8.777398339763942e-19,1.738479922503093e-24,2.9824910531910937e-34,2.3936299846598144e-18,1.7384799232119627e-24,1.02097260176778e-20,5.0317225083724315e-58,7.448247356335316e-46,7.382634925663064e-46,7.014280875562285e-61,3.77962983868829e-70,7.09519397046151e-97,1.26786490559642e-87,-5.963447152946969e-118,2.7663452751621224e-96
2.331484947800242e-24,0.0005542981333333334,0.2,0.0,0.0016312994063999908,0.2,0.2,0.2,0.2,8.561875426594248e-52,1.967219750932029e-42,2.116671556315069e-129,1.17492595301464e-158,2.4576715351338923e-18,4.8677437830086375e-24,8.350975004730436e-34,6.702163957047146e-18,4.867743784993474e-24,2.858723284949778e-20,7.603932967856015e-57,4.559002127378324e-45,4.4598486224086456e-45,4.2366256488396084e-60,2.2828964233212033e-69,1.1152275422524663e-95,1.915998934837157e-86,5.892275169343306e-117,7.582217187717113e-95
5.329108452114839e-24,0.0005542981333333334,0.2,0.0,0.001631299406399979,0.2,0.2,0.2,0.2,1.9570000975072566e-51,4.4965022878446384e-42,1.4091129162076183e-127,3.7596514361165354e-156,5.617534937448843e-18,1.112627150401964e-23,1.9087943130990632e-33,1.5319231901820462e-17,1.1126271508556406e-23,6.534224651313747e-20,8.179961699496895e-56,2.2546196825631355e-44,2.1479548665655417e-44,2.039752878613495e-59,1.0991163591124042e-68,1.2953575382970028e-94,2.0611475489719777e-85,3.249858729694863e-115,1.5722855709063902e-93
1.1324355460744032e-23,0.0005542981333333334,0.2,0.0,0.0016312994063999555,0.2,0.2,0.2,0.19999999999999998,4.15862520720292e-51,9.555067361669858e-42,7.604846086368602e-126,8.023887486576925e-154,1.1937261742078564e-17,2.3643326946041282e-23,4.056188027623702e-33,3.2553367791361724e-17,2.3643326955681914e-23,1.3885227384041576e-19,7.51879314765052e-55,1.0367489343453678e-43,9.387055917174346e-44,8.908136711963927e-59,4.8001299361385155e-68,1.366823712106707e-93,1.8945558304074278e-84,1.2790360849740586e-113,2.8387931237227107e-92
2.331484947800242e-23,0.0005542981333333334,0.2,0.0,0.0016312994063999082,0.2,0.2,0.2,0.19999999999999996,8.561875426594249e-51,1.9672197509320288e-41,4.144723887238321e-124,1.5065224790047633e-151,2.457671535133727e-17,4.867743783008311e-23,8.35097581376338e-33,6.702163957042276e-17,4.8677437849931463e-23,2.85872328494968e-19,6.432485463916783e-54,4.763010959243665e-43,3.924229521450493e-43,3.7189717202229766e-58,2.0039598187046432e-67,1.4709241354471487e-92,1.6208428914329417e-83,4.519151760707116e-112,4.814316906812039e-91
4.7295837512519194e-23,0.0005542981333333334,0.2,0.0,0.0016312994063998137,0.2,0.2,0.2,0.1999999999999999,1.7368375865376905e-50,3.990645780462115e-41,2.372082657119856e-122,2.86802213139245e-149,4.985562256985175e-17,9.874565959816097e-23,1.6940552814404347e-32,1.3595818312845884e-16,9.874565963842479e-23,5.799124378040552e-19,5.318503225464673e-53,2.301041381301985e-42,1.6075206681979295e-42,1.5193212947701896e-57,8.186830948705607e-67,1.7149591081289392e-91,1.340161597865919e-82,1.518265406726269e-110,7.926160304096595e-90
9.525781358155275e-23,0.0005542981333333334,0.2,0.0,0.0016312994063996246,0.19999999999999998,0.2,0.2,0.19999999999999976,3.4981376742942205e-50,8.037497839522284e-41,1.4198929888055611e-120,5.86784719129093e-147,1.00413437006869e-16,1.9888210313429347e-22,3.41197125291327e-32,2.7383127024418703e-16,1.988821032153882e-22,1.1679926564221599e-18,4.324918436295762e-52,1.2172574619016296e-41,6.53297935881848e-42,6.141339592036295e-57,3.309250599850736e-66,2.205791834125064e-90,1.0898253750239867e-81,4.977211523696942e-109,1.2862648875020034e-88
1.9118176571961985e-22,0.0005542981333333334,0.2,0.0,0.0016312994063992466,0.19999999999999993,0.2,0.2,0.19999999999999948,7.020737849807281e-50,1.613120195764261e-40,8.758964644083129e-119,1.299266496766395e-144,2.015290658808566e-16,3.991549902064657e-22,6.847805481237512e-32,5.495774444742676e-16,3.991549903692222e-22,2.3441530936580923e-18,3.4882033761421756e-51,7.203666090742991e-41,2.655128207876808e-41,2.469405639365356e-56,1.3306414941961742e-65,3.0876241520974488e-89,8.790291687150412e-81,1.6120353263189503e-107,2.0725831554849307e-87
3.8302966999575404e-22,0.0005542981333333334,0.2,0.0,0.0016312994063984905,0.19999999999999982,0.2,0.2,0.19999999999999893,1.4065938200833395e-49,3.231861019388321e-40,5.498534847916492e-117,3.057106967014784e-142,4.0376032362864417e-16,7.997007643504388e-22,1.371948307940027e-31,1.1010697929289256e-15,7.997007646765188e-22,4.6964739681288446e-18,2.8019146388909242e-50,4.741113856127589e-40,1.0874808730960177e-40,9.903421082531778e-56,5.3366386290089685e-65,4.5825049441536467e-88,7.061571638376413e-80,5.190048603308314e-106,3.3279088863584855e-86
7.667254785480224e-22,0.0005542981333333334,0.2,0.0,0.0016312994063969783,0.19999999999999962,0.2,0.2,0.19999999999999782,2.8156338902885602e-49,6.4693426666364235e-40,3.485078419866001e-115,7.476896910122276e-140,8.082228391234693e-16,1.6007923126368998e-21,2.746287484178291e-31,2.2040544898162277e-15,1.600792313289627e-21,9.401115717065906e-18,2.246081386746185e-49,3.382546821995882e-39,4.53707764406304e-40,3.966534030041031e-55,2.137933164420867e-64,7.045417283928529e-87,5.661896200970666e-79,1.6661338220571304e-104,5.335174182731906e-85
