Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112)
0.0,0.0005542981333333334,0.2,0.0,0.0016312994064,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.058740158792441e-25,0.0005542981333333334,0.2,0.0,0.0016312994063999958,0.2,0.2,0.2,0.2,2.959398446898524e-52,6.799663374607339e-43,-4.547301346975429e-124,2.2743254038572338e-159,5.90949708861209e-19,1.682527796023545e-24,1.6130158411025256e-42,2.3165921736886717e-18,1.238577822679327e-18,9.881130976647772e-21,1.8133290224362565e-52,4.811753604288913e-46,4.810436665913815e-46,6.570044164965944e-61,3.5404752835298634e-70,4.4313397697460505e-97,8.028081366393525e-88,-1.001114283036426e-112,3.026343979670429e-193,1.4039766009040661e-96,-4.17820119328895e-131,-2.5288748702946246e-145
2.2564472444618837e-24,0.0005542981333333334,0.2,0.0,0.0016312994063999884,0.2,0.2,0.2,0.2,8.286315651315867e-52,1.903905744890055e-42,4.724040154693719e-123,3.844949732253673e-158,1.6546591848113752e-18,4.7110778288658976e-24,9.742615680281675e-42,6.4864580863279645e-18,3.4680179035021037e-18,2.766716673460968e-20,2.7403028257339643e-51,2.907932259866051e-45,2.905942102138922e-45,3.968306675456187e-60,2.1390119177698478e-69,6.8977086949973336e-96,1.218533411637195e-86,9.964979248968348e-112,9.511981845914376e-192,3.7123190370273484e-95,4.340301370086355e-130,7.891055611037772e-144
5.157593701627163e-24,0.0005542981333333334,0.2,0.0,0.0016312994063999735,0.2,0.2,0.2,0.2,1.8940150060150556e-51,4.3517845597486976e-42,2.748256920971628e-121,1.2110215105810223e-155,3.7820781367116695e-18,1.0768177894550492e-23,4.690650065959116e-41,1.4826189911605274e-17,7.926898065147613e-18,6.323923825051716e-20,2.9478927332407907e-50,1.4016609129059805e-44,1.399519991886525e-44,1.9105688428972325e-59,1.0310662142915776e-68,7.868252568283036e-95,1.3226973283417295e-85,5.541253600985728e-110,5.810741456615471e-189,7.537724963963982e-94,2.5245980771220817e-128,1.0726916877052659e-141
1.0959886615957722e-23,0.0005542981333333334,0.2,0.0,0.0016312994063999435,0.2,0.2,0.2,0.19999999999999998,4.024781887781993e-51,9.247542189465982e-42,1.2043404731869728e-119,2.519403454753499e-153,8.0369160405121e-18,2.288237802591923e-23,2.048530118233971e-40,3.1505653562154777e-17,1.6844658388438447e-17,1.3438338128226675e-19,2.7096212990829685e-49,6.135539968975681e-44,6.1158612157976e-44,8.34395608666649e-59,4.525412179162192e-68,8.064300735240292e-94,1.2376213092216017e-84,2.219342250925435e-108,2.4195808442750164e-186,1.3510504877362702e-92,1.1060283791742215e-126,1.018451581241784e-139
2.2564472444618836e-23,0.0005542981333333334,0.2,0.0,0.0016312994063998837,0.2,0.19999999999999998,0.2,0.19999999999999996,8.286315651315867e-51,1.9039057448900545e-41,5.153243341862194e-118,4.569871360743761e-151,1.6546591848112338e-17,4.711077828865494e-23,8.552209989828146e-40,6.486458086323336e-17,3.4680179035019385e-17,2.7667166734550453e-19,2.318138068700267e-48,2.57325004425152e-43,2.556414456438515e-43,3.483437413708711e-58,1.9278586725667818e-67,8.371790110133676e-93,1.0961893922559043e-83,8.113988912783042e-107,8.780728108561053e-184,2.3208203174264733e-91,4.730571225540997e-125,8.971900007213434e-138
4.5773644101941064e-23,0.0005542981333333334,0.2,0.0,0.001631299406399764,0.2,0.19999999999999996,0.2,0.1999999999999999,1.6809383178383614e-50,3.8622087967769664e-41,2.4147716443166495e-116,8.542287642624753e-149,3.3565943463310314e-17,9.556757881411925e-23,3.4938568327173385e-39,1.315824354653089e-16,7.035122032817837e-17,5.612482394709345e-19,1.9166813835963372e-47,1.0608825188942083e-42,1.046962529325693e-42,1.4230978441440065e-57,8.520132058859598e-67,9.684082382811741e-92,9.681694709518556e-83,2.909118855243131e-105,3.2824316366265214e-181,4.103988711733442e-90,2.2155063329368615e-123,8.433782663425798e-136
9.219198741658552e-23,0.0005542981333333334,0.2,0.0,0.0016312994063995246,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999976,3.3855518232519094e-50,7.778814900550786e-41,1.4550027033444141e-114,1.9485926766229599e-146,6.760464669369629e-17,1.924811798650194e-22,1.412272793855685e-38,2.650181446691331e-16,1.4169330291448464e-16,1.130401383717612e-18,1.5586134697012375e-46,4.36607245126993e-42,4.252877408954378e-42,5.752389010744682e-57,4.512711904510851e-66,1.4550540750427512e-90,8.878432994615064e-82,1.0737363493075215e-103,1.496796219284766e-178,8.618301875506538e-89,1.3344390913041045e-121,9.999231712162312e-134
1.8502867404587446e-22,0.0005542981333333334,0.2,0.0,0.0016312994063990458,0.19999999999999996,0.19999999999999973,0.2,0.19999999999999948,6.794778834079002e-50,1.5612027108098405e-40,1.4835728890272684e-112,7.193027781957671e-144,1.3568205315442825e-16,3.863083819667059e-22,5.678686790937941e-38,5.318895630754743e-16,2.843774680870505e-16,2.268707672194236e-18,1.2570782279638484e-45,1.8181565383031568e-41,1.7268606380490261e-41,2.313010314012775e-56,3.607249780438997e-65,3.723025888688392e-89,8.78264067499025e-81,4.255322988905802e-102,1.1041270479051356e-175,2.711959688529239e-87,1.3611295000489106e-119,1.9815293451280437e-131
3.7070204730445233e-22,0.0005542981333333334,0.2,0.0,0.0016312994063980883,0.1999999999999999,0.19999999999999946,0.2,0.19999999999999896,1.3613232855733175e-49,3.127845152319359e-40,2.7536637639381e-110,4.9675061674753e-141,2.7183686607573226e-16,7.739627861696239e-22,2.277407389328923e-37,1.0656323998829284e-15,5.697457984319955e-16,4.545320249080564e-18,1.009753595546029e-44,7.793551091192774e-41,7.060212807556686e-41,9.27620581993337e-56,4.548275931446782e-64,1.7335065031573173e-87,9.660237927319325e-80,1.8707043670347106e-100,1.5240573928292824e-172,1.3526209709394668e-85,2.5281945039478297e-117,7.266212362326778e-129
