Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141)
0.0,0.0005542981333333334,0.2,0.0,0.0016312994064,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.465315388755435e-25,0.0005542981333333334,0.2,0.0,0.0016312994063999956,0.2,0.2,0.2,0.2,3.1087044277827857e-52,7.142716338932744e-43,-5.819698271661765e-124,3.211375407493549e-159,6.20763986160455e-19,1.767413784665459e-24,1.779879548802923e-42,2.433467637742477e-18,1.3010658857214747e-18,1.0379648489306537e-20,2.10186392392141e-52,5.309621433120387e-46,5.308094944966892e-46,7.249703906151822e-61,3.906756586734629e-70,5.143640378146519e-97,9.307409343530591e-88,-1.2805657351695873e-112,-4.737374562447942e-156,1.684261484365591e-96,-5.347293975094832e-131,-3.3992509104336795e-145,9.043571717425633e-128,1.1994934336302603e-150,1.1284253694719217e-165
2.3702883088515218e-24,0.0005542981333333334,0.2,0.0,0.0016312994063999878,0.2,0.2,0.2,0.2,8.7043723977918e-52,1.999960574901168e-42,6.060630343318846e-123,5.437918190188082e-158,1.7381391612492633e-18,4.948758597063255e-24,1.0750472474795639e-41,6.813709385678585e-18,3.642984480020116e-18,2.9063015770053794e-20,3.17633668159563e-51,3.208904282738621e-45,3.206597453386468e-45,4.378821159103301e-60,2.3603687913028373e-69,8.017908785087005e-96,1.4130251755505388e-86,1.2751331130408518e-111,9.605524532084579e-155,4.482157945792243e-95,5.5682762121891906e-130,1.0630294501755734e-143,2.627917928677643e-126,2.031136821880861e-149,1.465920706072786e-164
5.4178018488034784e-24,0.0005542981333333334,0.2,0.0,0.0016312994063999722,0.2,0.2,0.2,0.2,1.9895708337809828e-51,4.571338456916956e-42,3.5345386770534688e-121,1.7167906701923914e-155,3.972889511426838e-18,1.1311448221858728e-23,5.175889727957116e-41,1.5574192881549395e-17,8.32682166861735e-18,6.642975033153027e-20,3.4169580519802787e-50,1.5468232345245708e-44,1.54434165260227e-44,2.108213895590351e-59,1.1379065495004602e-68,9.170942112827545e-95,1.5345022488523823e-85,7.093553118164322e-110,1.07346403710743e-152,9.138219268248566e-94,3.246842536421011e-128,1.448589338006966e-141,6.067572839804941e-125,6.412449288472563e-147,6.18326738162853e-163
1.1512828928707392e-23,0.0005542981333333334,0.2,0.0,0.0016312994063999407,0.2,0.2,0.2,0.19999999999999998,4.2278380217845887e-51,9.714094220948531e-42,1.5561387020093248e-119,3.586067540628664e-153,8.442390211781815e-18,2.4036827471449176e-23,2.2604470270188476e-40,3.309515987328538e-17,1.7694496045811618e-17,1.4116321945441115e-19,3.140773139335991e-49,6.77174848667137e-44,6.748938472811212e-44,9.20712395752062e-59,4.996909351688858e-68,9.443871122965674e-94,1.437057685694606e-84,2.843499368468982e-108,9.468092089399566e-151,1.6422797641464157e-92,1.429073386357504e-126,1.3814474149178324e-139,1.2561822197538653e-123,1.339445653977404e-144,2.5219810095094296e-161
2.3702883088515216e-23,0.0005542981333333334,0.2,0.0,0.0016312994063998778,0.2,0.19999999999999998,0.2,0.19999999999999996,8.7043723977918e-51,1.9999605749011678e-41,6.710119425396831e-118,6.549280295998042e-151,1.7381391612491074e-17,4.9487585970628107e-23,9.436921368103796e-40,6.81370938567348e-17,3.642984480019935e-17,2.9063015769988444e-19,2.686997545296028e-48,2.840729455859203e-43,2.8212150085862768e-43,3.84379300807872e-58,2.1331200480966868e-67,9.880527169743694e-93,1.2749448594025707e-83,1.0412913863938488e-106,8.155839860245554e-149,2.8298347956044155e-91,6.15952993130072e-125,1.226017590228165e-137,2.62718442669482e-122,2.446246533554482e-142,1.0565229823546469e-159
4.808299140813087e-23,0.0005542981333333334,0.2,0.0,0.001631299406399752,0.2,0.19999999999999996,0.2,0.19999999999999987,1.7657441149806218e-50,4.057062880513796e-41,3.187479925577329e-116,1.2391423726599111e-148,3.5259394413906845e-17,1.0038910296897814e-22,3.85529029818538e-39,1.382209618235435e-16,7.390054230897158e-17,5.895640341896771e-19,2.2216615318840455e-47,1.1716882503850603e-42,1.1555533280167078e-42,1.5703148623794555e-57,9.499667485582888e-67,1.1587493442559129e-91,1.1294196193486691e-82,3.744386585882648e-105,7.712911367277175e-147,5.043773744207763e-90,2.9243390332023595e-123,1.1677352904980495e-135,6.130195403634984e-121,4.628367754883101e-140,4.998698775746634e-158
9.684320804736217e-23,0.0005542981333333334,0.2,0.0,0.0016312994063995005,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,3.556357865383505e-50,8.171267491739046e-41,1.9765399794150708e-114,2.900231424075914e-146,7.101540001672735e-17,2.0219213696564678e-22,1.558369979438775e-38,2.783886977568003e-16,1.488419373265032e-16,1.1874317871646474e-18,1.806618261306134e-46,4.8263488775834314e-42,4.6951423698410914e-42,6.347463734987717e-57,5.143825242348691e-66,1.7921533874435076e-90,1.0408474175666062e-81,1.3888053128914653e-103,9.48580346492215e-145,1.0824812086931412e-88,1.812754711091927e-121,1.4235682415851828e-133,1.8762622023710107e-119,1.0832764648902266e-137,3.1452859328728033e-156
1.9436364132582477e-22,0.0005542981333333334,0.2,0.0,0.0016312994063989977,0.19999999999999996,0.19999999999999973,0.2,0.19999999999999946,7.137585366189267e-50,1.6399676714189532e-40,2.1108848853978737e-112,1.1209165542705432e-143,1.425274112223243e-16,4.0579820495885865e-22,6.266137148716455e-38,5.587241696218716e-16,2.987247273615149e-16,2.383167293096127e-18,1.457103076983567e-45,2.0131890058230473e-41,1.9073662066665532e-41,2.552287242238531e-56,4.259565367086193e-65,4.803045931688773e-89,1.036958858132499e-80,5.542961365511108e-102,2.0054183815598977e-142,3.5292321978830263e-87,1.936766771140378e-119,2.9557829875110277e-131,9.915967723746292e-118,4.186778048549635e-135,3.446671216453818e-154
3.8940450788275e-22,0.0005542981333333334,0.2,0.0,0.0016312994063979918,0.19999999999999987,0.19999999999999943,0.2,0.1999999999999989,1.4300040367800777e-49,3.2856495159090428e-40,4.05275738646382e-110,8.04109742034185e-141,2.855514336333417e-16,8.130103409447801e-22,2.5130012572670694e-37,1.1193951133462445e-15,5.984903074313324e-16,4.774638304885243e-18,1.170424432096326e-44,8.655585069280468e-41,7.805558841468023e-41,1.0235813312047032e-55,5.512002026090354e-64,2.312644352268192e-87,1.1501922059111252e-79,2.4572840007525817e-100,7.655958170361129e-140,1.8077895283455192e-85,3.7210689161976516e-117,1.1234478585297736e-128,9.467465973860044e-116,3.0034608819492014e-132,6.7251563835038166e-152
