Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),SX(62)
0.0,0.0033257888,0.2,0.0,0.009787796438399998,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6012338354888265e-25,0.0033257888,0.2,0.0,0.009787796438399995,0.2,0.2,0.2,0.2,5.500049510793138e-47,1.61852890637765e-39,-2.2292128143476242e-120,1.169378574412137e-153,8.777400992684474e-19,9.303660995774256e-24,1.0706652625026e-31,2.3936307081209755e-18,9.303661039166266e-24,1.0209729103510265e-20,2.908196740832627e-59,7.987642008939291e-42,7.987642008938076e-42,1.6158792318645862e-57,6.798375142727419e-65,1.3296879906518007e-87,3.1604815185271043e-80,-1.6284238489701724e-114,-2.6362293385200845e-148
2.1283454739368717e-24,0.0033257888,0.2,0.0,0.00978779643839999,0.2,0.2,0.2,0.2,1.5400138630220786e-46,4.53188093785742e-39,2.2026074497538495e-119,1.959992604136304e-152,2.4576722779516523e-18,2.6050250788167904e-23,2.9978627379755415e-31,6.702165982738128e-18,2.6050250909665533e-23,2.8587241489828734e-20,4.328095172412355e-58,4.824535773400469e-41,4.824535773398632e-41,9.759910560462096e-57,4.1062185862073594e-64,2.009425927979297e-86,4.776119939461236e-79,1.6089870288747864e-113,7.864238663960611e-147
4.86478965471285e-24,0.0033257888,0.2,0.0,0.009787796438399977,0.2,0.2,0.2,0.2,3.520031686907608e-46,1.0358585000816961e-38,1.2148382783722492e-117,5.820752967138384e-150,5.617536635318053e-18,5.954343037295511e-23,6.852257700794472e-31,1.5319236531970014e-17,5.954343065066399e-23,6.534226626246561e-20,4.6295473495466277e-57,2.3228062962012163e-40,2.32280629619924e-40,4.698976806262212e-56,1.9769674915051305e-63,2.1616516694369007e-85,5.137931902633143e-78,8.874284929324369e-112,1.0145572951641778e-144
1.0337678016264806e-23,0.0033257888,0.2,0.0,0.009787796438399953,0.2,0.2,0.2,0.19999999999999998,7.480067334678667e-46,2.2011993126736038e-38,4.7811962238985364e-116,1.101861719242295e-147,1.1937265350050823e-17,1.2652978954252921e-22,1.4561047673924515e-30,3.2553377630424126e-17,1.2652979013266055e-22,1.388523158077391e-19,4.245025563222239e-56,1.014430535137e-39,1.0144305351351834e-39,2.05216662446802e-55,8.633936431263787e-63,1.986935726415252e-84,4.722644607800087e-77,3.492611679137522e-110,8.707784537356716e-143
2.1283454739368716e-23,0.0033257888,0.2,0.0,0.009787796438399906,0.2,0.2,0.2,0.19999999999999996,1.5400138630220786e-45,4.5318809378574194e-38,1.6893135547050105e-114,1.6935402964158042e-145,2.4576722779516245e-17,2.6050250788167614e-22,2.997862781015335e-30,6.702165982729368e-17,2.605025090966524e-22,2.8587241489828504e-19,3.627614161699407e-55,4.2350477931549356e-39,4.235047793139395e-39,8.567391687346032e-55,3.604498500674048e-62,1.6998746276244776e-83,4.0403218908782087e-76,1.234018477661589e-108,6.400536695194955e-141
4.3175008185576535e-23,0.0033257888,0.2,0.0,0.009787796438399813,0.2,0.2,0.2,0.1999999999999999,3.1240281221305027e-45,9.193244188225049e-38,5.675448381252334e-113,2.368474447902522e-143,4.9855637638446594e-17,5.284479445599648e-22,6.0813788842485965e-30,1.3595822422087814e-16,5.28447947024631e-22,5.799126130793731e-19,2.997749221136558e-54,1.730155209717231e-38,1.7301552097043824e-38,3.5000590513880187e-54,1.4725552494153046e-61,1.4055045647634446e-82,3.3406162715678765e-75,4.14578615657318e-107,4.3818454384500674e-139
8.695811507799218e-23,0.0033257888,0.2,0.0,0.009787796438399624,0.19999999999999998,0.2,0.2,0.19999999999999976,6.292056640347349e-45,1.8515970688960303e-37,1.8605307830108077e-111,3.1667435141561175e-141,1.0041346735630536e-16,1.0643388179165212e-21,1.2248411394665104e-29,2.738313530074284e-16,1.0643388228805673e-21,1.1679930094415332e-18,2.4370678830661944e-53,6.993563985749149e-38,6.993563985644666e-38,1.4147798297007042e-53,5.952303759464498e-61,1.142957936171648e-81,2.7165336725077506e-74,1.3590462133355791e-105,2.899220039009605e-137
1.7452432886282346e-22,0.0033257888,0.2,0.0,0.009787796438399245,0.19999999999999993,0.2,0.2,0.19999999999999948,1.262811367678104e-44,3.7161423690430783e-37,6.025899419585211e-110,4.142164921306597e-139,2.0152912679201502e-16,2.1361205646295518e-21,2.4582477631298056e-29,5.495776105780547e-16,2.1361205745923573e-21,2.344153802165789e-18,1.965322905605203e-52,2.8120813199013456e-37,2.812081319817075e-37,5.6887674709510265e-53,2.393395162497589e-60,9.218772545930958e-81,2.1909828200980105e-73,4.401498271907828e-104,1.8864664322575407e-135
3.49656756432486e-22,0.0033257888,0.2,0.0,0.009787796438398489,0.19999999999999982,0.2,0.2,0.19999999999999893,2.5300227749648413e-44,7.445232969337162e-37,1.940045309674991e-108,5.359747076364626e-137,4.03760445663403e-16,4.279684058055281e-21,4.925061496776369e-29,1.1010701257094095e-15,4.279684078015606e-21,4.696475387614046e-18,1.5785500161664898e-51,1.1277703827263753e-36,1.1277703826586848e-36,2.2814501921985142e-52,9.598585073764619e-60,7.405666431279683e-80,1.7599165519076095e-72,1.4169454053245935e-102,1.217411223853743e-133
6.999216115718112e-22,0.0033257888,0.2,0.0,0.009787796438396976,0.19999999999999962,0.2,0.2,0.19999999999999782,5.064445589538311e-44,1.4903414169925287e-36,6.22782759112404e-107,6.898412335603378e-135,8.082230834060537e-16,8.566811044905414e-21,9.858690909349387e-29,2.2040551559325277e-15,8.566811084860777e-21,9.401118558509539e-18,1.2653615412843805e-50,4.516963950266166e-36,4.5169639497235435e-36,9.13770074986346e-52,3.844440624895409e-59,5.937595558391998e-79,1.4107909504028945e-71,4.547817298404216e-101,7.824747881219253e-132
1.4004513218504614e-21,0.0033257888,0.2,0.0,0.009787796438393953,0.1999999999999992,0.2,0.2,0.19999999999999563,1.0133291218685239e-43,2.9819776571101358e-36,1.9965756204822345e-105,8.856198348531876e-133,1.6171483588908536e-15,1.714106501860039e-20,1.9725957515615001e-28,4.4100252162204014e-15,1.714106509854583e-20,1.8810404900296433e-17,1.0132988148400193e-49,1.80796273510829e-35,1.8079627346737514e-35,3.657461653574879e-51,1.5387781400992588e-58,4.756553372763961e-78,1.129776962252234e-70,1.4574799799421547e-99,5.019723752452333e-130
2.801510742407762e-21,0.0033257888,0.2,0.0,0.009787796438387904,0.1999999999999984,0.2,0.19999999999999998,0.1999999999999912,2.027098247697902e-43,5.965250137345279e-36,6.39822479193615e-104,1.1357555137698955e-130,3.234998909858446e-15,3.4289572965969133e-20,3.9460521852624502e-28,8.821965336162692e-15,3.428957312589472e-20,3.762897758385388e-17,8.110430787194508e-49,7.234205922740823e-35,7.234205919262757e-35,1.4634610680136594e-50,6.1571169117401086e-58,3.809830017912541e-77,9.04279474397421e-70,4.667424433871956e-98,3.2179670136412324e-128
