Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104)
0.0,0.0033257888,0.2,0.0,0.009787796438399998,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.19649969037545e-25,0.0033257888,0.2,0.0,0.009787796438399995,0.2,0.2,0.2,0.2,5.930767963194291e-47,1.745372782930586e-39,-1.284917465668828e-118,4.088369925865084e-153,6.584190988018579e-19,1.0032246885392365e-23,1.0652368247121919e-40,2.581080096021664e-18,1.3799957971397482e-18,1.1009270764046924e-20,9.903832206418277e-52,1.5608918763435743e-45,1.5608550285990097e-45,1.878974872503666e-57,7.904852935625982e-65,2.81244475512425e-91,6.664648284869467e-84,-1.3100424689760393e-109,-1.5642287311923172e-147,3.2121629670452903e-91,-1.390208196668489e-124,-9.834846949423749e-140,9.041163846424944e-119,5.0682308842023836e-145,2.4240837626702884e-156,2.0408409630440218e-154,2.0417892906632985e-188,4.768276602412979e-151,-2.8652414342966416e-122
2.295019913305126e-24,0.0033257888,0.2,0.0,0.009787796438399984,0.2,0.2,0.2,0.2,1.6606150296944015e-46,4.887043792205641e-39,1.2784393316951447e-117,6.719763600767407e-152,1.8435734766452e-18,2.8090291279098583e-23,6.434030421263361e-40,7.227024268859955e-18,3.8639882319912735e-18,3.082595813932807e-20,1.49666722876551e-50,9.428676978243011e-45,9.428120132007627e-45,1.134900822937763e-56,4.774531214344315e-64,4.267721659146154e-90,1.0079865821227351e-82,1.2961914246219607e-108,3.039401681123307e-146,5.524499716973382e-90,1.3831874059590987e-123,2.9524928183059246e-138,2.5599110752711377e-117,8.328822498909394e-144,3.0308961156239873e-155,2.551717495389936e-153,3.909905509077697e-187,1.3354196010385727e-149,2.850771447921399e-121
5.2457598018402885e-24,0.0033257888,0.2,0.0,0.009787796438399967,0.2,0.2,0.2,0.2,3.795691496444346e-46,1.117038581075575e-38,7.105691905803108e-116,2.027607223178335e-149,4.213882232331876e-18,6.42063800665109e-23,3.097708686265578e-39,1.6518912614533726e-17,8.83197310169424e-18,7.045933288987712e-20,1.6100463151720673e-49,4.540383214052322e-44,4.53978418321479e-44,5.464058928423897e-56,2.2987313428142218e-63,4.630066825796459e-89,1.0861807404722413e-81,7.160063980456263e-107,3.2345072068646295e-144,7.433869644571876e-89,7.68780110581298e-122,3.837909586821628e-136,5.614329036702297e-116,2.5132218781448015e-141,1.2063684326218632e-153,1.015643993714907e-151,1.4430504478023228e-184,3.285256030672257e-147,1.5844681502782454e-119
1.1147239578910614e-23,0.0033257888,0.2,0.0,0.009787796438399934,0.2,0.2,0.2,0.19999999999999998,8.065844429944235e-46,2.373706984785597e-38,2.843072331684603e-114,3.9051185616874294e-147,8.954499743705197e-18,1.3643855764133502e-22,1.3528507673870625e-38,3.510268930587001e-17,1.8767942841099833e-17,1.4972608239092227e-19,1.479909950804292e-48,1.983674107834461e-43,1.9831234949069117e-43,2.386298087235668e-55,1.0039165340743036e-62,4.327747187100575e-88,1.0017666078667927e-80,2.8273276208397373e-105,2.598113493451824e-142,9.578960382804225e-88,3.075907447837307e-120,3.3453583505950944e-134,1.0578364742028071e-114,4.84044398468949e-139,4.445972127014572e-152,3.743072816662164e-150,3.759056474258621e-182,5.5965105567897965e-145,6.339494632113394e-118
2.2950199133051264e-23,0.0033257888,0.2,0.0,0.009787796438399868,0.2,0.19999999999999998,0.2,0.19999999999999996,1.6606150296944014e-45,4.88704379220564e-38,1.0374559337128565e-112,6.174141591978591e-145,1.843573476645171e-17,2.809029127909814e-22,5.647885644647125e-38,7.227024268849754e-17,3.863988231990968e-17,3.082595813928008e-19,1.266094120425687e-47,8.287870692142064e-43,8.283160081205017e-43,9.96232476641855e-55,4.1911567050267625e-62,3.825594487847232e-87,8.628175261443884e-80,1.0055953640055312e-103,1.9003126076794216e-140,1.2895765176694618e-86,1.1223675461519102e-118,2.5345700827723748e-132,1.87671515377931e-113,7.652955573192635e-137,1.5633283792507587e-150,1.316169285977815e-148,9.028859600367023e-180,8.415294091899153e-143,2.3132175315945435e-116
4.6556118241332564e-23,0.0033257888,0.2,0.0,0.009787796438399735,0.2,0.19999999999999996,0.2,0.19999999999999987,3.368676203094356e-45,9.91371740704572e-38,3.706743385500939e-111,9.09612660074513e-143,3.739820481194422e-17,5.698316230902661e-22,2.30734557181909e-37,1.4660534945357257e-16,7.838376127752395e-17,6.253265793957104e-19,1.046831102631982e-46,3.391111813562592e-42,3.387216988866928e-42,4.069934726406655e-54,1.712228897208342e-61,3.3666937861394316e-86,7.229620267872963e-79,3.4229796149558266e-102,1.3580515928960015e-138,1.843695689003423e-85,4.0097884294030216e-117,1.8388331495902995e-130,3.3046689478444355e-112,1.1274838471000616e-134,5.499980216359993e-149,4.6304443329609106e-147,2.2316368791259295e-177,1.2200677866552515e-140,8.264238327389295e-115
9.376795645789517e-23,0.0033257888,0.2,0.0,0.009787796438399467,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,6.784798549894265e-45,1.9967064636725873e-37,1.3602383270124175e-109,1.338333482702037e-140,7.532314490292715e-17,1.147689043688804e-21,9.326659714191249e-37,2.9527556298300247e-16,1.5787151919273094e-16,1.25946057539814e-18,8.51265667329258e-46,1.374982639443232e-41,1.3718154326170715e-41,1.6451326863806703e-53,6.921178486768071e-61,3.0689159771330757e-85,6.034620694090643e-78,1.1513417988013356e-100,9.950408458240595e-137,2.763750383353477e-84,1.4712340181647485e-115,1.3540810110994097e-128,6.0130764986461575e-111,1.6588977706277264e-132,2.0120380213441317e-147,1.6939388301656056e-145,5.89709453496687e-175,1.802996402942037e-138,3.032236930661975e-113
1.8819163289102034e-22,0.0033257888,0.2,0.0,0.009787796438398933,0.19999999999999996,0.1999999999999997,0.2,0.19999999999999943,1.3617043243494076e-44,4.007375909608613e-37,5.345436557000705e-108,2.0693327045481957e-138,1.5117302508488476e-16,2.303403884885754e-21,3.750208851002071e-36,5.926159900389812e-16,3.1684703502305836e-16,2.5277285673894416e-18,6.865765999171971e-45,5.562850296615309e-41,5.537305627855461e-41,6.61500615473491e-53,2.783098078848975e-60,3.0094480692495445e-84,5.118158602322271e-77,3.918221832426994e-99,7.795288042707742e-135,4.268944881016433e-83,5.7803686299834796e-114,1.0606031746179949e-126,1.1746297364888324e-109,2.5650011931004876e-130,7.944291570537152e-146,6.688314945708742e-144,1.702402511022076e-172,2.8422312872241243e-136,1.191343254048112e-111
3.770389857572707e-22,0.0033257888,0.2,0.0,0.009787796438397866,0.19999999999999987,0.1999999999999994,0.2,0.19999999999999885,2.728153263069366e-44,8.028714801480644e-37,2.326311385660644e-106,3.502160304631068e-136,3.0287278544876677e-16,4.61483356727915e-21,1.5040014814947252e-35,1.1872968441394144e-15,6.347980666833675e-16,5.064264551317813e-18,5.514956626900492e-44,2.258307418156033e-40,2.2377885548465447e-40,2.652913314074866e-52,1.1163465513117642e-59,3.2758980195547656e-83,4.514447573391304e-76,1.3833180322365527e-97,6.756050290316738e-133,6.707121087652547e-82,2.5148770348004706e-112,9.179552930350279e-125,2.5438115196875596e-108,4.3410593860937787e-128,3.4888553110144846e-144,2.937274256978936e-142,5.48722393127844e-170,4.95190918965431e-134,5.1832019363587586e-110
