Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150),SX(113),SX(114)
0.0,0.0033257888,0.2,0.0,0.009787796438399998,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.639869287483775e-25,0.0033257888,0.2,0.0,0.009787796438399993,0.2,0.2,0.2,0.2,6.251578345883877e-47,1.8397844533757688e-39,-1.6722746671375592e-118,5.912000565859498e-153,6.940346690564372e-19,1.057491673565669e-23,1.1835964719024446e-40,2.7206973089181755e-18,1.4546432934737595e-18,1.160479033063009e-20,1.1599506879609262e-51,1.734330203654955e-45,1.7342870470670947e-45,2.087749858331795e-57,8.783169930475079e-65,3.2946555232273643e-91,7.806048868162633e-84,-1.7048521839363123e-109,-2.1459089639761474e-147,3.788134790616778e-91,-1.8093064940389403e-124,-1.3491719473165435e-139,1.1164238296080145e-118,7.328880134737836e-145,3.154905301118766e-156,2.6561210764248912e-154,3.2201375326057266e-186,6.895206419242136e-151,-3.729009709091878e-122,-4.228918253612346e-172,8.749911560242295e-177,-2.3748751019792242e-158,-1.6277781737722862e-165
2.4191634004954572e-24,0.0033257888,0.2,0.0,0.009787796438399984,0.2,0.2,0.2,0.2,1.7504419368474852e-46,5.151396469452153e-39,1.6644661826684676e-117,9.719370290161126e-152,1.9432970733580224e-18,2.96097668598387e-23,7.148922690292788e-40,7.617952464970109e-18,4.073001221726504e-18,3.2493412925760575e-20,1.7529175387455858e-50,1.047639686335842e-44,1.047574467728517e-44,1.261000914368631e-56,5.305034688904278e-64,5.000556552946581e-90,1.1806685666337751e-82,1.6869525002828303e-108,4.171100031931537e-146,6.552134403243085e-90,1.8008419125672048e-123,4.0516932199541533e-138,3.1617132701223278e-117,1.2046777480667354e-143,3.945897189832735e-155,3.3220587279129654e-153,4.865760931676146e-184,1.9318075856441017e-149,3.71156409573698e-121,3.460850887895527e-170,2.0573602256742863e-175,7.130608452080541e-157,4.887435897019305e-164
5.529516343989617e-24,0.0033257888,0.2,0.0,0.009787796438399967,0.2,0.2,0.2,0.2,4.00101014136568e-46,1.177462050160492e-38,9.255072613128087e-116,2.9338294702625674e-149,4.441821881961185e-18,6.767946710820259e-23,3.441898540295268e-39,1.7412462777070854e-17,9.3097170782319e-18,7.427065811600685e-20,1.8857087020524468e-49,5.044966098113536e-44,5.0442645048419e-44,6.071176587072258e-56,2.554145950518454e-63,5.4275762531077084e-89,1.2723745199724653e-81,9.319370887684087e-107,4.440707852247772e-144,8.889061232878639e-89,1.0013249492556477e-121,5.2688782342481e-136,6.937231259910448e-116,3.636496026770038e-141,1.5713412316807305e-153,1.322915322448064e-151,2.876938618241273e-181,4.75443441506947e-147,2.0637467962238897e-119,4.837515817410351e-167,1.5894558280361468e-173,9.271909726999677e-155,6.355128765667014e-162
1.1750222230977936e-23,0.0033257888,0.2,0.0,0.009787796438399932,0.2,0.2,0.2,0.19999999999999998,8.502146550402071e-46,2.502106856591046e-38,3.706286863692303e-114,5.654561222504974e-147,9.438871499167472e-18,1.4381886760492982e-22,1.5031675193191268e-38,3.700148340125984e-17,1.978314879124232e-17,1.5782514849644056e-19,1.733291176523058e-48,2.2041704541726648e-43,2.2035255686323394e-43,2.651442319092891e-55,1.1154628419828491e-62,5.077665427672391e-88,1.1737034626188591e-80,3.680640873909402e-105,3.570023501860984e-142,1.1560644828430732e-87,4.009805338903284e-120,4.59643376572162e-134,1.308213576103226e-114,7.008909032704011e-139,5.79643662777446e-152,4.880031578042408e-150,1.0672920771173611e-178,8.106299141930945e-145,8.264273178846942e-118,3.964571191440606e-164,1.17336770476525e-171,8.087032005407417e-153,5.543074286880915e-160
2.4191634004954573e-23,0.0033257888,0.2,0.0,0.009787796438399861,0.2,0.19999999999999998,0.2,0.19999999999999996,1.7504419368474853e-45,5.151396469452153e-38,1.354692213664027e-112,8.95246292035612e-145,1.9432970733579906e-17,2.960976685983821e-22,6.275428494053804e-38,7.617952464958779e-17,4.073001221726165e-17,3.249341292570726e-19,1.4828670935943236e-47,9.209499031436376e-43,9.203981898209921e-43,1.1069249739978774e-54,4.656841238928904e-62,4.496044336586379e-87,1.0112701245964519e-79,1.309557340747623e-103,2.615417020305417e-140,1.5693786974573278e-86,1.4655613528204072e-118,3.4878801494376275e-132,2.3246977860778873e-113,1.1096740173256881e-136,2.0417846274119863e-150,1.718982557247023e-148,3.334859449865882e-176,1.220930378464968e-142,3.0205454769114997e-116,2.5853907314415863e-161,8.271694452271043e-170,6.134302217391105e-151,4.205145528809074e-158
4.907445755290785e-23,0.0033257888,0.2,0.0,0.00978779643839972,0.2,0.19999999999999993,0.2,0.19999999999999987,3.5508965004620417e-45,1.044997569517436e-37,4.85480104967056e-111,1.32230725420714e-142,3.942116920240419e-17,6.006552705852779e-22,2.5637173020224053e-37,1.5453560714604363e-16,8.262373906929432e-17,6.591520907773952e-19,1.2260631888235518e-46,3.7685252863475713e-42,3.763963613350717e-42,4.5221496956087085e-54,1.9024773111308456e-61,3.96879716658384e-86,8.479498073050376e-79,4.4607443306422006e-102,1.874615482043491e-138,2.2574067335805394e-85,5.2516609011452286e-117,2.5377139642357973e-130,4.105674712236314e-112,1.639028106127989e-134,7.206143929875905e-149,6.066866972237581e-147,9.838039274296995e-174,1.7754466943996485e-140,1.082375742898218e-114,1.5495162483304905e-158,5.838610521334467e-168,4.4598536963619025e-149,3.0604220475171373e-156
9.88401046488144e-23,0.0033257888,0.2,0.0,0.00978779643839944,0.19999999999999998,0.19999999999999984,0.2,0.1999999999999997,7.15180562769115e-45,2.1047134146618757e-37,1.790534366529103e-109,1.9541172584394457e-140,7.939756614005048e-17,1.2097704745590345e-21,1.0362955237999987e-36,3.1124777213815496e-16,1.6641119277333563e-16,1.327588013814274e-18,9.970142232087493e-46,1.5282653221163998e-41,1.524555845325147e-41,1.8279252067667672e-53,7.69021074396291e-61,3.6362209243383793e-85,7.087502513647332e-78,1.502405801627457e-100,1.3803439806673476e-136,3.3967857581276714e-84,1.9366155309348843e-115,1.8778190357099614e-128,7.507845680605641e-111,2.4221781185859984e-132,2.650124875297703e-147,2.231145427388897e-145,2.9279123985729334e-171,2.6369335239403305e-138,3.9913956996607e-113,9.224193396278018e-156,4.2919503792405315e-166,3.295269752391188e-147,2.279848051044658e-154
1.983713988406275e-22,0.0033257888,0.2,0.0,0.009787796438398878,0.19999999999999996,0.19999999999999968,0.2,0.1999999999999994,1.4353623882149362e-44,4.22414510495075e-37,7.088507594997968e-108,3.041862268823365e-138,1.5935036001533385e-16,2.428000882506408e-21,4.166898723343472e-36,6.246721021191766e-16,3.3398610018132223e-16,2.6644598598729675e-18,8.041280903379168e-45,6.185032572327309e-41,6.155114300302834e-41,7.350006835995627e-53,3.0923514497066814e-60,3.5923266093080042e-84,6.0262267906073085e-77,5.125612579624787e-99,1.0892955929116924e-134,5.258028746579511e-83,7.665115256628199e-114,1.4815595731920776e-126,1.4773992671115592e-109,3.770483050650256e-130,1.0543404946964605e-145,8.876513690279223e-144,9.243868227893576e-169,4.187547338331416e-136,1.5797925593778495e-111,5.763159936603216e-153,3.4115292569658145e-164,2.592418339435606e-145,1.90939569398681e-152
3.974339872242537e-22,0.0033257888,0.2,0.0,0.009787796438397754,0.19999999999999987,0.19999999999999934,0.2,0.19999999999999876,2.8757260391065744e-44,8.46300848552848e-37,3.112576172923481e-106,5.192800883883438e-136,3.1925594776586375e-16,4.8644616984005944e-21,1.6711127572226585e-35,1.2515207620684157e-15,6.691359149969112e-16,5.3382035519300975e-18,6.459194125201046e-44,2.5125140060191963e-40,2.4884820276391562e-40,2.9476814579978788e-52,1.2404182015617203e-59,3.945532307761208e-83,5.338450172544373e-76,1.8173395849099682e-97,9.525173656521384e-133,8.270718203475544e-82,3.364795255618655e-112,1.2940359149757552e-124,3.2281402715309904e-108,6.436675059566506e-128,4.672144326652422e-144,3.9334876434230486e-142,3.216099214860874e-166,7.361219511917654e-134,6.934897031229358e-110,3.941676634380834e-150,3.01960831428489e-162,2.251647921832606e-143,2.449414557303835e-150
