Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35)
0.0,0.0006651577600000001,0.2,0.0,0.00195755928768,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.482344057815661e-25,0.0006651577600000001,0.2,0.0,0.001957559287679996,0.2,0.2,0.2,0.2,2.707012023668948e-46,7.966497995704583e-39,-1.0180502731566626e-116,1.3497114332344928e-150,6.010514753337035e-19,9.15814380589778e-24,8.876968246742232e-41,2.3561922831390303e-18,1.2597576700532019e-18,1.0050040235953139e-20,3.767047199645847e-51,6.503676656640174e-45,6.503536501600072e-45,7.829057301040245e-57,3.293686780849927e-64,5.346962283188698e-90,1.2674076906922431e-82,-1.038076462531373e-107,-1.1313673335680714e-145,6.040916698113594e-90,-1.1014733042665306e-122,-3.556798332215651e-137,1.5691219856177173e-117
2.0950563361883853e-24,0.0006651577600000001,0.2,0.0,0.0019575592876799877,0.2,0.2,0.2,0.2,7.579633666273055e-46,2.2306194387972835e-38,1.0123069431632816e-115,2.217611073063796e-149,1.6829441309343611e-18,2.5642802656513643e-23,5.361688821040454e-40,6.597338392788683e-18,3.527321476148941e-18,2.814011266066597e-20,5.692761627006808e-50,3.9285592404277235e-44,3.928347436973259e-44,4.7287506096211855e-56,1.9893868872048522e-63,8.110806493387391e-89,1.9167385439857149e-81,1.0269776286374632e-106,2.1970873687703346e-144,1.0292710314856696e-88,1.0952508095502207e-121,1.0671905079457871e-135,4.4412739367738547e-116
4.788700197002024e-24,0.0006651577600000001,0.2,0.0,0.0019575592876799725,0.2,0.2,0.2,0.2,1.732487695148127e-45,5.098558717250933e-38,5.6227694417219276e-114,6.687218530255758e-147,3.8467294421356436e-18,5.861212035774486e-23,2.5814223661646178e-39,1.5079630612085594e-17,8.062449088340319e-18,6.432025751008037e-20,6.124013175719949e-49,1.891767308853226e-43,1.891539459957807e-43,2.2766898628318195e-55,9.578043053338068e-63,8.793024663939422e-88,2.0651252157809505e-80,5.6721899123968846e-105,2.3365462801570494e-142,1.3660732823080343e-87,6.083407996415372e-120,1.3863227926364534e-133,9.73358546768048e-115
1.01759879186293e-23,0.0006651577600000001,0.2,0.0,0.001957559287679942,0.2,0.2,0.2,0.19999999999999998,3.68153635218977e-45,1.0834437274158232e-37,2.246577545612536e-112,1.286438813850807e-144,8.174300064538074e-18,1.2455075576020527e-22,1.127374967348526e-38,3.204421505066983e-17,1.713270431272269e-17,1.3668054720886417e-19,5.629023182434923e-48,8.264771631730737e-43,8.262677306372931e-43,9.942902769110712e-55,4.18298587897336e-62,8.207162343371934e-87,1.9040728256125517e-79,2.2391587768922717e-103,1.8742530701618443e-140,1.7323846928017848e-86,2.430572279517505e-118,1.2068096555890222e-131,1.8314397247126728e-113
2.0950563361883855e-23,0.0006651577600000001,0.2,0.0,0.0019575592876798814,0.2,0.19999999999999998,0.2,0.19999999999999996,7.579633666273054e-45,2.230619438797283e-37,8.175906064014453e-111,2.0293532267477545e-142,1.6829441309342394e-17,2.5642802656511793e-22,4.706568564532608e-38,6.597338392779994e-17,3.527321476148584e-17,2.814011266062516e-19,4.815747843811155e-47,3.452822068097821e-42,3.451030328119937e-42,4.150966178122181e-54,1.7463191167652515e-61,7.235143367930894e-86,1.6390179582743037e-78,7.959461775001234e-102,1.367273799331956e-138,2.2981990613127717e-85,8.845139761116223e-117,9.120112789096137e-130,3.2405929638943632e-112
4.249971424839296e-23,0.0006651577600000001,0.2,0.0,0.0019575592876797596,0.2,0.19999999999999996,0.2,0.1999999999999999,1.5375828294439624e-44,4.524970861560201e-37,2.9068672018562037e-109,2.9773564435106104e-140,3.4139723798948886e-17,5.201825681749104e-22,1.9227868302101816e-37,1.3383172168190675e-16,7.155423565900585e-17,5.70842285400306e-19,3.981753444685284e-46,1.4125859391493144e-41,1.411104493701422e-41,1.6958051251881991e-53,7.134363744460787e-61,6.335666676979669e-85,1.3717825064308815e-77,2.7063087791846663e-100,9.724320407251276e-137,3.2499569810724557e-84,3.1445621196796504e-115,6.585859953883324e-128,5.6787500624056556e-111
8.559801602141118e-23,0.0006651577600000001,0.2,0.0,0.0019575592876795163,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999976,3.096821755077274e-44,9.11367370708603e-37,1.0578930680346566e-107,4.3491280899174143e-138,6.876028877815325e-17,1.047691651394364e-21,7.772211795261425e-37,2.695483971895066e-16,1.4411627745402062e-16,1.1497246029855326e-18,3.237895773926812e-45,5.726029490607389e-41,5.713982621948099e-41,6.854715441688213e-53,2.88395493028732e-60,5.727061406978461e-84,1.1425269628770174e-76,9.083182978797343e-99,7.067123364456455e-135,4.838267371980369e-83,1.1442434973482564e-113,4.811124209736701e-126,1.0248511439922777e-109
1.717946195674476e-22,0.0006651577600000001,0.2,0.0,0.0019575592876790292,0.19999999999999996,0.19999999999999973,0.2,0.19999999999999948,6.215299606343895e-44,1.829107939813767e-36,4.1063982673470703e-106,6.64982746498769e-136,1.3800141873652758e-16,2.1027098178327467e-21,3.125172179756942e-36,5.409817482022516e-16,2.892403610439492e-16,2.3074892381444572e-18,2.611480242498854e-44,2.3153837585790755e-40,2.305667523135157e-40,2.7562509227384578e-52,1.159838271088286e-59,5.546895900234242e-83,9.650689167002058e-76,3.0787549758119896e-97,5.46952761806192e-133,7.444785870051782e-82,4.440661466825682e-112,3.7230337201245188e-124,1.9777044888876017e-108
3.4418782665952043e-22,0.0006651577600000001,0.2,0.0,0.001957559287678055,0.1999999999999999,0.19999999999999946,0.2,0.19999999999999893,1.2452255308877125e-43,3.664589078024087e-36,1.7604800241163068e-104,1.1092308898649831e-133,2.7648367865313827e-16,4.212746150707412e-21,1.2533338210745435e-35,1.0838484502179218e-15,5.7948852822340275e-16,4.6230185084161916e-18,2.097682949159084e-43,9.389775081468773e-40,9.311729007601412e-40,1.1053798897519563e-51,4.654929775049499e-59,5.947962587720787e-82,8.452069071601677e-75,1.0793397980838324e-95,4.670052571295211e-131,1.1678269759001373e-80,1.9032571733793592e-110,3.173455470084098e-122,4.2193835761343736e-107
