Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150)
0.0,0.0006651577600000001,0.2,0.0,0.00195755928768,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.421100400743589e-25,0.0006651577600000001,0.2,0.0,0.001957559287679995,0.2,0.2,0.2,0.2,3.046641515171275e-46,8.965997680108771e-39,-1.838683284071025e-116,3.087663263432694e-150,6.76461117089795e-19,1.0307150790981863e-23,1.1244159779208212e-40,2.6518069239338454e-18,1.4178104799984032e-18,1.1310947104880953e-20,5.370250680070255e-51,8.238049735549362e-45,8.237849932457843e-45,9.916805914594538e-57,4.172003265251961e-64,7.625894048346201e-90,1.806955824309531e-82,-1.8745686711599238e-107,-2.2997060164550355e-145,8.739305323705296e-90,-1.9893513525357972e-122,-7.229428151475748e-137,2.5186714821177405e-117,3.82767053761892e-142,3.4688260389455897e-154,2.920411572806195e-152,7.719920639052093e-185,3.601155943561807e-148,-4.1000850874139304e-120,-1.0490604708214373e-168,9.376948469227996e-175
2.357908112208205e-24,0.0006651577600000001,0.2,0.0,0.0019575592876799864,0.2,0.2,0.2,0.2,8.530596242479569e-46,2.5104793504304556e-38,1.8297599898629486e-115,5.075563386443963e-149,1.8940911278514156e-18,2.886002221474906e-23,6.791472506653375e-40,7.425059387014008e-18,3.969869343995497e-18,3.16706518936631e-20,8.115522960121705e-50,4.976264658007582e-44,4.975962713906228e-44,5.989750772119831e-56,2.5198900870483034e-63,1.1573150375544477e-88,2.7329693892786315e-81,1.8548188685632812e-106,4.469273193881112e-144,1.507389387743304e-88,1.979679490446386e-121,2.1707017695000526e-135,7.132127288704717e-116,6.290939429510794e-141,4.337853201762825e-153,3.6520472774741167e-151,1.4839724669439709e-183,1.0087404565623188e-146,4.0801512114561194e-119,8.584358926577811e-167,2.204468778057284e-173
5.3895042564758975e-24,0.0006651577600000001,0.2,0.0,0.0019575592876799695,0.2,0.2,0.2,0.2,1.9498505697096158e-45,5.738238515269613e-38,1.0172106167934283e-113,1.5317880229527137e-146,4.3293511493746145e-18,6.596576506228279e-23,3.269801663810824e-39,1.6971564313171298e-17,9.073987071989562e-18,7.239006147121314e-20,8.730309277092848e-49,2.3963350005317033e-43,2.3960101822684863e-43,2.8838071595211863e-55,1.213218853530641e-62,1.25586310388651e-87,2.9451144911310247e-80,1.0246310041887311e-104,4.757172898695603e-142,2.0368598766325653e-87,1.1005413556352981e-119,2.822247437330146e-133,1.5645473306500256e-114,1.8986561494148988e-138,1.727003167650153e-151,1.4539674173489383e-149,5.500249062193369e-181,2.4821264967754207e-144,2.2682334026073564e-117,1.1997110532187146e-163,1.7026844863424608e-171
1.1452696545011281e-23,0.0006651577600000001,0.2,0.0,0.001957559287679935,0.2,0.2,0.2,0.19999999999999998,4.1434324606329336e-45,1.2193756844947924e-37,4.0717759247632663e-112,2.9512639282724266e-144,9.199871192420841e-18,1.4017725075734768e-22,1.4280082919769249e-38,3.6064574165473733e-17,1.9282222527977192e-17,1.5382888062625616e-19,8.024658326222214e-48,1.0469596901493506e-42,1.0466611259961926e-42,1.2594343506958366e-54,5.298450031330816e-62,1.1743873027216235e-86,2.716480832062605e-79,4.0463742594222913e-103,3.822838263287105e-140,2.6371090272361498e-86,4.405230826529042e-118,2.461064023763807e-131,2.949156767073474e-113,3.658131421608731e-136,6.367729691846885e-150,5.361004350112631e-148,1.4400451752847882e-178,4.230215089186131e-142,9.079251457157745e-116,9.82874662059861e-161,1.2563829904782107e-169
2.357908112208205e-23,0.0006651577600000001,0.2,0.0,0.0019575592876798667,0.2,0.19999999999999998,0.2,0.19999999999999996,8.530596242479568e-45,2.5104793504304548e-37,1.487068008309292e-110,4.669338645857129e-142,1.8940911278512612e-17,2.886002221474671e-22,5.961653515092834e-38,7.425059387003001e-17,3.969869343995046e-17,3.1670651893611402e-19,6.865264146229922e-47,4.3743327550298156e-42,4.371778475073151e-42,5.257890491798997e-54,2.212006378237853e-61,1.0390070262608037e-85,2.340120891066197e-78,1.439432097875262e-101,2.798397942052752e-138,3.5655035456485255e-85,1.6087746735445756e-116,1.8660743951886852e-129,5.236449068398605e-112,5.787728152105632e-134,2.2410751851856263e-148,1.88676567601364e-146,3.476837469932554e-176,6.366164070170197e-140,3.315710430075588e-114,6.405198350438178e-158,8.8492821657422e-168
4.783185027622359e-23,0.0006651577600000001,0.2,0.0,0.0019575592876797296,0.2,0.19999999999999996,0.2,0.19999999999999987,1.7304923806172837e-44,5.0926866823017774e-37,5.321309566477922e-109,6.8880950664187885e-140,3.842299145069343e-17,5.854461649276642e-22,2.4355299849479492e-37,1.5062263327894827e-16,8.053163526388899e-17,6.42461795554917e-19,5.676333157294809e-46,1.7899023639888885e-41,1.7877904356677404e-41,2.148019824837392e-53,9.03689677114782e-61,9.157902303472235e-85,1.961508252694842e-77,4.901456792236684e-100,2.002863228340468e-136,5.113659098198926e-84,5.756328660586659e-115,1.3558094942604934e-127,9.234669738573864e-111,8.537939276944876e-132,7.89714293375094e-147,6.648620414196758e-145,8.634099672364298e-174,9.243880698445832e-138,1.186388578247113e-112,3.8340434490716725e-155,6.236600923894543e-166
9.633738858450667e-23,0.0006651577600000001,0.2,0.0,0.0019575592876794556,0.19999999999999998,0.19999999999999987,0.2,0.1999999999999997,3.4853578933559356e-44,1.0257101346044414e-36,1.9577595356634273e-107,1.0157378084392056e-137,7.738715179504415e-17,1.1791380504878925e-21,9.844801607453571e-37,3.0336671209600736e-16,1.621975189117341e-16,1.2939723487888723e-18,4.615899853353114e-45,7.258068055501517e-41,7.2408942047934e-41,8.682639556224386e-53,3.6530685692582623e-60,8.369638439610054e-84,1.6384119442266825e-76,1.6497541607608052e-98,1.4712095560675925e-134,7.680925200605482e-83,2.1174981485029645e-113,1.0008700667792022e-125,1.6845918614974546e-109,1.2590326392069927e-129,2.8967755436674168e-145,2.438801117890532e-143,2.291541842443184e-171,1.369554755617975e-135,4.364197677244392e-111,2.2774782128376165e-152,4.5727792916093024e-164
1.933484652010728e-22,0.0006651577600000001,0.2,0.0,0.0019575592876789074,0.19999999999999996,0.1999999999999997,0.2,0.1999999999999994,6.995088918833235e-44,2.058593067352967e-36,7.723130682653762e-106,1.576013505095303e-135,1.5531547248370192e-16,2.3665218216076832e-21,3.9585514277908816e-36,6.088548697270161e-16,3.2552928620729646e-16,2.5969934552421806e-18,3.722890454180796e-44,2.9369306387502203e-40,2.9230793069451213e-40,3.491251166188296e-52,1.4692245736883636e-59,8.239204072259332e-83,1.3913595237063725e-75,5.621458354936039e-97,1.1569421574277167e-132,1.1879385977315173e-81,8.351440569327132e-112,7.869073870014013e-124,3.303321685943448e-108,1.9535174149814945e-127,1.1482855835258063e-143,9.667439270130221e-142,6.646484442715006e-169,2.1672326132884734e-133,1.7212453065650102e-109,1.4183276816733937e-149,3.6215951460685294e-162
3.8737061843420513e-22,0.0006651577600000001,0.2,0.0,0.0019575592876778115,0.19999999999999987,0.19999999999999937,0.2,0.1999999999999988,1.401455096978782e-43,4.124358932850006e-36,3.377894680267718e-104,2.679920576087596e-133,3.111721138608429e-16,4.741289363844607e-21,1.5875561734404194e-35,1.2198311849765956e-15,6.521928207979099e-16,5.203035668090385e-18,2.990428072259873e-43,1.192673858266978e-39,1.1815477174252879e-39,1.4001478582551077e-51,5.897815684732281e-59,9.013705250341356e-82,1.2299445077992034e-74,1.9889610935663408e-95,1.0076918702668494e-130,1.8688701281537576e-80,3.651654871605115e-110,6.84511222776073e-122,7.18942349095256e-107,3.321863220557025e-125,5.068449030976533e-142,4.267137365799292e-140,2.1546979680577472e-166,3.7947573579523957e-131,7.526119282405714e-108,9.662666662211661e-147,3.1929396240072196e-160
7.754149249004698e-22,0.0006651577600000001,0.2,0.0,0.001957559287675619,0.1999999999999997,0.1999999999999987,0.2,0.19999999999999757,2.805347507169692e-43,8.255890663844045e-36,1.6602810911427822e-102,5.106420209053111e-131,6.228853966144264e-16,9.490824448307814e-21,6.358505345647721e-35,2.4417838154260027e-15,1.3055198899770913e-15,1.0415120093553144e-17,2.3971982406531083e-42,4.895737532849297e-39,4.806547779150244e-39,5.607894490081881e-51,2.371378985870007e-58,1.1091157323097659e-80,1.166043859422454e-73,7.534599131502946e-94,9.862806251142336e-129,2.974065922385183e-79,1.794249660378006e-108,6.718897558860383e-120,1.7598851086176595e-105,6.329638837196834e-123,2.5160159978000554e-140,2.118238895477837e-138,7.93266370385848e-164,7.460054442386101e-129,3.6979773080474293e-106,7.369932089675964e-144,3.1659718667997678e-158
1.5515035378329989e-21,0.0006651577600000001,0.2,0.0,0.0019575592876712347,0.1999999999999994,0.1999999999999974,0.2,0.19999999999999513,5.613132327551485e-43,1.6518954125831958e-35,9.114131317980639e-101,1.090217302378503e-128,1.2463119621188e-15,1.898989461719168e-20,2.545059214860676e-34,4.885689076125813e-15,2.6121740283272738e-15,2.0839288943544082e-17,1.919702805828654e-41,2.0546896646688623e-38,1.9832655851150056e-38,2.244619195164664e-50,9.646668992907175e-58,1.524206888591e-79,1.2222187060108682e-72,3.152323992169555e-92,1.0787729810461076e-126,4.8100779491588935e-78,9.845910573124876e-107,7.4494680749581405e-118,4.815445426395669e-104,1.3513807383204667e-120,1.392898878446146e-138,1.1726843487370295e-136,3.3275192849999736e-161,1.637314638921723e-126,2.0292578995144308e-104,6.295783788930556e-141,3.5017523149356694e-156
3.1036807636980575e-21,0.0006651577600000001,0.2,0.0,0.0019575592876624657,0.1999999999999988,0.1999999999999948,0.19999999999999998,0.19999999999999024,1.1228701968314967e-42,3.3045081049807137e-35,5.632411080454254e-99,2.6180828615470573e-126,2.4931650931163725e-15,3.79880349547892e-20,1.0183551970874955e-33,9.773499596729411e-15,5.225482304994912e-15,4.1687626639787595e-17,1.536540310035302e-40,8.982632327541741e-38,8.410951161560537e-38,8.981400049597624e-50,4.133630908159158e-57,2.358154774442282e-78,1.4400047999512047e-71,1.4819428894205003e-90,1.3284781694898558e-124,8.195748139010073e-77,6.081904000738555e-105,9.470913690527523e-116,1.4837282966715479e-102,3.245266683022531e-118,8.677825163049244e-137,7.3058783428246e-135,1.6263954743640418e-158,4.044349329627435e-124,1.2534900385195775e-102,6.048119538499107e-138,4.358785361113535e-154
6.208035215428174e-21,0.0006651577600000001,0.2,0.0,0.001957559287644928,0.19999999999999754,0.19999999999998958,0.19999999999999993,0.19999999999998047,2.2459841249841513e-42,6.609733489775488e-35,4.408776956139282e-97,7.77420982199408e-124,4.986871355066819e-15,7.598431562930342e-20,4.0740839160630997e-33,1.9549120634752526e-14,1.0452098858199294e-14,8.338430201732123e-17,1.2295435501649156e-39,4.2026936440416444e-37,3.74523442032961e-37,3.593144467058848e-49,2.173787038833454e-56,4.628190279817125e-77,1.8912577613334297e-70,7.76876647757072e-89,2.0679821733173215e-122,1.7024604414624316e-75,4.758650112589001e-103,1.5605521488011263e-113,5.783380030195145e-101,9.63668589927086e-116,6.888042525747748e-135,5.7990567645447e-133,1.091409878217634e-155,1.2648216572988528e-121,9.807651381579316e-101,7.183205793097341e-135,6.9075880382538595e-152
1.2416744118888408e-20,0.0006651577600000001,0.2,0.0,0.001957559287609853,0.19999999999999504,0.1999999999999791,0.19999999999999984,0.19999999999996093,4.492211981289292e-42,1.322018425936399e-34,6.028624009990436e-95,3.876338003027991e-121,9.974283878788924e-15,1.5197687697560857e-19,1.6297662101935375e-32,3.9100362698062406e-14,2.090533196408446e-14,1.667776527125749e-16,9.837593761436973e-39,2.1684966887434265e-36,1.8024854264196112e-36,1.4373744527024237e-48,1.964308384338107e-55,1.5911722769678534e-75,2.6956870018298677e-69,4.422688645515496e-87,5.609431122129063e-120,6.023648352555123e-74,6.508397405070814e-101,4.6490693218192776e-111,3.932467030910899e-99,4.8050895019895874e-113,9.637472699170789e-133,8.113807520835202e-131,1.6150357267396767e-152,6.910479305036804e-119,1.3413904889064646e-98,1.4322791909626375e-131,1.9276743148486628e-149
