Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35)
0.0,0.002217192533333333,0.2,0.0,0.006525197625599999,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.163978984188665e-25,0.002217192533333333,0.2,0.0,0.0065251976255999945,0.2,0.2,0.2,0.2,6.938633254717262e-62,1.249957839723564e-49,6.335082389572448e-137,-8.248182907235676e-176,6.010525558004046e-19,1.3822865203661455e-25,4.193493145643321e-45,2.3561965186953683e-18,1.2597509146967025e-18,1.0050058302181163e-20,3.8636755019435465e-55,2.0154505294420756e-48,2.00432326556953e-48,1.2283953561386513e-67,6.735236155304043e-79,-5.355170966549495e-108,6.483578921213662e-97,-2.836450972784911e-122,1.0439285927601519e-173,-1.3622539318802556e-105,1.751029139915164e-145,9.575865594475187e-161,-1.242091853000399e-143
2.5659141155728262e-24,0.002217192533333333,0.2,0.0,0.006525197625599987,0.2,0.2,0.2,0.2,1.9428173113208332e-61,3.499881951225979e-49,1.7658802985588825e-134,7.80463566581645e-173,1.682947156241131e-18,3.8704022570252023e-25,2.5328698599706213e-44,6.597350252346923e-18,3.5273025611507656e-18,2.814016324610017e-20,5.838786504328952e-54,1.2288547166923797e-47,1.2120391951472052e-47,7.419507950725373e-67,2.0163020240937105e-77,3.429905050664111e-106,1.0392045574688717e-95,3.098146741909604e-121,5.09116502674339e-171,7.942840245608621e-104,4.793428795389252e-143,3.208963605201661e-157,1.419558620197409e-141
5.8649465498807456e-24,0.002217192533333333,0.2,0.0,0.006525197625599971,0.2,0.2,0.2,0.2,4.4407252830190474e-61,7.999730174230808e-49,8.29400271109686e-132,3.3338012151143805e-169,3.8467363571225725e-18,8.84663373034329e-25,1.2194678067561008e-43,1.507965771964957e-17,8.06240585405888e-18,6.432037313390983e-20,6.281100088222485e-53,6.030476921564562e-47,5.849583213733384e-47,3.5721736951230756e-66,4.497862994880593e-76,3.532300543926813e-104,1.250062588209629e-94,1.890624234225247e-119,4.854089917637933e-168,8.317680421581199e-102,2.2532493857242343e-140,4.11117933793598e-154,2.9636554591432663e-139
1.2463011418496584e-23,0.002217192533333333,0.2,0.0,0.006525197625599941,0.2,0.2,0.2,0.19999999999999998,9.436541226415475e-61,1.6999426620240464e-48,2.9005636116180326e-129,5.79713831374584e-166,8.174314758885416e-18,1.879909667697938e-24,5.325736294997975e-43,3.2044272654253023e-17,1.713261243987507e-17,1.3668079290941582e-19,5.773413119825927e-52,2.733284167022037e-46,2.5670116842620105e-46,1.5600621017503608e-65,8.696381798168035e-75,2.905147791023046e-102,1.3923937010490298e-93,8.992428207894755e-118,3.3990847705092336e-165,6.852628117508552e-100,7.881832928571823e-138,3.1676587716190676e-151,4.881216441889334e-137
2.5659141155728264e-23,0.002217192533333333,0.2,0.0,0.00652519762559988,0.2,0.19999999999999998,0.2,0.19999999999999996,1.9428173113208332e-60,3.499881951225977e-48,9.095859763975925e-127,8.01613172536753e-163,1.682947156241094e-17,3.870402257025117e-24,2.22339006584783e-42,6.597350252345256e-17,3.527302561150727e-17,2.814016324599742e-19,4.9392764752901204e-51,1.224229231490966e-45,1.0819796219590295e-45,6.512952173335593e-65,1.6066834737375212e-73,2.2118864608804417e-100,1.6078450808193897e-92,4.275739160543611e-116,2.1326675343215535e-162,5.218369369513385e-98,2.4718075206627667e-135,2.084150125539002e-148,7.436490219283396e-135
5.205140063019162e-23,0.002217192533333333,0.2,0.0,0.006525197625599759,0.2,0.19999999999999996,0.2,0.1999999999999999,3.9411436886794046e-60,7.099760529629838e-48,2.8152301991930313e-124,1.0368648682231859e-159,3.4139785169461344e-17,7.85138743567933e-24,9.083273893423635e-42,1.3383196226182215e-16,7.155385195477099e-17,5.70843311559277e-19,4.0838893060159336e-50,5.680554588909226e-45,4.504407311124233e-45,2.660753473052135e-64,3.0211255494350803e-72,1.6873373527887876e-98,2.0184379022053942e-91,2.174680361898518e-114,1.3201343375549925e-159,3.980918442031595e-96,7.650545867839884e-133,1.3299433282531394e-145,1.1345751118569318e-132
1.0483591957911833e-22,0.002217192533333333,0.2,0.0,0.006525197625599515,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999976,7.937796443396544e-60,1.429951768643755e-47,9.174194930591548e-122,1.3756320810523792e-156,6.876041238355958e-17,1.581335779298716e-23,3.671604536874305e-41,2.695488817384432e-16,1.4411550464129566e-16,1.1497266697506265e-18,3.320950960135151e-49,2.8452177379808146e-44,1.8887943083878292e-44,1.075519093855846e-63,6.073113251207797e-71,1.3652791269481994e-96,2.7620351006952296e-90,1.1968959624104964e-112,8.601570312069256e-157,3.2210972393609603e-94,2.4931530603531394e-130,8.930672045561335e-143,1.8353559400838348e-130
2.1040495747697176e-22,0.002217192533333333,0.2,0.0,0.006525197625599028,0.19999999999999996,0.19999999999999973,0.2,0.19999999999999948,1.5931101952830813e-59,2.8699032000052945e-47,3.285059950248784e-119,1.9797336649844333e-153,1.3800166681174568e-16,3.1737298507600435e-23,1.4763360360524407e-40,5.409827206912132e-16,2.8923881001433396e-16,2.3074933861043006e-18,2.678467259059258e-48,1.5855832820063968e-43,8.141931433195876e-44,4.324614959355295e-63,1.3516444972241196e-69,1.2182655492633213e-94,4.035430150185511e-89,7.011439208665787e-111,6.157343428676907e-154,2.8742494281327165e-92,8.927402650213354e-128,6.686123645282942e-140,3.2735577979679647e-128
4.215430332726786e-22,0.002217192533333333,0.2,0.0,0.006525197625598054,0.1999999999999999,0.19999999999999946,0.2,0.19999999999999893,3.1917712971699324e-59,5.749806062728361e-47,1.3111544990961018e-116,3.158500132276417e-150,2.7648417566807653e-16,6.358517993681749e-23,5.92076781263222e-40,1.0838503985948642e-15,5.794854207603665e-16,4.623026818695551e-18,2.1514905637739483e-47,9.900383801517256e-43,3.704158805842151e-43,1.7343640106112343e-62,3.3649626092301714e-68,1.2138414057443879e-92,6.145661842153877e-88,4.275678551930144e-109,4.912942234041733e-151,2.8638116416511866e-90,3.563165363204057e-125,5.772504482557868e-137,6.519508087205425e-126
