Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148)
0.0,0.002217192533333333,0.2,0.0,0.006525197625599999,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0177106498473434e-24,0.002217192533333333,0.2,0.0,0.006525197625599994,0.2,0.2,0.2,0.2,7.705736744807568e-62,1.3881474494231121e-49,1.6888695640680003e-136,-4.2219002499847276e-175,6.675021715037174e-19,1.5351057824818892e-25,5.171974879627063e-45,2.6166868064045535e-18,1.3990232018796726e-18,1.1161146684604468e-20,5.2920188876231415e-55,2.4874541598873604e-48,2.4722133132637713e-48,1.515020939229438e-67,9.95606602278753e-79,-1.0324913542084858e-107,8.935548827131432e-97,-4.804715260727102e-122,3.0754049372332077e-173,-2.5712922128550174e-105,4.644985621587782e-145,4.412391363356998e-160,-2.6595433091010545e-143,-9.252498857365343e-166,-5.559437735178725e-184,-5.714118490373782e-179,6.674485414625911e-221,-4.5367800643879594e-170,1.088062774519233e-140,9.071799568908413e-193
2.8495898195725616e-24,0.002217192533333333,0.2,0.0,0.006525197625599986,0.2,0.2,0.2,0.2,2.1576062885461186e-61,3.886812858384713e-49,4.053052118558173e-134,2.1874226305908915e-172,1.8690060802104054e-18,4.2982961909492825e-25,3.1238728272975643e-44,7.326723057932614e-18,3.917264965263082e-18,3.125121071688377e-20,7.99729841921691e-54,1.5182046408391696e-47,1.495172672974778e-47,9.150726472463565e-67,3.056892296206213e-77,6.380579693196951e-106,1.4407034249199397e-95,5.301832026919247e-121,1.2972298017705788e-170,1.4849153995620042e-103,1.100404913540398e-142,8.163099703637026e-157,2.931792313670809e-141,4.794364838263002e-163,-9.805681272346795e-182,-1.007850565795053e-176,-8.299352670784294e-217,4.354760950217611e-167,2.5776400690635973e-138,2.3700169830367505e-189
6.513348159022998e-24,0.002217192533333333,0.2,0.0,0.006525197625599969,0.2,0.2,0.2,0.2,4.931671516676843e-61,8.884143676307916e-49,1.922832964839485e-131,9.525793459832753e-169,4.2720138976237704e-18,9.824677007884043e-25,1.5040102949996927e-43,1.674679556098817e-17,8.95374849202989e-18,7.143133878140743e-20,8.603128665580334e-53,7.465742383092798e-47,7.217974982393191e-47,4.405680890555845e-66,6.859764715078739e-76,6.640294871802865e-104,1.7508331114098718e-94,3.2653692857973235e-119,1.2497731191828238e-167,1.5644421737681628e-101,5.22408621446975e-140,1.058566430086484e-153,6.18693183381209e-139,2.08760367550322e-159,3.9459658961472534e-179,4.05575487371231e-174,1.082640321599677e-212,9.465121568253855e-164,1.2237144825232233e-135,4.716023137582719e-185
1.384086483792387e-23,0.002217192533333333,0.2,0.0,0.0065251976255999355,0.2,0.2,0.2,0.19999999999999998,1.0479801972938291e-60,1.8878805312154316e-48,6.758802046559076e-129,1.6654399417626976e-165,9.078029532450449e-18,2.0877438641753445e-24,6.568408097168779e-43,3.5586940567097e-17,1.9026715545563452e-17,1.517915949103149e-19,7.90775742917467e-52,3.3969290144470706e-46,3.1691880866270185e-46,1.9240765920739134e-65,1.332378540320832e-74,5.48892790742339e-102,1.979511323257105e-93,1.5762195269571692e-117,8.796005304105302e-165,1.2947985311724672e-99,1.8366259647662838e-137,8.200934633797633e-151,1.024175120054145e-136,3.6497945477991454e-156,1.3086102726173743e-176,1.3450198584172433e-171,1.836428881975384e-208,1.4145436853316177e-160,4.302198953234653e-133,3.50446594757914e-181
2.8495898195725615e-23,0.002217192533333333,0.2,0.0,0.006525197625599868,0.2,0.19999999999999998,0.2,0.19999999999999996,2.1576062885461185e-60,3.8868128583847126e-48,2.13423792463258e-126,2.3186214578446425e-162,1.8690060802103612e-17,4.2982961909491806e-24,2.7421810812162692e-42,7.326723057930559e-17,3.917264965263037e-17,3.1251210716757056e-19,6.765252967280924e-51,1.532022356137697e-45,1.337185197784911e-45,8.032641013067228e-65,2.478691010931686e-73,4.208165286849717e-100,2.3272434193707148e-92,7.629987276383368e-116,5.557114000059402e-162,9.92813605058231e-98,5.79983302654151e-135,5.436341429865798e-148,1.571152956191926e-134,5.081201317119605e-153,4.0102155020120136e-174,4.1217921023538665e-169,2.322026720786063e-204,1.839516368214332e-157,1.3585801486027566e-130,2.0090292614796914e-177
5.78059649113291e-23,0.002217192533333333,0.2,0.0,0.0065251976255997325,0.2,0.19999999999999996,0.2,0.19999999999999987,4.3768584710506976e-60,7.884677512723271e-48,6.678604775319846e-124,3.031424088962567e-159,3.791412334140913e-17,8.719400844496668e-24,1.1202704468588436e-41,1.4862781060368632e-16,7.946451786676334e-17,6.339531316798444e-19,5.593641980485623e-50,7.189072128235645e-45,5.5781208285327415e-45,3.281595949512795e-64,4.712582925409239e-72,3.24570633795088e-98,2.9723170276233734e-91,3.9482674762801474e-114,3.4778215145109997e-159,7.657568867223814e-96,1.814950621540115e-132,3.511256778541068e-145,2.4235367544192956e-132,6.643272458587439e-150,1.2372836342370057e-171,1.2717086923136373e-166,2.744963986286113e-200,2.335508187808921e-154,4.251425660306427e-128,1.0656837478049892e-173
1.1642609834253608e-22,0.002217192533333333,0.2,0.0,0.006525197625599462,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,8.815362836059852e-60,1.588040682140038e-47,2.21042706781093e-121,4.083779972031454e-156,7.636224842001697e-17,1.756161015159091e-23,4.5283122621715043e-41,2.993489706523022e-16,1.600482542950259e-16,1.2768351806954429e-18,4.548656761672804e-49,3.6579590005687633e-44,2.347960163352373e-44,1.3264735486152615e-63,9.62195143005486e-71,2.667288376031816e-96,4.1217099924695635e-90,2.2023092694611263e-112,2.301417370605807e-156,6.292922622837821e-94,6.006996226115694e-130,2.399983145728336e-142,3.981692691799335e-130,8.949469431601514e-147,4.069616449046531e-169,4.1828457674588154e-164,3.4841522794625826e-196,3.1136179202051694e-151,1.4071070399301285e-125,5.782949634322368e-170
2.3366636520495003e-22,0.002217192533333333,0.2,0.0,0.006525197625598922,0.19999999999999996,0.1999999999999997,0.2,0.19999999999999943,1.769237156607815e-59,3.187186543875455e-47,8.058745973985351e-119,5.983603044832784e-153,1.5325849857721996e-16,3.524602876577646e-23,1.820814444486073e-40,6.007912907489517e-16,3.212157271515374e-16,2.5625992786908435e-18,3.668656464695895e-48,2.0756113757058298e-43,1.019049864802813e-43,5.333691779392831e-63,2.1803954311904328e-69,2.423301316503633e-94,6.074095929549797e-89,1.3014096173465565e-110,1.677357862057282e-153,5.7172859262435415e-92,2.190026426378848e-127,1.8371873441350946e-139,7.230739731341099e-128,1.3112867645717189e-143,1.4802516540689645e-166,1.5214368340282703e-161,5.2145928123710185e-192,4.556214775794003e-148,5.1300208829417576e-123,3.4011004935148973e-166
4.681468989297779e-22,0.002217192533333333,0.2,0.0,0.00652519762559784,0.19999999999999987,0.19999999999999937,0.2,0.19999999999999882,3.5446389026114705e-59,6.385478267346274e-47,3.2703895470673577e-116,9.7081214688766e-150,3.0705099889157484e-16,7.061486599413584e-23,7.302280302418273e-40,1.203675930939921e-15,6.43550672864506e-16,5.134127474538457e-18,2.9468643825399636e-47,1.317484978439292e-42,4.687973295423051e-43,2.1390489433616717e-62,5.518937736843614e-68,2.4549638663987916e-92,9.296640136576406e-88,7.976390095722877e-109,1.3608269731696976e-150,5.791987388433404e-90,8.88754096885457e-125,1.6249527703337573e-136,1.4642141728671046e-125,2.1275030460714496e-140,6.0035829626292175e-164,6.170621211761155e-159,9.622949193637332e-188,7.408370735096484e-145,2.0818593915129246e-120,2.2110617924085825e-162
