Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150),SX(113),SX(114),SX(156),C2H4X(145),C2H4O(72),CCO(143),SX(136),SX(115)
0.0,0.002217192533333333,0.2,0.0,0.006525197625599999,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1347557002635662e-24,0.002217192533333333,0.2,0.0,0.006525197625599994,0.2,0.2,0.2,0.2,8.591959509525054e-62,1.547795762258642e-49,4.438850158837371e-136,-1.6761584290827969e-174,7.442703819261099e-19,1.7116555058554036e-25,6.430022823320573e-45,2.9176271957234843e-18,1.5599223152200246e-18,1.2444769860403982e-20,7.33593493065328e-55,3.094998018619754e-48,3.073870754773451e-48,1.883539546057208e-67,1.4991570729749225e-78,-2.023286169982742e-107,1.2474916073229522e-96,-8.306729123189275e-122,8.984078104090912e-173,-4.9611423567967415e-105,1.216962947865598e-144,1.5706229160536003e-159,-5.8110690188866205e-143,-3.673314549930228e-165,-1.4125376344018885e-183,-1.4518388008936052e-178,-6.638702064605104e-214,-1.540881363664198e-169,2.850670194602397e-140,4.47763442791091e-192,-4.730569345717373e-209,2.142763046396005e-186,4.933134191840367e-193,-1.0807316775548161e-218,-3.909852072965858e-184,-7.128310781616243e-182,-1.8050040280917266e-222,3.986462327011181e-184,-4.326703980090029e-197
3.1773159607379854e-24,0.002217192533333333,0.2,0.0,0.006525197625599984,0.2,0.2,0.2,0.2,2.4057486626670155e-61,4.333828134324199e-49,9.625616903898223e-134,6.410488033514735e-172,2.083957069393105e-18,4.792635416395121e-25,3.8837337852895334e-44,8.169356148025585e-18,4.367782482616069e-18,3.4845355609120296e-20,1.1086065963768608e-53,1.8912566831105327e-47,1.8593291615050494e-47,1.1376578857517044e-66,4.7139983540810865e-77,1.2185244297681834e-105,2.0248796644898232e-95,9.273054593260303e-121,3.434227663127485e-170,2.846508534196238e-103,2.6138001748481833e-142,2.1584980570440576e-156,6.241406425978931e-141,1.4050450345367668e-162,-2.3300226117242044e-181,-2.394851048405958e-176,4.5815741270138545e-210,1.2857968623629386e-166,6.122688125969021e-138,8.636259610690547e-189,-4.056129772205782e-207,2.9345273081759817e-183,9.515662367635905e-190,7.458500325096776e-215,2.6880275519255375e-181,4.900835152752935e-179,1.754564341282412e-218,9.865416588652194e-181,3.820709979710936e-194
7.262436481686823e-24,0.002217192533333333,0.2,0.0,0.006525197625599965,0.2,0.2,0.2,0.2,5.498854086096035e-61,9.90589287845531e-49,4.606795843094909e-131,2.8356836450651673e-168,4.763330444327077e-18,1.095459523747452e-24,1.869850637027365e-43,1.8672814052629078e-17,9.98350281740814e-18,7.964652710650944e-20,1.1925883953519814e-52,9.322171611831271e-47,8.97870990317046e-47,5.477332998931619e-66,1.0638449830766674e-75,1.2797252090555278e-103,2.4889342616671235e-94,5.770108021785306e-119,3.338654727250793e-167,3.016201083876097e-101,1.2516644115176592e-139,2.828222876182401e-153,1.3294243076282076e-138,6.214478687205644e-159,9.455533025305817e-179,9.718615203535577e-174,2.742282212461916e-206,2.8194092572316734e-163,2.9319574929485945e-135,1.7453733836857076e-184,4.567766124006605e-202,3.841024655735378e-180,1.9230872750276835e-185,4.465273639289493e-211,2.3815430271725988e-177,4.3416193152688964e-175,1.6211775437499965e-213,2.5852207212123498e-177,6.028404230351502e-190
1.54326775235845e-23,0.002217192533333333,0.2,0.0,0.006525197625599928,0.2,0.2,0.2,0.19999999999999998,1.1685064932954075e-60,2.1050022366717527e-48,1.6279992253573054e-128,4.985489161448742e-165,1.0122077194194961e-17,2.3278514879633174e-24,8.166128985675915e-43,3.967972986183324e-17,2.121494348699222e-17,1.692488701011139e-19,1.0961942008521593e-51,4.260378385150326e-46,3.944677901659463e-46,2.392095222456488e-65,2.0766219851480367e-74,1.0634761219270565e-101,2.859951221208541e-93,2.8302671260769676e-117,2.362340834592278e-164,2.5087750054779706e-99,4.423952601536184e-137,2.2037223665017693e-150,2.2124755293661515e-136,1.0925648775263542e-155,3.1523033308372143e-176,3.2400101607410333e-171,9.092306173069467e-203,4.236046063322277e-160,1.0362874447365997e-132,1.30423678211335e-180,6.653984190074854e-198,2.9961144711702044e-177,1.437018388242725e-181,1.4836272141186613e-207,8.375397888593282e-174,1.5268298519089868e-171,5.148631566170823e-209,4.0298029558006617e-174,2.264055809862265e-186
3.177315960737985e-23,0.002217192533333333,0.2,0.0,0.006525197625599852,0.2,0.19999999999999998,0.2,0.19999999999999993,2.4057486626670152e-60,4.333828134324196e-48,5.180753541761854e-126,6.993543734753669e-162,2.0839570693930484e-17,4.7926354163949924e-24,3.4091981009772435e-42,8.169356148023027e-17,4.367782482616011e-17,3.484535560896275e-19,9.378172177414434e-51,1.9364755957648412e-45,1.6663871857685214e-45,9.986526663869821e-65,3.8933076949854466e-73,8.2167287554718e-100,3.4262753434538666e-92,1.396014660740712e-115,1.5040505076192758e-161,1.9385458451242664e-97,1.4078848011122843e-134,1.4731359834229565e-147,3.4204305260834077e-134,1.5326178126848834e-152,9.735613274608646e-174,1.0006488151749191e-168,2.5487022872525105e-199,5.5514804951432304e-157,3.297895534393353e-130,7.533716358613487e-177,7.678657258155142e-194,2.0394591787926265e-174,8.30066416181477e-178,4.232066673613755e-204,2.3499216557216654e-170,4.283860821468971e-168,1.2246050204506758e-204,5.388228330947549e-171,6.831391908963801e-183
6.445412377497056e-23,0.002217192533333333,0.2,0.0,0.006525197625599701,0.2,0.19999999999999993,0.2,0.19999999999999984,4.8802330014102305e-60,8.791479929629081e-48,1.641036912450818e-123,9.25286800524448e-159,4.2274557693400535e-17,9.722203273258113e-24,1.3927686636670308e-41,1.65721224716979e-16,8.860358750449485e-17,7.06862928063873e-19,7.754054112410572e-50,9.200686893911357e-45,6.967543695322352e-45,4.079821990446177e-64,7.493176521160043e-72,6.415094265588137e-98,4.4529215100674954e-91,7.351302810910479e-114,9.527802288190565e-159,1.5135088769197977e-95,4.4596205859003975e-132,9.64351393958324e-145,5.340566613726039e-132,2.0277376568896156e-149,3.040682980804794e-171,3.1252841872772296e-166,7.701566953465147e-196,7.134547991429693e-154,1.0446424921146387e-127,4.044018976125432e-173,8.243259044021957e-190,1.518796553324422e-171,4.455696609336773e-174,1.434695911511652e-200,6.218284881635813e-167,1.1335772719732923e-164,2.6669863131862624e-200,7.054648334926193e-168,2.0045801667135667e-179
1.2981605211015197e-22,0.002217192533333333,0.2,0.0,0.0065251976255993995,0.19999999999999998,0.19999999999999984,0.2,0.19999999999999968,9.829201678896656e-60,1.7706783520238836e-47,5.522928101835465e-121,1.2672330991145604e-155,8.514453169233667e-17,1.9581338986983445e-23,5.629793623278349e-41,3.3377655119029556e-16,1.7845511286116008e-16,1.423681672001238e-18,6.305468028145461e-49,4.761536243911133e-44,2.945581290743451e-44,1.64912927597656e-63,1.5558040518214287e-70,5.360793176187321e-96,6.255873352926411e-90,4.154717235670291e-112,6.411118316876947e-156,1.2647698278564038e-93,1.5008964388678356e-129,6.719632498291015e-142,8.921973340844666e-130,2.7770998992325367e-146,1.0170340798672628e-168,1.0453311140235155e-163,4.009305742078408e-192,9.671846419933275e-151,3.515770389369983e-125,2.230994099407895e-169,9.095114126248922e-186,1.9623639691204132e-168,2.458104015982217e-170,1.0549752842751103e-196,1.7032358024748017e-163,3.104949915241543e-161,5.926696899142479e-196,9.830950308777789e-165,6.476719758990707e-176
2.605399087805148e-22,0.002217192533333333,0.2,0.0,0.006525197625598797,0.19999999999999993,0.19999999999999968,0.2,0.19999999999999934,1.9727139033869495e-59,3.5537390701458303e-47,2.0516374005741467e-118,1.8918766142555038e-152,1.708844796901931e-16,3.929961041443046e-23,2.2637152553377397e-40,6.698872041362046e-16,3.5815816357447364e-16,2.8573191598314637e-18,5.0855883959654147e-48,2.752930029396617e-43,1.2882965865273525e-43,6.631076260796957e-63,3.5922633732812116e-69,4.962570488157123e-94,9.295809485984253e-89,2.4757874712325327e-110,4.7610600317240446e-153,1.1708174459262197e-91,5.575483747107703e-127,5.2665941326267185e-139,1.6508804691393196e-127,4.145985254492057e-143,3.769282309715697e-166,3.874155403291231e-161,5.341961029242156e-188,1.442075449107009e-147,1.3060275309088576e-122,1.3369164800927784e-165,1.090018658046382e-181,6.513184111683818e-165,1.4730102867701353e-166,1.8375073093995386e-192,5.0854328000078246e-160,9.270590572435001e-158,1.4255833282942907e-191,1.540902767803477e-161,2.5041163515159816e-172
5.219876221212405e-22,0.002217192533333333,0.2,0.0,0.006525197625597591,0.19999999999999984,0.19999999999999932,0.2,0.19999999999999868,3.9523013743815127e-59,7.119860506389703e-47,8.46631935187991e-116,3.121896229778135e-149,3.4236437568584243e-16,7.873615326930992e-23,9.078510646496594e-40,1.3421085100251269e-15,7.175642650010332e-16,5.724594135313898e-18,4.0850211657992014e-47,1.7764676480970226e-42,5.999944396949929e-43,2.6593581414075947e-62,9.245448736892693e-68,5.112130886598604e-92,1.4294990995409204e-87,1.5247054113284084e-108,3.927805163551757e-150,1.206103197052043e-89,2.300789009790762e-124,4.777103283862615e-136,3.3994168495726196e-125,6.8415339305302505e-140,1.5544549599468424e-163,1.5977047053813516e-158,1.2169778303662105e-183,2.384347591268834e-144,5.389476375476074e-120,8.839733265391405e-162,1.4414126770248284e-177,3.703227154537209e-161,9.739584443593596e-163,4.545740324754303e-188,1.6783007288388154e-156,3.059490403311841e-154,3.7769526107338396e-187,2.7951320463259175e-158,1.1980878137326828e-168
