Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123)
0.0,0.0004434385066666667,0.2,0.0,0.00130503952512,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.755794072847169e-25,0.0004434385066666667,0.2,0.0,0.0013050395251199955,0.2,0.2,0.2,0.2,3.693367111427527e-61,6.653404217274957e-49,9.918546684609592e-134,-1.7415820232913237e-171,6.398688791696681e-19,1.4715553871993555e-25,4.7526191929680986e-45,2.508361059231135e-18,1.3411063609013663e-18,1.0699096908161057e-20,2.3308066464647504e-54,1.1425519125924513e-47,1.135839262860981e-47,6.960897685227307e-67,1.9338235963102266e-77,-1.0788997408284098e-105,1.962733250402773e-95,-4.855950095710108e-120,1.7141362288212816e-170,-2.5752484876116034e-103,2.7008067397062404e-142,1.8989732979994527e-156,-2.6640039056401384e-141,-3.8162737154941076e-162,-2.9896798215062717e-181,-3.0728619623288717e-176,6.687862899283933e-216
2.7316223403972076e-24,0.0004434385066666667,0.2,0.0,0.0013050395251199874,0.2,0.2,0.2,0.2,1.0341427911997076e-60,1.862953180836988e-48,1.7571089469331826e-131,4.227524140753315e-169,1.7916328616750574e-18,4.1203550841581627e-25,2.870581992565301e-44,7.02341096584703e-18,3.7550978105238115e-18,2.995747134284283e-20,3.522315213345999e-53,6.970524947603754e-47,6.869083377042409e-47,4.204382201664879e-66,6.345314315178567e-76,6.016217993321389e-104,3.156841749882991e-94,5.335781982074671e-119,5.386340089300144e-168,1.4149001046275953e-101,4.774076120980137e-140,1.6857757854343164e-153,2.6473415336137874e-139,9.263640207966078e-160,-4.261138745437879e-179,-4.3796968066177075e-174,-3.861831656990126e-212
6.2437082066221886e-24,0.0004434385066666667,0.2,0.0,0.0013050395251199712,0.2,0.2,0.2,0.2,2.3637549513136175e-60,4.258178699055973e-48,8.51392629954702e-129,1.9354012812583768e-165,4.095160826685778e-18,9.417954478075644e-25,1.3820616613336144e-43,1.605351077907821e-17,8.58308070976864e-18,6.847422021217387e-20,3.789145988547079e-52,3.424822012531701e-46,3.315695799338308e-46,2.0242290465454793e-65,1.4409104626480342e-74,6.400834522257959e-102,3.8202813157491634e-93,3.273834777873402e-117,5.305308361366989e-165,1.5096620397078936e-99,2.313595906730271e-137,2.245753214241808e-150,5.716339790423017e-137,4.2409837371582146e-156,1.7480898843603872e-176,1.7967271524328961e-171,4.748894341546435e-208
1.326787993907215e-23,0.0004434385066666667,0.2,0.0,0.0013050395251199389,0.2,0.2,0.2,0.19999999999999998,5.022979271541438e-60,9.048629735493943e-48,2.999793561136605e-126,3.3959110259940207e-162,8.702216756706991e-18,2.0013153265910082e-24,6.035826375258871e-43,3.411371040553811e-17,1.823904650825806e-17,1.4550771795070595e-19,3.482877977055823e-51,1.5558045284781202e-45,1.4554987377205076e-45,8.840340056946268e-65,2.801834151570809e-73,5.302611839254513e-100,4.2929853468306256e-92,1.570798029892472e-115,3.742551588142744e-162,1.2509987475581875e-97,8.152050934387129e-135,1.744203071823381e-147,9.484432381305864e-135,7.441352640285513e-153,5.808592235667958e-174,5.970205239788984e-169,8.202637723300155e-204
2.7316223403972074e-23,0.0004434385066666667,0.2,0.0,0.001305039525119874,0.2,0.19999999999999998,0.2,0.19999999999999996,1.0341427911997076e-59,1.8629531808369879e-47,9.453796278715702e-124,4.719667871046491e-159,1.7916328616748502e-17,4.120355084157686e-24,2.5198386962814097e-42,7.023410965844814e-17,3.755097810523594e-17,2.9957471342724997e-19,2.979675436664741e-50,6.996710551914955e-45,6.138573394654095e-45,3.6906679497443544e-64,5.201048570951913e-72,4.057087059477683e-98,5.010558401114465e-91,7.548859740940759e-114,2.359750678469119e-159,9.571832652032834e-96,2.5691320480027623e-132,1.1537086230072496e-144,1.4520691272904297e-132,1.0342059230896804e-149,1.776357783145008e-171,1.8257815516021584e-166,1.036602438600559e-199
5.541291033377192e-23,0.0004434385066666667,0.2,0.0,0.0013050395251197444,0.2,0.19999999999999996,0.2,0.19999999999999987,2.097832519290835e-59,3.779133595412174e-47,2.9455741738505226e-121,6.144825087785348e-156,3.634455233682787e-17,8.358434599290198e-24,1.0294363278170619e-41,1.4247490816422897e-16,7.617484129918785e-17,6.077087043782576e-19,2.4636532723179806e-49,3.268106945956569e-44,2.5585825510044936e-44,1.5077582797021744e-63,9.845145584345184e-71,3.115611260749508e-96,6.355406571627655e-90,3.8793662447355253e-112,1.4704354998463617e-156,7.350647178686936e-94,8.004819139952478e-130,7.416080313082777e-142,2.230173609792662e-130,1.346496125530224e-146,5.456770569516017e-169,5.608594806553982e-164,1.2174502176324447e-195
1.1160628419337162e-22,0.0004434385066666667,0.2,0.0,0.0013050395251194852,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,4.225211975473089e-59,7.6114944245625425e-47,9.687923245192218e-119,8.226923860922405e-153,7.320099977697197e-17,1.683459362955186e-23,4.1611462303431945e-41,2.86956505175634e-16,1.5342256768707624e-16,1.2239766862719515e-18,2.0034019257311788e-48,1.6522398564294184e-43,1.0752664043424656e-43,6.094600025868662e-63,1.9974836714243864e-69,2.54431214732438e-94,8.766715831717888e-89,2.1524180671772808e-110,9.669579170093448e-154,6.002786159042326e-92,2.6327686444063626e-127,5.032590761227212e-139,3.641071190507624e-128,1.8027398576074932e-143,1.7835327210225273e-166,1.833156118435611e-161,1.528834434969677e-191
2.2399303191257104e-22,0.0004434385066666667,0.2,0.0,0.0013050395251189668,0.19999999999999996,0.1999999999999997,0.2,0.19999999999999946,8.479970887837592e-59,1.5276216082863259e-46,3.506462051193922e-116,1.1967170061202265e-149,1.4691389465720152e-16,3.378691169006171e-23,1.6731785983164806e-40,5.759196991978169e-16,3.079180204627915e-16,2.456512650026053e-18,1.6158162313200452e-47,9.307186964230343e-43,4.653687089335481e-43,2.4506118569366545e-62,4.493658375571961e-68,2.2948486417755913e-92,1.2875565392906698e-87,1.2675672450454434e-108,6.996591596722128e-151,5.414228067692348e-90,9.529087255125548e-125,3.817872118894672e-136,6.564362629105083e-126,2.6223282015022494e-140,6.440353382683808e-164,6.619543936090543e-159,2.2572532922060255e-187
4.487665273509698e-22,0.0004434385066666667,0.2,0.0,0.00130503952511793,0.19999999999999987,0.1999999999999994,0.2,0.19999999999999887,1.698948871256658e-58,3.0605659399464626e-46,1.4135637261140102e-113,1.9286156687744482e-146,2.9433968441742644e-16,6.769154781102755e-23,6.7101945305295015e-40,1.1538460872396748e-15,6.169089260139756e-16,4.921584577401111e-18,1.2979114688505471e-46,5.869040271825877e-42,2.1310961672113524e-42,9.828049541563169e-62,1.1299058238490739e-66,2.3094434073882338e-90,1.966824294699067e-86,7.753660555405958e-107,5.6386517691377034e-148,5.448661497347513e-88,3.8414713953597205e-122,3.344030727730928e-133,1.3204646526213551e-123,4.2261146388185037e-137,2.5948060930518594e-161,2.6670016251765063e-156,4.107992345793485e-183
