Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99)
0.0,0.002771490666666666,0.2,0.0,0.008156497031999999,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.918580862408296e-25,0.002771490666666666,0.2,0.0,0.008156497031999993,0.2,0.2,0.2,0.2,5.815855938793042e-53,1.3362804410622044e-43,-3.331602241259163e-126,3.2178292145310634e-162,5.80671787776731e-19,1.6532649202649708e-24,1.557395942000603e-42,2.2763015174973424e-18,1.2170362178226029e-18,9.70927627754134e-21,3.440703226213858e-53,9.291609650463232e-47,9.289110824207544e-47,1.2686992725762881e-61,6.836440724703761e-71,1.6808451938528437e-98,3.0463630230561992e-89,-7.336036186379331e-115,4.207352312541464e-196,5.264274886977622e-98,-3.0611841489659116e-133
2.217202641474323e-24,0.002771490666666666,0.2,0.0,0.008156497031999988,0.2,0.2,0.2,0.2,1.6284396628620516e-52,3.7415852349741725e-43,3.458126089856966e-125,5.436953534720072e-161,1.6258810057748453e-18,4.629141776741914e-24,9.406671489687614e-42,6.373644248992267e-18,3.407701409903286e-18,2.7185973577111874e-20,5.19959076046504e-52,5.615230923875247e-46,5.611454696795089e-46,7.66294360601311e-61,4.129420817364851e-70,2.615022906136691e-97,4.6235379417509005e-88,7.301275209786256e-114,1.321672889789549e-194,1.3882983078696714e-96,3.17722727781636e-132
5.06789175194131e-24,0.002771490666666666,0.2,0.0,0.008156497031999974,0.2,0.2,0.2,0.2,3.722147800827547e-52,8.55219482279811e-43,2.0098682048102908e-123,1.7109259189131201e-158,3.716299441771067e-18,1.058089548969578e-23,4.528907399343585e-41,1.4568329711980946e-17,7.78903179406464e-18,6.213936817623744e-20,5.59348247232391e-51,2.7065595946541526e-45,2.702497301592011e-45,3.6893774841303394e-60,1.9885947853034512e-69,2.9798409580988345e-96,5.017996091004643e-87,4.059470475728282e-112,8.066622770607608e-192,2.8123628456984145e-95,1.8463104203201713e-130
1.0769269972875283e-23,0.002771490666666666,0.2,0.0,0.008156497031999945,0.2,0.2,0.2,0.19999999999999998,7.909564076758536e-52,1.8173413998445984e-42,8.786229946780975e-122,3.552436919289193e-156,7.897136313763478e-18,2.2484402915603427e-23,1.9778928463467312e-40,3.095770063795361e-17,1.6551692562387295e-17,1.3204615737442644e-19,5.141374064495366e-50,1.1847046015574499e-44,1.180970654261867e-44,1.6112480756329954e-59,8.693095913591534e-69,3.046551407369665e-95,4.693821924365774e-86,1.625387117478255e-110,3.352363021853798e-189,5.018156132928579e-94,8.06906389374643e-129
2.217202641474323e-23,0.002771490666666666,0.2,0.0,0.008156497031999886,0.2,0.19999999999999998,0.2,0.19999999999999996,1.6284396628620516e-51,3.741585234974172e-42,3.7287557590712986e-120,6.403114877478974e-154,1.6258810057748183e-17,4.629141776741838e-23,8.257313284540634e-40,6.373644248988016e-17,3.4077014099032406e-17,2.718597357705561e-19,4.398553756724288e-49,4.968265951738261e-44,4.93632124618794e-44,6.726643538349467e-59,3.6435830445992015e-68,3.136379796643793e-94,4.155043464263599e-85,5.939114344141216e-109,1.20894246999291e-186,8.4858445474263e-93,3.422946668366328e-127
4.497753929847913e-23,0.002771490666666666,0.2,0.0,0.008156497031999768,0.2,0.19999999999999996,0.2,0.1999999999999999,3.303406173234447e-51,7.590072905233317e-42,1.6835112312773637e-118,1.163407076818036e-151,3.2982157545717116e-17,9.390544747104692e-23,3.3733819062561214e-39,1.2929392619365813e-16,6.912765717232184e-17,5.514868925618221e-19,3.6368093057514735e-48,2.0479634510580872e-43,2.0215509507630682e-43,2.7480533682647972e-58,1.5125357159544837e-67,3.4932656082937933e-93,3.6659867560357775e-84,2.1271794949745335e-107,4.393057403660089e-184,1.4136437287823816e-91,1.5445286219233753e-125
9.058856506595091e-23,0.002771490666666666,0.2,0.0,0.008156497031999532,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999976,6.653339193979234e-51,1.5287048245751595e-41,8.643679967298398e-117,2.333188710472548e-149,6.642885252165301e-17,1.8913350687829847e-22,1.363574902263828e-38,2.604088936009137e-16,1.3922894331889754e-16,1.11074120614038e-18,2.9573929288366223e-47,8.4258471801483e-43,8.211065116233151e-43,1.1108071073278225e-57,6.512157109338353e-67,4.4616155110819744e-92,3.3560379941398966e-83,7.837891734446519e-106,1.7615811015761477e-181,2.4318692368912364e-90,7.924635132475947e-124
1.818106166008945e-22,0.002771490666666666,0.2,0.0,0.008156497031999062,0.19999999999999996,0.19999999999999973,0.2,0.1999999999999995,1.3353205235468804e-50,3.068099892678813e-41,5.634089822328649e-115,5.765310722862345e-147,1.3332224247351708e-16,3.795896256927796e-22,5.482874709951425e-38,5.226388284142232e-16,2.7943151561203617e-16,2.2292498332816004e-18,2.3852445360228014e-46,3.506734807239518e-42,3.3335052956729065e-42,4.4665065096780065e-57,3.286099859495242e-66,7.272085330693224e-91,3.311542742113177e-82,3.0985329763668105e-104,8.701641263120184e-179,4.867564049894899e-89,5.162876034634962e-122
3.642547196707817e-22,0.002771490666666666,0.2,0.0,0.008156497031998122,0.1999999999999999,0.19999999999999946,0.2,0.19999999999999898,2.675293731844792e-50,6.146890028886107e-41,5.893494299747889e-113,2.2074025593491755e-144,2.6710902237721444e-16,7.605018633216541e-22,2.1988779863770856e-37,1.0470986980360363e-15,5.598366601982626e-16,4.466267087500461e-18,1.915958126495312e-45,1.5015963008491713e-41,1.3624489432525585e-41,1.7912688686856403e-56,2.4715584429438866e-65,1.9103527198711674e-89,3.63159240454693e-81,1.3581101602275455e-102,6.658521895499704e-176,1.4401483450012415e-87,5.4027460306463426e-120
