Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141)
0.0,0.002771490666666666,0.2,0.0,0.008156497031999999,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.465319021884792e-25,0.002771490666666666,0.2,0.0,0.008156497031999995,0.2,0.2,0.2,0.2,6.217411523942309e-53,1.428543880886268e-43,-4.65577399996601e-126,5.138218785034953e-162,6.207642525788675e-19,1.7674145432010462e-24,1.7798810765721525e-42,2.4334686821338985e-18,1.301066444110675e-18,1.0379652944026071e-20,4.203733129783954e-53,1.0619251983029443e-46,1.0616199002881596e-46,1.4499420257967682e-61,7.813088575420867e-71,2.057468712488552e-98,3.722968449824594e-89,-1.024454774577792e-114,-3.789913837242496e-158,6.737842444593415e-98,-4.2778493279384615e-133,-5.4388183684237504e-148,3.6174523246867135e-129,1.9191962667534593e-153,9.027437011278808e-168
2.370289326127742e-24,0.002771490666666666,0.2,0.0,0.008156497031999985,0.2,0.2,0.2,0.2,1.740875226703846e-52,3.99992286648155e-43,4.848428735002094e-125,8.700639284505313e-161,1.738139907220826e-18,4.9487607209629206e-24,1.0750481702500642e-41,6.813712309974578e-18,3.642986043509885e-18,2.9063028243268554e-20,6.352681529432116e-52,6.417814076942865e-46,6.413200412307306e-46,8.757649835387704e-61,4.719380625194979e-70,3.20711610242509e-97,5.652107992146429e-88,1.0201086831799373e-113,7.68431518326907e-157,1.7924577882164916e-96,4.454551567817394e-132,1.7008295742808288e-146,1.0511528387717633e-127,3.2498077769219425e-152,1.1727202824920408e-166
5.417804174006267e-24,0.002771490666666666,0.2,0.0,0.008156497031999969,0.2,0.2,0.2,0.2,3.979143375323078e-52,9.142680837672114e-43,2.8272254194646064e-123,2.7466148715600128e-158,3.972891216504734e-18,1.1311453076486644e-23,5.175894170678935e-41,1.5574199565654598e-17,8.326825242308292e-18,6.64297788417358e-20,6.833924901564187e-51,3.093649127412024e-45,3.088685957178074e-45,4.2164314103798413e-60,2.2727748526165249e-69,3.667839350687965e-96,6.138016945289443e-87,5.674854715158915e-112,8.586524012206397e-155,3.651002986935483e-95,2.5971014654553555e-130,2.3174591940697573e-144,2.4266884897707292e-126,1.0258984327418893e-149,4.945847870549058e-165
1.1512833869763317e-23,0.002771490666666666,0.2,0.0,0.008156497031999938,0.2,0.2,0.2,0.19999999999999998,8.455679672561539e-52,1.9428196780053244e-42,1.2435122313616555e-121,5.733335806126349e-156,8.44239383507252e-18,2.4036837787534005e-23,2.2604489672539177e-40,3.309517407700927e-17,1.769450363990505e-17,1.4116328003859932e-19,6.281554366254665e-50,1.3543508625256623e-44,1.3497888538799806e-44,1.8414263721034972e-59,9.936753909691504e-69,3.7732130840371537e-95,5.74823823336682e-86,2.2748044112319627e-110,7.566241206151277e-153,6.53479238955083e-94,1.1419736671052742e-128,2.2081517348132187e-142,5.019208690948294e-125,2.1414799474508676e-147,2.0151081668161803e-163
2.3702893261277418e-23,0.002771490666666666,0.2,0.0,0.008156497031999875,0.2,0.19999999999999998,0.2,0.19999999999999996,1.7408752267038462e-51,3.999922866481549e-42,5.3267911757482996e-120,1.0421672863854679e-153,1.7381399072207946e-17,4.9487607209628327e-23,9.436929468050816e-40,6.813712309969716e-17,3.642986043509835e-17,2.906302824320425e-19,5.374002009788224e-49,5.681463811333316e-44,5.642434866536468e-44,7.687592614848881e-59,4.167202687519435e-68,3.9211546549300996e-94,5.099786158546912e-85,8.330349216590583e-109,6.476006663145783e-151,1.107363084281782e-92,4.8896768843052665e-127,1.9482658467235226e-140,1.0429561329384788e-123,3.892638574974055e-145,8.381261058426391e-162
4.808301204430562e-23,0.002771490666666666,0.2,0.0,0.00815649703199975,0.2,0.19999999999999996,0.2,0.19999999999999987,3.53148974559923e-51,8.114129243433995e-42,2.4358318530284866e-118,1.916333541317799e-151,3.5259409546478264e-17,1.003891460538154e-22,3.8552936071534826e-39,1.3822102114498713e-16,7.390057402548403e-17,5.895642872177937e-19,4.443328784703283e-48,2.343378531154432e-43,2.311108644869163e-43,3.1406324205398376e-58,1.7338453672966744e-67,4.423514285282372e-93,4.51768455121465e-84,2.9955158650082896e-107,5.901257124052833e-149,1.8502051718649891e-91,2.2345977787327316e-125,1.7928646650897497e-138,2.3442000960113257e-122,7.157770218556708e-143,3.805865234018702e-160
9.684324961036202e-23,0.002771490666666666,0.2,0.0,0.008156497031999499,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,7.112718783389996e-51,1.6342541997338878e-41,1.273578096705608e-116,3.909258080778237e-149,7.101543049501667e-17,2.0219222374218326e-22,1.558371316875901e-38,2.783888172352238e-16,1.4884200120625177e-16,1.1874322967847543e-18,3.613241174783513e-47,9.652706194571622e-43,9.390292841220795e-43,1.2694938366754271e-57,7.530044200579589e-67,5.753797142583622e-92,4.16339544965605e-83,1.1110467449459492e-105,6.138139117970774e-147,3.2106757000259786e-90,1.1675571066886629e-123,1.8653876220584956e-136,6.061441360815079e-121,1.4601618478455464e-140,1.999609118696085e-158
1.9436372474247482e-22,0.002771490666666666,0.2,0.0,0.008156497031998996,0.19999999999999996,0.19999999999999973,0.2,0.19999999999999946,1.4275176858971522e-50,3.2799367505148617e-41,8.592149073014961e-115,9.968488631344078e-147,1.425274723920847e-16,4.05798379118894e-22,6.266142525682608e-38,5.587244094143238e-16,2.987248555677727e-16,2.3831683159005093e-18,2.9142099061132078e-46,4.026381591878536e-42,3.814735721064159e-42,5.104578866024961e-57,3.904301533853243e-66,9.708892252888671e-91,4.147841447201402e-82,4.434379321820525e-104,8.221890618793106e-145,6.598966471300754e-89,7.873448149230765e-122,2.482199882744906e-134,2.0271044608622762e-119,3.723368098473214e-138,1.3692216903906347e-156
3.8940467500670043e-22,0.002771490666666666,0.2,0.0,0.00815649703199799,0.19999999999999987,0.19999999999999943,0.2,0.1999999999999989,2.860009301013454e-50,6.571301852076793e-41,9.5276710443341e-113,4.041125183305476e-144,2.8555155618618534e-16,8.130106898722148e-22,2.5130034130215315e-37,1.1193955937670307e-15,5.984905642907563e-16,4.774640354059356e-18,2.3408518781225834e-45,1.731118599507364e-41,1.5611131350567933e-41,2.0471644196069285e-56,3.087292568540689e-65,2.704040888159658e-89,4.600775815016977e-81,1.965831872070459e-102,1.807863349380903e-142,2.052256879590219e-87,8.735110441941286e-120,5.4015211627609744e-132,1.1156524284018517e-117,1.5094160379132484e-135,1.5541145225462066e-154
