Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104)
0.0,0.0005542981333333334,0.2,0.0,0.0016312994064,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.978822874407703e-25,0.0005542981333333334,0.2,0.0,0.0016312994063999952,0.2,0.2,0.2,0.2,3.2972789723847805e-52,7.575994739026939e-43,-7.818410260351285e-124,4.852723852608753e-159,6.584196361956744e-19,1.8746254084492887e-24,2.0023644924034815e-42,2.5810822026685647e-18,1.3799887658462033e-18,1.1009279749681942e-20,2.5080334023290755e-52,5.973466505283278e-46,5.9716450345614504e-46,8.155916894395943e-61,4.3951390105576484e-70,6.148447250406074e-97,1.1108874018156675e-87,-1.7192201437945765e-112,-6.7503987746451e-156,2.095457807237834e-96,-7.183721656009182e-131,-4.842761693453332e-145,1.1465977962087358e-127,1.8127310158521328e-150,1.5161532398105883e-165,2.2638055262450206e-162,1.1036590448557855e-198,5.924455351153185e-156,-9.832581700837532e-128
2.5140704048341572e-24,0.0005542981333333334,0.2,0.0,0.0016312994063999871,0.2,0.2,0.2,0.2,9.232381122677385e-52,2.1212785269275427e-42,8.167066692061578e-123,8.234044701729716e-158,1.8435749813478768e-18,5.2489511436579746e-24,1.2094281534148037e-41,7.227030167471587e-18,3.863968544369357e-18,3.082598329910437e-20,3.790140499913159e-51,3.6102325026753775e-45,3.607479895417835e-45,4.926173803961706e-60,2.655534566537359e-69,9.601441904524893e-96,1.6869863848062966e-86,1.712727445281819e-111,1.372640374579278e-154,5.618308178310705e-95,7.50351739431788e-130,1.5186457348974985e-143,3.33761754825298e-126,3.0760312116560405e-149,1.9746889480270696e-164,2.9484564196935085e-161,4.8920499115535556e-197,1.740952685747482e-154,1.0270295816820465e-126
5.746446639620931e-24,0.0005542981333333334,0.2,0.0,0.0016312994063999704,0.2,0.2,0.2,0.2,2.1102585423262595e-51,4.848636632977241e-42,4.77773812539931e-121,2.607246178531302e-155,4.213885671652233e-18,1.1997602614075208e-23,5.822875943954924e-41,1.6518926097076048e-17,8.831928101415607e-18,7.045939039792894e-20,4.077260225004057e-50,1.7404076246351652e-44,1.737446495140098e-44,2.3717406325101736e-59,1.2804123843046405e-68,1.1019611899760292e-94,1.8330513194998102e-85,9.532775491007399e-110,1.5388322264321818e-152,1.1508919531384475e-93,4.388769741331433e-128,2.075798036823892e-141,7.731763874969852e-125,9.739726920749586e-147,8.360358535201188e-163,1.2483056037094585e-159,3.0363331756986226e-194,4.513970602116245e-152,6.007044584545487e-125
1.2211199109194477e-23,0.0005542981333333334,0.2,0.0,0.001631299406399937,0.2,0.2,0.2,0.19999999999999998,4.484299402443301e-51,1.0303352845076638e-41,2.1157264996063524e-119,5.473626435140772e-153,8.954507052260752e-18,2.5494905554909125e-23,2.5430029053991184e-40,3.510271795627862e-17,1.8767847215507884e-17,1.4972620459549696e-19,3.7477045993086345e-49,7.620344800830219e-44,7.593126918465092e-44,1.0358014451954461e-58,5.626551480476023e-68,1.1414417135726434e-93,1.7185375568692945e-84,3.82541425175418e-108,1.365025101339551e-150,2.074810717627689e-92,1.9429088007790814e-126,1.9905519004862783e-139,1.6099284602860966e-123,2.044720580747934e-144,3.4308757197495537e-161,5.1227245441226725e-158,1.2383996767720978e-191,8.50530935839953e-150,2.6593192225205444e-123
2.5140704048341572e-23,0.0005542981333333334,0.2,0.0,0.0016312994063998703,0.2,0.19999999999999998,0.2,0.19999999999999996,9.232381122677385e-51,2.1212785269275426e-41,9.211115118054822e-118,1.0082101720762647e-150,1.8435749813477008e-17,5.248951143657475e-23,1.0616536539141724e-39,7.227030167465842e-17,3.8639685443691524e-17,3.0825983299030846e-19,3.2062401876746053e-48,3.1976409756177066e-43,3.1743555040057484e-43,4.32426713387318e-58,2.408508107609151e-67,1.2058379040576995e-92,1.5278458750758895e-83,1.4037441921549616e-106,1.1870040141687963e-148,3.5890970574066217e-91,8.454938718527418e-125,1.7829737949180825e-137,3.399143701029615e-122,3.7662443799544875e-142,1.4516999395287396e-159,2.1675687254180195e-156,4.509693238726071e-189,1.5244600389632522e-147,1.1572535315791583e-121
5.0999713926635757e-23,0.0005542981333333334,0.2,0.0,0.001631299406399737,0.2,0.19999999999999996,0.2,0.19999999999999987,1.8728544563145547e-50,4.303165011767299e-41,4.4514298984387043e-116,1.9368941923177472e-148,3.739823533590644e-17,1.0647872319989718e-22,4.337201585479191e-39,1.4660546911131662e-16,7.838336190005521e-17,6.253270897786334e-19,2.6509813897966237e-47,1.3196543721503212e-42,1.300401493943361e-42,1.7666042200003067e-57,1.0834557099247499e-66,1.438894294776368e-91,1.3585168107877092e-82,5.0663733212828045e-105,1.1417725172452827e-146,6.463237480546408e-90,4.083761018005178e-123,1.7266125937668823e-135,8.067913164871046e-121,7.235429509145466e-140,6.991638707293853e-158,1.0439386948153677e-154,1.7862556096817616e-186,2.985927875522875e-145,5.589569374097248e-120
1.0271773368322413e-22,0.0005542981333333334,0.2,0.0,0.0016312994063994702,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,3.7720871444081867e-50,8.666937981446806e-41,2.862501990398289e-114,4.683955394636996e-146,7.532320638075287e-17,2.1445714672650674e-22,1.7531662268854058e-38,2.952758039842273e-16,1.5787071481276806e-16,1.2594616033500913e-18,2.155734039799266e-46,5.4418816327836625e-42,5.285320426361415e-42,7.140896700431186e-57,6.033937985142325e-66,2.3084370052242823e-90,1.2596638298181655e-81,1.8905527942771485e-103,1.4557902234123252e-144,1.4261189151740483e-88,2.6253061297997955e-121,2.180523642849849e-133,2.56030544998052e-119,1.7497450380175676e-137,4.566431982743437e-156,6.818251405146174e-153,1.0037965617252255e-183,7.722644282916905e-143,3.5933369720204676e-118
2.0615377319640089e-22,0.0005542981333333334,0.2,0.0,0.0016312994063989368,0.19999999999999996,0.1999999999999997,0.2,0.19999999999999943,7.570552520595445e-50,1.73944839208058e-40,3.2323576873240707e-112,1.9144066413661665e-143,1.5117314847039614e-16,4.304139937795845e-22,7.049404292441388e-38,5.92616473728426e-16,3.168454206381358e-16,2.5277306304722387e-18,1.738677599925911e-45,2.27470894540822e-41,2.14843666393621e-41,2.871323146367361e-56,5.213047866207997e-65,6.541376610024203e-89,1.265897238114966e-80,7.610890116523903e-102,3.254759075907871e-142,4.852153755968914e-87,2.96592086524667e-119,4.790103840619393e-131,1.4308980444294203e-117,7.151582855198726e-135,5.289331701905286e-154,7.897630676441008e-151,1.212497731296214e-180,3.496224705829898e-140,4.0595465330190973e-116
4.1302585222275436e-22,0.0005542981333333334,0.2,0.0,0.00163129940639787,0.19999999999999987,0.1999999999999994,0.2,0.19999999999999885,1.5167483272969945e-49,3.4849575799523707e-40,6.448119669950239e-110,1.43416279698667e-140,3.0287303264948414e-16,8.623276878851753e-22,2.827126414534198e-37,1.187297813210333e-15,6.347948322886396e-16,5.0642686846334596e-18,1.3966004016026926e-44,9.816824957795914e-41,8.802537378829576e-41,1.1515289966816982e-55,6.948258011916324e-64,3.271477746334487e-87,1.418357616552412e-79,3.4081820121536824e-100,1.2916537050806945e-139,2.562115878197292e-85,5.920658984900652e-117,1.8963781116533492e-128,1.4199437235875232e-115,5.3576029643908876e-132,1.0709070845435483e-151,1.598997589706977e-148,3.985059061318928e-177,2.793889467730918e-137,8.103787080271357e-114
