Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24)
0.0,0.0033257888,0.2,0.0,0.009787796438399998,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.965685310730272e-25,0.0033257888,0.2,0.0,0.009787796438399993,0.2,0.2,0.2,0.2,5.040183595819771e-47,1.4832816464428e-39,-5.694196700550241e-119,1.3085922216831217e-153,5.595486388188082e-19,8.525770438966015e-24,7.693377067365653e-41,2.1934962959600943e-18,1.1727709163819336e-18,9.35608107605043e-21,6.078683678229334e-52,1.1273001595664408e-45,1.1272775434907653e-45,1.357037407929439e-57,5.709060450254567e-65,1.7252059235784846e-91,4.0901015880648174e-84,-5.80685941914279e-110,1.57648183258174e-183
1.9503918870044763e-24,0.0033257888,0.2,0.0,0.009787796438399988,0.2,0.2,0.2,0.2,1.4112514068295358e-46,4.15318861003984e-39,5.659567397108831e-118,2.1494871950796844e-152,1.5667361886926616e-18,2.3872157229104826e-23,4.646799748689915e-40,6.141789628687757e-18,3.2837585658694015e-18,2.619702701293882e-20,9.186107431217685e-51,6.809439247535893e-45,6.809097471535318e-45,8.196505943559611e-57,3.44827253345667e-64,2.6162879326492887e-90,6.185264153055218e-83,5.744275288220797e-109,4.818786635153528e-182
4.458038598867374e-24,0.0033257888,0.2,0.0,0.009787796438399974,0.2,0.2,0.2,0.2,3.225717501324653e-46,9.49300253723392e-39,3.1420242887460494e-116,6.478869125923484e-150,3.581111288440363e-18,5.456493080938236e-23,2.237234051191483e-39,1.4038376294141053e-17,7.505733864844278e-18,5.987891888670602e-20,9.88199523376016e-50,3.2789926814442795e-44,3.278625013766842e-44,3.9462647817575055e-56,1.6601948358557488e-63,2.834850067598726e-89,6.663395172030371e-82,3.1723643808998876e-107,2.814689538763089e-179
9.47333202259317e-24,0.0033257888,0.2,0.0,0.009787796438399946,0.2,0.2,0.2,0.19999999999999998,6.8546496903148875e-46,2.0172630391622083e-38,1.2540976197415244e-114,1.2453027496901951e-147,7.609861487935745e-18,1.159504779699371e-22,9.770588875570219e-39,2.9831549625039516e-17,1.5949684462793788e-17,1.272427026342022e-19,9.083256141449229e-49,1.4324945301570824e-43,1.4321565799822759e-43,1.723437507552374e-55,7.250507873592066e-63,2.6432284372129426e-88,6.142435149898612e-81,1.2520642556679543e-105,1.0829846099028251e-176
1.950391887004476e-23,0.0033257888,0.2,0.0,0.009787796438399889,0.2,0.19999999999999998,0.2,0.19999999999999996,1.4112514068295356e-45,4.1531886100398394e-38,4.5549479416425167e-113,1.9612576054315263e-145,1.5667361886926416e-17,2.387215722910451e-22,4.0790285211314425e-38,6.141789628680392e-17,3.283758565869182e-17,2.619702701290416e-19,7.770916864746885e-48,5.9843241771458e-43,5.9814329413740536e-43,7.195012332179755e-55,3.026945769054864e-62,2.325555284832885e-87,5.285157970383407e-80,4.448827009057389e-104,3.4132016340026824e-174
3.956509256494795e-23,0.0033257888,0.2,0.0,0.009787796438399776,0.2,0.19999999999999996,0.2,0.1999999999999999,2.8628242824256293e-45,8.4250397517951e-38,1.61356070531843e-111,2.86870022036178e-143,3.178236268490738e-17,4.842637609332554e-22,1.6664162463116365e-37,1.245905896102027e-16,6.661338805048402e-17,5.314254051181084e-19,6.425144338596812e-47,2.44801166047631e-42,2.4456211305263297e-42,2.9393973031242094e-54,1.2366085267933623e-61,2.0290222076577564e-86,4.419776989074547e-79,1.511421206100842e-102,9.987321919269054e-172
7.968743995475432e-23,0.0033257888,0.2,0.0,0.009787796438399549,0.19999999999999998,0.1999999999999999,0.2,0.19999999999999976,5.765970033617815e-45,1.6968742035305614e-37,5.835570683779845e-110,4.1680653623100737e-141,6.40123642808678e-17,9.753481382176534e-22,6.735920904676163e-37,2.5093597625648007e-16,1.3416499283405277e-16,1.0703356750937939e-18,5.2248206700494646e-46,9.92128471234633e-42,9.90184531924081e-42,1.1881513851908538e-53,4.9986087339361914e-61,1.8227093002836157e-85,3.6752580464801887e-78,5.064805767979947e-101,2.9022760165993275e-169
1.5993213473436705e-22,0.0033257888,0.2,0.0,0.009787796438399096,0.19999999999999996,0.19999999999999976,0.2,0.1999999999999995,1.1572261536002181e-44,3.405614660232661e-37,2.2437031937493755e-108,6.319262069274961e-139,1.2847236747278268e-16,1.9575168927863582e-21,2.7084841701540254e-36,5.036267495469542e-16,2.692682024011279e-16,2.1481562150353732e-18,4.2140071525195455e-45,4.0102379575983484e-41,3.994559383617449e-41,4.777504449775528e-53,2.0099824295805728e-60,1.7487441376752903e-84,3.0951611936291315e-77,1.7116751424912968e-99,8.79910127522782e-167
3.2042152429359254e-22,0.0033257888,0.2,0.0,0.009787796438398189,0.1999999999999999,0.19999999999999948,0.2,0.199999999999999,2.318484454077089e-44,6.8230955736368446e-37,9.50128385994658e-107,1.041998145964224e-136,2.5739237385658856e-16,3.921854401923404e-21,1.0862232921792749e-35,1.0090082961195793e-15,5.394746215350284e-16,4.303797294879365e-18,3.384919712439951e-44,1.6250748816110827e-40,1.612481000309788e-40,1.91599295281686e-52,8.061966147306394e-60,1.8524582879958853e-83,2.6965464158658462e-76,5.969689208585618e-98,2.9010372937968393e-164
