Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144)
0.0,0.0033257888,0.2,0.0,0.009787796438399998,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.847550992281888e-25,0.0033257888,0.2,0.0,0.009787796438399995,0.2,0.2,0.2,0.2,5.678278017775058e-47,1.671067215517862e-39,-1.033649756577488e-118,3.0148378939856657e-153,6.303882934573976e-19,9.605145119778743e-24,9.764670893195032e-41,2.471196051221482e-18,1.3212453847714116e-18,1.0540574266127898e-20,8.69201437222325e-52,1.4308137246099997e-45,1.4307813854991646e-45,1.722393633132004e-57,7.246115189751851e-65,2.467916622668e-91,5.848983326382458e-84,-1.053920779049388e-109,-1.2047702158221166e-147,2.803790955125122e-91,-1.118350892343667e-124,-7.574962764884126e-140,7.595852837611688e-119,3.736887516592644e-145,1.9500278625985702e-156,1.6417323536231442e-154
2.1973142778389287e-24,0.0033257888,0.2,0.0,0.009787796438399984,0.2,0.2,0.2,0.2,1.5899178449770163e-46,4.678988203450013e-39,1.0281355154951355e-117,4.9543837987119475e-152,1.7650872216807105e-18,2.6894406335380443e-23,5.897861219491309e-40,6.919348943419504e-18,3.699487077359932e-18,2.9513607945155074e-20,1.3135372954278108e-50,8.642896037195608e-45,8.642407325821199e-45,1.0403257543639417e-56,4.3766536092511885e-64,3.744266774812718e-90,8.845915277834777e-83,1.0427165577463657e-108,2.3403067945369344e-146,4.800309447652695e-90,1.1123756943807874e-123,2.2734489236804584e-138,2.1503243501793338e-117,6.139168093985606e-144,2.4375703095122544e-155,2.052195313776017e-153
5.022432635060408e-24,0.0033257888,0.2,0.0,0.009787796438399969,0.2,0.2,0.2,0.2,3.634097931376037e-46,1.0694830179314314e-38,5.712627083108319e-116,1.4944722253038302e-149,4.0344850781273296e-18,6.147292876658374e-23,2.8395662957433297e-39,1.5815654727812968e-17,8.455970462536897e-18,6.74596753031973e-20,1.4130434880478904e-49,4.1619557035316124e-44,4.161429969199376e-44,5.008720684431042e-56,2.1071703888814035e-63,4.0607213343143054e-89,9.531449175248677e-82,5.759512205791546e-107,2.489715638907374e-144,6.416694526832747e-89,6.18062054355453e-122,2.9542867650035257e-136,4.7144028348154066e-116,1.8520236764555105e-141,9.69830857174543e-154,8.16502536350314e-152
1.0672669349503366e-23,0.0033257888,0.2,0.0,0.009787796438399938,0.2,0.2,0.2,0.19999999999999998,7.72245810417408e-46,2.2726514131042916e-38,2.284122952604708e-114,2.8766754457838446e-147,8.573280791020542e-18,1.3062997362898987e-22,1.2401132034380324e-38,3.360826629658958e-17,1.796893723289052e-17,1.4335181001923318e-19,1.2988304119503176e-48,1.8183107204169416e-43,1.81782747965252e-43,2.187439913336926e-55,9.20256806601491e-63,3.792933672748752e-88,8.78944005221221e-81,2.2739652326907326e-105,1.9985211875491722e-142,8.205411352534777e-88,2.471187493397433e-120,2.57347888324101e-134,8.876751601620837e-115,3.5650385316970605e-139,3.5716111299681907e-152,3.006946546299873e-150
2.1973142778389285e-23,0.0033257888,0.2,0.0,0.009787796438399873,0.2,0.19999999999999998,0.2,0.19999999999999996,1.5899178449770163e-45,4.678988203450011e-38,8.323999826989216e-113,4.543161830716343e-145,1.765087221680684e-17,2.689440633538003e-22,5.177228507592266e-38,6.919348943410154e-17,3.6994870773596523e-17,2.9513607945111077e-19,1.111176762545019e-47,7.596725342383284e-43,7.592591114657364e-43,9.132131036199417e-55,3.8418933644231855e-62,3.3483859480157734e-87,7.568161943225708e-80,8.085551895748786e-104,1.4598893968171552e-140,1.0969848284191429e-86,9.005319875086835e-119,1.947357554625357e-132,1.572802236083413e-113,5.630373665178427e-137,1.2541293504896954e-150,1.0558540058928197e-148
4.4574089636161124e-23,0.0033257888,0.2,0.0,0.009787796438399745,0.2,0.19999999999999996,0.2,0.19999999999999987,3.225261914096233e-45,9.491661784141448e-38,2.966992465459667e-111,6.67971834408588e-143,3.5806055068378967e-17,5.455722428034139e-22,2.1150667741667247e-37,1.403639357089604e-16,7.504673785500358e-17,5.987046183140893e-19,9.187424353272369e-47,3.108114468459547e-42,3.1046962086038635e-42,3.730773499464969e-54,1.5695426864436725e-61,2.9396060872084953e-86,6.337898837514446e-79,2.7507604529547284e-102,1.0408665407858867e-138,1.5602809666341563e-85,3.2095808649156175e-117,1.4096049500971513e-130,2.762999853583323e-112,8.278271408447321e-135,4.401040065501868e-149,3.705244424301613e-147
8.977598335170479e-23,0.0033257888,0.2,0.0,0.00978779643839949,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,6.495950052334662e-45,1.911700894552431e-37,1.084397489124295e-109,9.79359080098565e-141,7.211642077152133e-17,1.0988286017026125e-21,8.549438071335675e-37,2.82704828258018e-16,1.5115047201779791e-16,1.2058416960369392e-18,7.471060903197493e-46,1.2600716624085978e-41,1.2572919901979244e-41,1.5080382960585872e-53,6.344405928002193e-61,2.6687185447837896e-85,5.284632692872413e-78,9.242609108641158e-101,7.596270493949137e-137,2.3313133117655033e-84,1.1728975135267777e-115,1.0339875799156339e-128,5.007500080012293e-111,1.2137371510078138e-132,1.6032404646496238e-147,1.3497713504183563e-145
1.8017977078279212e-22,0.0033257888,0.2,0.0,0.00978779643839898,0.19999999999999996,0.19999999999999973,0.2,0.19999999999999946,1.303732632881152e-44,3.836770326829e-37,4.236093352155958e-108,1.506096001919749e-138,1.4473715217779847e-16,2.2053413195008943e-21,3.4376914467468114e-36,5.67386613353492e-16,3.033579403433073e-16,2.420115851470211e-18,6.025681276192792e-45,5.09662520531756e-41,5.074206143321356e-41,6.063755643527695e-53,2.55116071935284e-60,2.6013380880726773e-84,4.473172893633161e-77,3.1392665847988584e-99,5.916045959706951e-135,3.59434050551685e-83,4.580836038870643e-114,8.051471374894106e-127,9.724241209488368e-110,1.8665340824380834e-130,6.291424618069809e-146,5.296762956044303e-144
3.609873456449668e-22,0.0033257888,0.2,0.0,0.009787796438397958,0.19999999999999987,0.19999999999999943,0.2,0.19999999999999887,2.6120078881765197e-44,7.686909191382118e-37,1.8300609601944183e-106,2.530983521553434e-136,2.8997861499032234e-16,4.4183667550969966e-21,1.3786680246994104e-35,1.1367501835338767e-15,6.077728769940091e-16,4.848664162287042e-18,4.840154891637556e-44,2.067983109134795e-40,2.049974902532428e-40,2.4318372059226303e-52,1.0232971983091202e-59,2.8109289693348225e-83,3.931949715009203e-76,1.1045364962836839e-97,5.090037618815293e-133,5.641569130133663e-82,1.9784398797613488e-112,6.916789424955048e-125,2.0905687494640945e-108,3.1366992211542927e-128,2.7426157456975013e-144,2.3090136759726787e-142
