Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150)
0.0,0.0033257888,0.2,0.0,0.009787796438399998,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.421102911113549e-25,0.0033257888,0.2,0.0,0.009787796438399995,0.2,0.2,0.2,0.2,6.093284846779113e-47,1.793200070583039e-39,-1.4709487851332264e-118,4.940271440901185e-153,6.764613187460645e-19,1.0307153863592428e-23,1.1244166483073177e-40,2.651807714450069e-18,1.4178109026544327e-18,1.131095047672794e-20,1.0740511152585133e-51,1.6476109294587482e-45,1.647570968813522e-45,1.9833623654178352e-57,8.344011433000493e-65,3.0503602461160393e-91,7.227829513474968e-84,-1.499657143329563e-109,-1.8397681113634614e-147,3.4957252912105157e-91,-1.5914834450850593e-124,-1.1567105103017926e-139,1.007469760747571e-118,6.124285528593321e-145,2.7750649167575597e-156,2.336332697920674e-154,2.4703797306590288e-188,5.7618614248375304e-151,-3.2800729060497673e-122,-3.3570024522335474e-172,7.501572055856817e-177
2.357908815111794e-24,0.0033257888,0.2,0.0,0.009787796438399984,0.2,0.2,0.2,0.2,1.7061197570981517e-46,5.020960197632509e-39,1.4638101768862761e-117,8.120918305664863e-152,1.894091692488978e-18,2.886003081805877e-23,6.79147655577807e-40,7.42506160045945e-18,3.969870527432389e-18,3.167066133483473e-20,1.6231060454609039e-50,9.952535250284132e-45,9.951931361550177e-45,1.1979508686533214e-56,5.0397829514667994e-64,4.6292642893367465e-90,1.0931887313987769e-82,1.4838573065214742e-108,3.575424944344752e-146,6.02956329905106e-90,1.583745953536896e-123,3.473129028167836e-138,2.852854313402116e-117,1.0065524018773176e-143,3.4702877356932564e-155,2.921642178218484e-153,4.748721901071029e-187,1.6139880995661866e-149,3.2641258390129894e-121,2.7470022071306835e-170,1.763578176304895e-175
5.389505863112672e-24,0.0033257888,0.2,0.0,0.009787796438399967,0.2,0.2,0.2,0.2,3.899702301938633e-46,1.147648045173145e-38,8.13769707533276e-116,2.4508659548370892e-149,4.329352439974798e-18,6.596578472699132e-23,3.269803613280419e-39,1.6971569372475247e-17,9.073989776988215e-18,7.239008305103435e-20,1.7460634171340934e-49,4.792672859014472e-44,4.792023221907939e-44,5.767617757749302e-56,2.426438646314836e-63,5.023456915144368e-89,1.178046850923392e-81,8.197060257743757e-107,3.805745130772489e-144,8.147447101153847e-89,8.804343980339018e-122,4.515603982739048e-136,6.258196792984456e-116,3.0378561830297953e-141,1.3816045955592736e-153,1.16317566940889e-151,1.7600834567557746e-184,3.971410687669207e-147,1.81458942931953e-119,3.8390856763460595e-167,1.3621500275146383e-173
1.1452699959114429e-23,0.0033257888,0.2,0.0,0.009787796438399932,0.2,0.2,0.2,0.19999999999999998,8.286867391619594e-46,2.4387520959929333e-38,3.2574255352959935e-114,4.7220320892133284e-147,9.199873934946402e-18,1.401772925448559e-22,1.4280091433530914e-38,3.606458491649496e-17,1.9282228276099507e-17,1.538289264833777e-19,1.6049331005768766e-48,2.093920629187458e-43,2.0933235003472095e-43,2.518870203165363e-55,1.0596896873697758e-62,4.6975533234468925e-88,1.0865933067596559e-80,3.2371042389056764e-105,3.0582760270988693e-142,1.0548442166388889e-87,3.524189849458361e-120,3.937709421848701e-134,1.1796640925105676e-114,5.853022426768479e-139,5.094191241282338e-152,4.28880978408795e-150,4.6081532242547756e-182,6.768358143096682e-145,7.263411858798915e-118,3.1452073239953728e-164,1.005108169688899e-171
2.3579088151117942e-23,0.0033257888,0.2,0.0,0.009787796438399865,0.2,0.19999999999999998,0.2,0.19999999999999996,1.7061197570981517e-45,5.020960197632508e-38,1.1896559330107577e-112,7.470956408170077e-145,1.8940916924889475e-17,2.88600308180583e-22,5.96165706935044e-38,7.425061600448686e-17,3.969870527432067e-17,3.1670661334784073e-19,1.37305405718904e-47,8.748670730153005e-43,8.743562165671104e-43,1.0515787253207771e-54,4.423998960582252e-62,4.156030938138907e-87,9.360491973529408e-80,1.1515473993205714e-103,2.238721912057243e-140,1.4261993196532863e-86,1.2870213903332227e-118,2.9857238415774816e-132,2.094581702589807e-113,9.260383109016295e-137,1.792862405995549e-150,1.5094144416968523e-148,1.112588274617928e-179,1.0185881668628562e-142,2.6525717478724705e-116,2.049668693166227e-161,7.079436779674534e-170
4.783186453512496e-23,0.0033257888,0.2,0.0,0.009787796438399728,0.2,0.19999999999999996,0.2,0.19999999999999987,3.460985792970536e-45,1.0185376400911657e-37,4.257046756487024e-111,1.1020962399420064e-142,3.8423002904775074e-17,5.854463394520289e-22,2.4355314369207257e-37,1.5062267818028064e-16,8.053165927075729e-17,6.424619870758724e-19,1.1352676467447843e-46,3.5798068656446075e-42,3.575583005224862e-42,4.2960422110151547e-54,1.8073530851810483e-61,3.663157813760168e-86,7.846040090857266e-79,3.92117130952974e-102,1.6022908289329154e-138,2.0454410947350304e-85,4.605061964636366e-117,2.169295868541203e-130,3.693866185679548e-112,1.3660715600525807e-134,6.3177118231202615e-149,5.318894206497376e-147,2.7628902346248604e-177,1.479021499324161e-140,9.49110664017859e-115,1.2268957830422868e-158,4.989280350867254e-168
9.6337417303139e-23,0.0033257888,0.2,0.0,0.009787796438399454,0.19999999999999998,0.19999999999999987,0.2,0.1999999999999997,6.970717864715302e-45,2.0514208807469934e-37,1.566190428777046e-109,1.6251698030651173e-140,7.73871748645441e-17,1.1791384019948875e-21,9.844807476095434e-37,3.033668025311079e-16,1.6219756726360774e-16,1.2939727345283582e-18,9.231807962842505e-46,1.4516144792928274e-41,1.4481797060794384e-41,1.7365289465797711e-53,7.305694304023557e-61,3.347815636279632e-85,6.553653741055708e-78,1.3198053162708465e-100,1.1769556119542813e-136,3.0722096638430667e-84,1.6939799298348656e-115,1.60137747611085e-128,6.73829357277926e-111,2.0144389704294313e-132,2.317391942848029e-147,1.9510169067683747e-145,7.332603004738385e-175,2.1912650294714454e-138,3.491319830552922e-113,7.287886773904606e-156,3.658180141494507e-166
1.933485228391671e-22,0.0033257888,0.2,0.0,0.009787796438398905,0.19999999999999996,0.1999999999999997,0.2,0.1999999999999994,1.3990182008204826e-44,4.117187362058646e-37,6.17800022897166e-108,2.5214769764231764e-138,1.5531551878407341e-16,2.3665225270804716e-21,3.958553787172624e-36,6.088550512297212e-16,3.2552938324921734e-16,2.5969942294190187e-18,7.445787567237551e-45,5.87386480154375e-41,5.846162113158632e-41,6.982506495413986e-53,2.93772425570814e-60,3.2954047314901786e-84,5.56544323861663e-77,4.497173519757646e-99,9.25481038681228e-135,4.7506901460460794e-83,6.680607366484736e-114,1.2589613878788822e-126,1.321222955110845e-109,3.1254485762126565e-130,9.185461763351699e-146,7.73325861086282e-144,2.126421316198181e-172,3.467292895294258e-136,1.376883902794115e-111,4.538391317960506e-153,2.8970202763731873e-164
3.8737073391122327e-22,0.0033257888,0.2,0.0,0.009787796438397809,0.19999999999999987,0.19999999999999937,0.2,0.1999999999999988,2.802911029518384e-44,8.248720324681929e-37,2.7009769208949235e-106,4.286305353774135e-136,3.11172206623097e-16,4.7412907772511085e-21,1.587557119358574e-35,1.2198315486147842e-15,6.521930152200716e-16,5.203037219143094e-18,5.980861493295991e-44,2.3853491563654997e-40,2.363096854781534e-40,2.8002973860754646e-52,1.1783815404347333e-59,3.603659086506136e-83,4.91978269865841e-76,1.5911713319693601e-97,8.057661247635613e-133,7.468514313764737e-82,2.9198768325743388e-112,1.0947317711523989e-124,2.8743723965547335e-108,5.31303797506e-128,4.0525815403968055e-144,3.411876495805234e-142,6.888344975132761e-170,6.06862222898428e-134,6.017913020120689e-110,3.0909261073738155e-150,2.5529935909860084e-162
7.754151560553356e-22,0.0033257888,0.2,0.0,0.009787796438395616,0.1999999999999997,0.1999999999999987,0.2,0.19999999999999757,5.610696686914173e-44,1.6511786249928407e-36,1.3246917085920873e-104,8.15365453361107e-134,6.228855823010044e-16,9.490827277590252e-21,6.358509131855499e-35,2.441784543336253e-15,1.3055202791603198e-15,1.0415123198362268e-17,4.794400769020369e-43,9.791481045072531e-40,9.613101378146287e-40,1.1215795667141643e-51,4.723343142713827e-59,4.4244578031191934e-82,4.664180037648061e-75,6.027688837574875e-96,7.869788503868649e-131,1.18504215823124e-80,1.4315809219690336e-110,1.0724292859719513e-122,7.021131835793534e-107,1.0106822497877148e-125,2.0070713301090137e-142,1.6897573628914603e-140,2.527406348545067e-167,1.1904470603402603e-131,2.9505112522595157e-108,2.3535877825569221e-147,2.5256128724868363e-160
