Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150),SX(113),SX(114),SX(156),C2H4X(145)
0.0,0.0006651577600000001,0.2,0.0,0.00195755928768,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.853228882127756e-25,0.0006651577600000001,0.2,0.0,0.001957559287679995,0.2,0.2,0.2,0.2,3.2029798211670883e-46,9.426087546898299e-39,-2.3616135471126058e-116,4.3832064724529657e-150,7.1117369636478365e-19,1.0836061884158155e-23,1.2427755545441354e-40,2.787884306274787e-18,1.4905653766812838e-18,1.1891367971851823e-20,6.240122044892519e-51,9.105243037892443e-45,9.105010870784184e-45,1.0960680221365248e-56,4.611161508954068e-64,8.862919420440812e-90,2.0997298411724103e-82,-2.4075373175027852e-107,-3.105324536952581e-145,1.0223070017246983e-89,-2.555131819298481e-122,-9.761747348460697e-137,3.077445747997395e-117,5.4336757642046145e-142,4.455439904417129e-154,3.7510437573737325e-152,1.2229354552888149e-182,5.112173570721835e-148,-5.2661677350533246e-120,-1.6459969098428458e-168,1.266200398090564e-174,-1.7183132996819906e-155,-1.1777602893123677e-162,2.04404504373321e-184,2.09721062051811e-158
2.4789040869957716e-24,0.0006651577600000001,0.2,0.0,0.0019575592876799855,0.2,0.2,0.2,0.2,8.968343499267847e-46,2.6393045131315243e-38,2.3510092811005685e-115,7.206822876553152e-149,1.991286349821382e-18,3.034097327564264e-23,7.506364349460079e-40,7.806076057568566e-18,4.173583054707559e-18,3.329583032118116e-20,9.430072906662648e-50,5.500127586905399e-44,5.499776733992139e-44,6.620250853361512e-56,2.7851416916948647e-63,1.3453379793845862e-88,3.1759187431733013e-81,2.3823452946759675e-106,6.036971976769033e-144,1.7729911352047454e-88,2.5436351629822833e-121,2.932027224965733e-135,8.716224902974681e-116,8.93260257295703e-141,5.573338849748467e-153,4.692205112979174e-151,1.8485453110607213e-180,1.4325153604461384e-146,5.242472904362764e-119,1.3472236077103879e-166,2.97763706037921e-173,5.160090356092271e-154,3.536813100230336e-161,3.114124465022686e-182,6.415536358376704e-157
5.666066484561764e-24,0.0006651577600000001,0.2,0.0,0.0019575592876799673,0.2,0.2,0.2,0.2,2.0499070855469366e-45,6.032696030014912e-38,1.3075101311724727e-113,2.1758090343480723e-146,4.551511656734531e-18,6.935079605861089e-23,3.613991312634188e-39,1.7842459560152765e-17,9.53961841075997e-18,7.610475501982406e-20,1.0144442146739907e-48,2.648629840704841e-43,2.6482524084774092e-43,3.1873658078583658e-55,1.3409261381739618e-62,1.460539889247535e-87,3.422751770284672e-80,1.316151131493085e-104,6.428476352450105e-142,2.4146107643651162e-87,1.414620673893122e-119,3.813590769155221e-133,1.91286272213624e-114,2.6969294343635034e-138,2.2199538661793882e-151,1.8689835953424802e-149,1.093197509830449e-177,3.5263264023951806e-144,2.9155559199024985e-117,1.8835014127838564e-163,2.3009918577743507e-171,6.710941177867073e-152,4.599832021933533e-159,1.8424202506529386e-179,3.7537323570016694e-154
1.2040391279693749e-23,0.0006651577600000001,0.2,0.0,0.0019575592876799313,0.2,0.2,0.2,0.19999999999999998,4.35605255678724e-45,1.2819479063781686e-37,5.238243269313167e-112,4.1950341701996944e-144,9.671962270560642e-18,1.4737044162454454e-22,1.5783249542913656e-38,3.7915226565307745e-17,2.0271689122864242e-17,1.617226044170468e-19,9.32449006903719e-48,1.157211059327254e-42,1.1568641338425905e-42,1.392006387581583e-54,5.856182305144465e-62,1.3669599254080335e-86,3.157597812913422e-79,5.198522716221297e-103,5.170161521468523e-140,3.153830710828812e-86,5.667211192076708e-118,3.328184898106736e-131,3.608734026853184e-113,5.199807379724039e-136,8.192726882887794e-150,6.897473131543578e-148,4.0571580029203827e-175,6.014876484981113e-142,1.1680213250964176e-115,1.5441571932362624e-160,1.699394323789745e-169,5.855606421316872e-150,4.0138849553620325e-157,6.839162612301222e-177,1.4487545106397562e-151
2.478904086995772e-23,0.0006651577600000001,0.2,0.0,0.0019575592876798593,0.2,0.19999999999999998,0.2,0.19999999999999996,8.968343499267846e-45,2.639304513131523e-37,1.916163052355116e-110,6.646111450824937e-142,1.9912863498212108e-17,3.034097327564004e-22,6.589195990375021e-38,7.8060760575564e-17,4.173583054707058e-17,3.329583032112402e-19,7.977297568549378e-47,4.8351745548088465e-42,4.832206533356749e-42,5.811352648581627e-54,2.4448503508235743e-61,1.2113567637979186e-85,2.721076801859756e-78,1.8499289372085924e-101,3.790627348297621e-138,4.297743151131623e-85,2.072978695116104e-116,2.5273980036023106e-129,6.417742189492531e-112,8.23797808019426e-134,2.8883129866152256e-148,2.431676474200337e-146,1.2686403105333483e-172,9.066475315271099e-140,4.2724423710274115e-114,1.0076504658001479e-157,1.1990364472239508e-167,4.444976943372196e-148,3.048983230393132e-155,2.138794722445469e-174,4.5930743534463245e-149
5.028634005048566e-23,0.0006651577600000001,0.2,0.0,0.0019575592876797153,0.2,0.19999999999999993,0.2,0.19999999999999987,1.8192925384229054e-44,5.35401772663823e-37,6.876839399671075e-109,9.828537532983394e-140,4.039466595351203e-17,6.154883150200662e-22,2.691901562318549e-37,1.583518285958617e-16,8.466411339547441e-17,6.75429700798618e-19,6.5957838955030964e-46,1.9786320601624528e-41,1.9761780423333798e-41,2.3741271746162594e-53,9.988168980457497e-61,1.0708618924415706e-84,2.2823960157802265e-77,6.303515816999768e-100,2.7207879812451834e-136,6.199016164733849e-84,7.43896226981313e-115,1.8414063607653022e-127,1.1350543369642047e-110,1.2182684776994583e-131,1.020935007018031e-146,8.595272222082167e-145,3.74762567349755e-170,1.3203165032819744e-137,1.5331820664137826e-112,6.046594929792535e-155,8.480715063092437e-166,3.236025688279682e-146,2.231946322093365e-153,6.318492509824598e-172,1.358796236030021e-146
1.0128093841154153e-22,0.0006651577600000001,0.2,0.0,0.0019575592876794274,0.19999999999999998,0.19999999999999984,0.2,0.1999999999999997,3.6642089154151463e-44,1.0783444153651635e-36,2.5424063344812147e-107,1.4555262026985827e-137,8.135827086409982e-17,1.239645479547214e-21,1.0881096513563602e-36,3.1893396463559795e-16,1.7052067909224677e-16,1.360372495969339e-18,5.3635819238136654e-45,8.024668631948366e-41,8.004712966172959e-41,9.59660161312215e-53,4.037634727054268e-60,9.835121454255999e-84,1.9089583077618544e-76,2.1244230404020296e-98,2.008152075631375e-134,9.344205225608245e-83,2.7498111146359974e-113,1.3657396257820373e-125,2.0805573190387617e-109,1.804162145914642e-129,3.764033122108746e-145,3.168947005936799e-143,1.11788363772189e-167,1.9656700887617424e-135,5.667404851022924e-111,3.607076850113859e-152,6.302809844093117e-164,2.3964823323888234e-144,1.7255643372564255e-151,1.8848173437349284e-169,4.0245299294185176e-144
2.0327013513365326e-22,0.0006651577600000001,0.2,0.0,0.001957559287678851,0.19999999999999996,0.19999999999999968,0.2,0.19999999999999937,7.354041669399623e-44,2.164229700767842e-36,1.010089688850551e-105,2.2730753342465203e-135,1.6328548068522713e-16,2.4879598086007746e-21,4.3752410518191124e-36,6.400982367116336e-16,3.422338104856503e-16,2.7302580862946405e-18,4.3259231306496374e-44,3.2481729134626377e-40,3.23207794726895e-40,3.858751287615148e-52,1.6239329757897885e-59,9.751193766597483e-83,1.6250599111452107e-75,7.256266484399556e-97,1.5903033119204337e-132,1.44809709912566e-81,1.0922443774156838e-111,1.0813156622891467e-123,4.108587956704175e-108,2.817548302548833e-127,1.502988110628354e-143,1.265368693266437e-141,3.5414483541074636e-165,3.132637665245888e-133,2.25113319362147e-109,2.260954616554822e-149,5.691677122449848e-162,1.8918131194744888e-142,1.8165446674763795e-149,5.9712380955298705e-167,1.2567969325090369e-141
4.0724852857787673e-22,0.0006651577600000001,0.2,0.0,0.0019575592876776987,0.19999999999999987,0.19999999999999934,0.2,0.19999999999999873,1.4733707177368557e-43,4.336000271573188e-36,4.455876551331786e-104,3.897454753593125e-133,3.2713990032728877e-16,4.984588466704957e-21,1.754667349632404e-35,1.2824267808499582e-15,6.85660073271892e-16,5.470029266880683e-18,3.4748167123220913e-43,1.3198986267190136e-39,1.3069702772065054e-39,1.5475318422675036e-51,6.519509237998048e-59,1.0759735110306698e-81,1.4425581930650452e-74,2.578028099952872e-95,1.3970234735568303e-130,2.2807859609404993e-80,4.8168928342139623e-110,9.488730485903765e-122,9.018767640359844e-107,4.83104524772564e-125,6.691533112061294e-142,5.633615096541387e-140,1.23773911137676e-162,5.532299771131844e-131,9.927693416429827e-108,1.55316206316893e-146,1.416456321893606e-159,1.6506194849978098e-140,4.701726727375599e-147,2.0870122187601704e-164,4.308643501720078e-139
